count,name
20.3346867,Adjusted savings: natural resources depletion (% of GNI)
21.175924900000002,Crop production index (2004-2006 = 100)
13.012898,Gross domestic savings (% of GDP)
24.344824000000003,Adolescent fertility rate (births per 1-000 women ages 15-19)
3.9449444,Food production index (2004-2006 = 100)
75.2273843,Population (Total)
48.4911121,Life expectancy at birth- total (years)
49.8729807,Adjusted savings: mineral depletion (% of GNI)
56.9627747,Net income from abroad (current US$)
22.0556992,Mobile cellular subscriptions (per 100 people)
73.4840319,Secondary school starting age (years)
33.4631551,Primary school starting age (years)
14.691176200000001,Population growth (annual %)
69.8351522,External balance on goods and services (% of GDP)
47.4383012,Age dependency ratio (% of working-age population)
25.474653800000002,Adjusted savings: energy depletion (% of GNI)
36.9032086,Secondary education- duration (years)
56.5694599,Birth rate- crude (per 1-000 people)
19.161862900000003,Gross national expenditure (% of GDP)
19.6168823,Adjusted savings: net forest depletion (% of GNI)
39.2856931,Livestock production index (2004-2006 = 100)
51.86221009999999,Trade (% of GDP)
77.03885700000001,Urban population growth (annual %)
20.506207500000002,General government final consumption expenditure (% of GDP)
14.575257899999999,Exports of goods and services (% of GDP)
76.6326863,Telephone lines (per 100 people)
7.4690667,Imports of goods and services (% of GDP)
71.4702157,Urban population (% of total)
0.43833869999999997,Primary education- duration (years)
