count,name
20.3346867,Resources depletion
21.1759249,Crop
13.012898,Savings
24.344824,Fertility
3.9449444,Food
75.2273843,Population
48.4911121,Life expectancy
49.8729807,Mineral depletion
56.9627747,Remittance
22.0556992,Cellular
73.4840319,Sec schooling
33.4631551,Primary schooling
69.8351522,Goods
47.4383012,Dependency
25.4746538,Energy
36.9032086,Sec education
56.5694599,Birth rate
19.1618629,Expenditure
19.6168823,Forest
39.2856931,Livestock
51.8622101,Trade
77.038857,Urban population
20.5062075,Gov Expenditure
14.5752579,Exports
76.6326863,Telephone
7.4690667,Imports
0.4383387,Primary education
