franchise,kpg,year
NYADJDNGYCD,4.591518989,1976
NYADJDNGYCD,32.48770965,2003
NYADJDNGYCD,0.007474362,1962
NYADJDNGYCD,0.014580739,1963
NYADJDNGYCD,4.345892153,1974
NYADJDNGYCD,6.977608253,1986
NYADJDNGYCD,7.925026049,1987
NYADJDNGYCD,14.62712972,1984
NYADJDNGYCD,13.04810006,1985
NYADJDNGYCD,17.4693831,1982
NYADJDNGYCD,15.25874158,1983
NYADJDNGYCD,19.25895005,1980
NYADJDNGYCD,19.08350231,1981
NYADJDNGYCD,0.025667879,1964
NYADJDNGYCD,0.042965677,1965
NYADJDNGYCD,0.069953143,1966
NYADJDNGYCD,0.112058114,1967
NYADJDNGYCD,0,1960
NYADJDNGYCD,0.002919481,1961
NYADJDNGYCD,6.767070965,1988
NYADJDNGYCD,8.311011077,1989
NYADJDNGYCD,25.96105372,2001
NYADJDNGYCD,66.31403392,2011
NYADJDNGYCD,55.78716952,2010
NYADJDNGYCD,0,2012
NYADJDNGYCD,64.55955652,2005
NYADJDNGYCD,0.177748929,1968
NYADJDNGYCD,0.280237615,1969
NYADJDNGYCD,10.87254808,1991
NYADJDNGYCD,12.45157774,1990
NYADJDNGYCD,11.08308537,1993
NYADJDNGYCD,11.22344356,1992
NYADJDNGYCD,13.32881644,1995
NYADJDNGYCD,11.36380175,1994
NYADJDNGYCD,18.38171135,1997
NYADJDNGYCD,18.73260683,1996
NYADJDNGYCD,14.38150288,1999
NYADJDNGYCD,11.67960768,1998
NYADJDNGYCD,4.065175769,1975
NYADJDNGYCD,6.170548649,1978
NYADJDNGYCD,1.166779104,1973
NYADJDNGYCD,0.773776167,1972
NYADJDNGYCD,0.68960724,1971
NYADJDNGYCD,0.440137151,1970
NYADJDNGYCD,22.8029944,2002
NYADJDNGYCD,5.538936785,1977
NYADJDNGYCD,29.7507249,2000
NYADJDNGYCD,69.47209324,2006
NYADJDNGYCD,70.52477968,2007
NYADJDNGYCD,42.45314128,2004
NYADJDNGYCD,15.43418932,1979
NYADJDNGYCD,100,2008
NYADJDNGYCD,48.76925992,2009
NYADJDMINCD,0.407664045,1976
NYADJDMINCD,6.180824054,2003
NYADJDMINCD,0.008987657,1962
NYADJDMINCD,0.013721152,1963
NYADJDMINCD,1.161796385,1974
NYADJDMINCD,0.201875389,1986
NYADJDMINCD,0.234682276,1987
NYADJDMINCD,0.46731293,1984
NYADJDMINCD,0.407664045,1985
NYADJDMINCD,0.301148177,1982
NYADJDMINCD,0.488616104,1983
NYADJDMINCD,1.225705906,1980
NYADJDMINCD,0.509919277,1981
NYADJDMINCD,0.018621977,1964
NYADJDMINCD,0.023696047,1965
NYADJDMINCD,0.028949486,1966
NYADJDMINCD,0.034388635,1967
NYADJDMINCD,0,1960
NYADJDMINCD,0.004415779,1961
NYADJDMINCD,6.180824054,1988
NYADJDMINCD,5.925185972,1989
NYADJDMINCD,4.646995564,2001
NYADJDMINCD,100,2011
NYADJDMINCD,73.15800143,2010
NYADJDMINCD,0,2012
NYADJDMINCD,16.19331558,2005
NYADJDMINCD,0.040020059,1968
NYADJDMINCD,0.045850556,1969
NYADJDMINCD,0.256837577,1991
NYADJDMINCD,2.13748173,1990
NYADJDMINCD,0.020798415,1993
NYADJDMINCD,0.382100237,1992
NYADJDMINCD,0.014407463,1995
NYADJDMINCD,0.032302128,1994
NYADJDMINCD,1.562296047,1997
NYADJDMINCD,0.035284572,1996
NYADJDMINCD,4.860027299,1999
NYADJDMINCD,4.220932095,1998
NYADJDMINCD,0.294331162,1975
NYADJDMINCD,0.356536428,1978
NYADJDMINCD,0.646259588,1973
NYADJDMINCD,0.0646081,1972
NYADJDMINCD,0.058137161,1971
NYADJDMINCD,0.051887161,1970
NYADJDMINCD,4.732208258,2002
NYADJDMINCD,0.526961816,1977
NYADJDMINCD,4.476570177,2000
NYADJDMINCD,38.51904138,2006
NYADJDMINCD,42.48143164,2007
NYADJDMINCD,10.91012856,2004
NYADJDMINCD,0.96580719,1979
NYADJDMINCD,42.31100625,2008
NYADJDMINCD,41.37366662,2009
SPADOTFRT,89.34707904,1976
SPADOTFRT,17.18213058,2003
SPADOTFRT,21.30584192,1962
SPADOTFRT,20.96219931,1963
SPADOTFRT,67.6975945,1974
SPADOTFRT,64.26116838,1986
SPADOTFRT,63.57388316,1987
SPADOTFRT,65.29209622,1984
SPADOTFRT,64.604811,1985
SPADOTFRT,66.32302405,1982
SPADOTFRT,65.63573883,1983
SPADOTFRT,79.72508591,1980
SPADOTFRT,73.19587629,1981
SPADOTFRT,20.27491409,1964
SPADOTFRT,19.93127148,1965
SPADOTFRT,19.24398625,1966
SPADOTFRT,18.90034364,1967
SPADOTFRT,22.33676976,1960
SPADOTFRT,21.64948454,1961
SPADOTFRT,63.57388316,1988
SPADOTFRT,63.23024055,1989
SPADOTFRT,26.11683849,2001
SPADOTFRT,0,2011
SPADOTFRT,1.718213058,2010
SPADOTFRT,0,2012
SPADOTFRT,12.02749141,2005
SPADOTFRT,24.39862543,1968
SPADOTFRT,29.89690722,1969
SPADOTFRT,62.88659794,1991
SPADOTFRT,63.23024055,1990
SPADOTFRT,60.48109966,1993
SPADOTFRT,62.88659794,1992
SPADOTFRT,56.0137457,1995
SPADOTFRT,58.07560137,1994
SPADOTFRT,51.20274914,1997
SPADOTFRT,53.60824742,1996
SPADOTFRT,38.83161512,1999
SPADOTFRT,45.01718213,1998
SPADOTFRT,78.35051546,1975
SPADOTFRT,93.12714777,1978
SPADOTFRT,56.70103093,1973
SPADOTFRT,46.04810997,1972
SPADOTFRT,40.54982818,1971
SPADOTFRT,35.05154639,1970
SPADOTFRT,19.93127148,2002
SPADOTFRT,100,1977
SPADOTFRT,32.3024055,2000
SPADOTFRT,9.621993127,2006
SPADOTFRT,6.872852234,2007
SPADOTFRT,14.7766323,2004
SPADOTFRT,86.59793814,1979
SPADOTFRT,5.154639175,2008
SPADOTFRT,3.436426117,2009
SPPOPDPND,38.26086957,1976
SPPOPDPND,37.39130435,2003
SPPOPDPND,23.47826087,1962
SPPOPDPND,23.47826087,1963
SPPOPDPND,26.95652174,1974
SPPOPDPND,96.52173913,1986
SPPOPDPND,98.26086957,1987
SPPOPDPND,91.30434783,1984
SPPOPDPND,93.91304348,1985
SPPOPDPND,84.34782609,1982
SPPOPDPND,87.82608696,1983
SPPOPDPND,73.04347826,1980
SPPOPDPND,79.13043478,1981
SPPOPDPND,23.47826087,1964
SPPOPDPND,23.47826087,1965
SPPOPDPND,22.60869565,1966
SPPOPDPND,21.73913043,1967
SPPOPDPND,20.86956522,1960
SPPOPDPND,22.60869565,1961
SPPOPDPND,100,1988
SPPOPDPND,100,1989
SPPOPDPND,48.69565217,2001
SPPOPDPND,0,2011
SPPOPDPND,2.608695652,2010
SPPOPDPND,0,2012
SPPOPDPND,25.2173913,2005
SPPOPDPND,21.73913043,1968
SPPOPDPND,20.86956522,1969
SPPOPDPND,94.7826087,1991
SPPOPDPND,98.26086957,1990
SPPOPDPND,83.47826087,1993
SPPOPDPND,89.56521739,1992
SPPOPDPND,73.04347826,1995
SPPOPDPND,78.26086957,1994
SPPOPDPND,65.2173913,1997
SPPOPDPND,68.69565217,1996
SPPOPDPND,58.26086957,1999
SPPOPDPND,62.60869565,1998
SPPOPDPND,31.30434783,1975
SPPOPDPND,56.52173913,1978
SPPOPDPND,23.47826087,1973
SPPOPDPND,22.60869565,1972
SPPOPDPND,21.73913043,1971
SPPOPDPND,20.86956522,1970
SPPOPDPND,43.47826087,2002
SPPOPDPND,46.95652174,1977
SPPOPDPND,53.91304348,2000
SPPOPDPND,20,2006
SPPOPDPND,14.7826087,2007
SPPOPDPND,31.30434783,2004
SPPOPDPND,65.2173913,1979
