code,name
NYADJDNGYCD,Adjusted savings: energy depletion (current US$)
NYADJDMINCD,Adjusted savings: mineral depletion (current US$)
SPADOTFRT,Adolescent fertility rate (births per 1000 women ages 15 19)
SPPOPDPND,Age dependency ratio (% of working age population)
SPPOPDPNDOL,Age dependency ratio old (% of working age population)
SPPOPDPNDYG,Age dependency ratio young (% of working age population)
SPDYNCBRTIN,Birth rate crude (per 1000 people)
AGPRDCROPXD,Crop production index (2004 2006 = 100)
SPDYNCDRTIN,Death rate crude (per 1000 people)
SPDYNTFRTIN,Fertility rate total (births per woman)
AGPRDFOODXD,Food production index (2004 2006 = 100)
AGLNDTOTLK2,Land area (sq km)
SPDYNLE00FEIN,Life expectancy at birth female (years)
SPDYNLE00MAIN,Life expectancy at birth male (years)
SPDYNLE00IN,Life expectancy at birth total (years)
AGPRDLVSKXD,Livestock production index (2004 2006 = 100)
ITCELSETS,Mobile cellular subscriptions
ITCELSETSP2,Mobile cellular subscriptions (per 100 people)
SPPOPTOTL,Population (Total)
SPPOP0014TOZS,Population ages 0 14 (% of total)
SPPOP1564TOZS,Population ages 15 64 (% of total)
SPPOP65UPTOZS,Population ages 65 and above (% of total)
ENPOPDNST,Population density (people per sq km of land area)
SPPOPGROW,Population growth (annual %)
ENURBLCTY,Population in largest city
ENURBLCTYURZS,Population in the largest city (% of urban population)
SPPOPTOTLFEZS,Population female (% of total)
SEPRMDURS,Primary education duration (years)
SEPRMAGES,Primary school starting age (years)
SPRURTOTL,Rural population
SPRURTOTLZS,Rural population (% of total population)
SESECDURS,Secondary education duration (years)
SESECAGES,Secondary school starting age (years)
AGSRFTOTLK2,Surface area (sq km)
SPDYNTO65FEZS,Survival to age 65 female (% of cohort)
SPDYNTO65MAZS,Survival to age 65 male (% of cohort)
ITMLTMAIN,Telephone lines
ITMLTMAINP2,Telephone lines (per 100 people)
SPURBTOTL,Urban population
SPURBTOTLINZS,Urban population (% of total)
SPURBGROW,Urban population growth (annual %)
