indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0,1960
SPADOTFRT,70.49180328,1960
SPPOPDPND,94.31279621,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,95.86056645,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,0,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,97.86096257,1960
SPPOP1564TOZS,3.973509934,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,96.72897196,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,0,1960
SPPOPTOTLFEZS,14.28571429,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,72.95081967,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,100,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,100,1960
NYADJDNGYCD,0.002660276,1961
NYADJDMINCD,0.010793402,1961
SPADOTFRT,70.49180328,1961
SPPOPDPND,96.20853081,1961
SPPOPDPNDOL,2.771362587,1961
SPPOPDPNDYG,97.60348584,1961
SPDYNCBRTIN,98.90909091,1961
AGPRDCROPXD,1.137442842,1961
SPDYNCDRTIN,95.63318777,1961
SPDYNTFRTIN,99.54441913,1961
AGPRDFOODXD,0.458449702,1961
AGLNDTOTLK2,0,1961
SPDYNLE00FEIN,2.450980392,1961
SPDYNLE00MAIN,2.941176471,1961
SPDYNLE00IN,2.688172043,1961
AGPRDLVSKXD,0.277774829,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.771336554,1961
SPPOP0014TOZS,98.39572193,1961
SPPOP1564TOZS,2.649006623,1961
SPPOP65UPTOZS,1.315789474,1961
ENPOPDNST,1.793557573,1961
SPPOPGROW,98.59813084,1961
ENURBLCTY,1.572897762,1961
ENURBLCTYURZS,5.882352941,1961
SPPOPTOTLFEZS,0,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,77.04918033,1961
SPRURTOTLZS,97.4025974,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,100,1961
SPDYNTO65FEZS,2.826855124,1961
SPDYNTO65MAZS,3.720930233,1961
ITMLTMAIN,0.085005903,1961
ITMLTMAINP2,0.104726996,1961
SPURBTOTL,1.274362819,1961
SPURBTOTLINZS,2.597402597,1961
SPURBGROW,97.98994975,1961
NYADJDNGYCD,0.005936087,1962
NYADJDMINCD,0.023066762,1962
SPADOTFRT,70.49180328,1962
SPPOPDPND,98.1042654,1962
SPPOPDPNDOL,5.542725173,1962
SPPOPDPNDYG,98.91067538,1962
SPDYNCBRTIN,97.45454545,1962
AGPRDCROPXD,2.341248713,1962
SPDYNCDRTIN,91.26637555,1962
SPDYNTFRTIN,98.40546697,1962
AGPRDFOODXD,0.932708015,1962
AGLNDTOTLK2,0,1962
SPDYNLE00FEIN,4.901960784,1962
SPDYNLE00MAIN,5.882352941,1962
SPDYNLE00IN,4.838709677,1962
AGPRDLVSKXD,0.56166805,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,3.623188406,1962
SPPOP0014TOZS,99.46524064,1962
SPPOP1564TOZS,1.324503311,1962
SPPOP65UPTOZS,2.631578947,1962
ENPOPDNST,3.642092681,1962
SPPOPGROW,100,1962
ENURBLCTY,3.266787659,1962
ENURBLCTYURZS,8.823529412,1962
SPPOPTOTLFEZS,0,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,80.32786885,1962
SPRURTOTLZS,94.80519481,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,100,1962
SPDYNTO65FEZS,5.653710247,1962
SPDYNTO65MAZS,7.441860465,1962
