indicator,value,year
NYADJDNGYCD,100,1960
NYADJDMINCD,31.01490474,1960
SPADOTFRT,99.6875,1960
SPPOPDPND,89.79057592,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,92.05607477,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0.089632081,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,0,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,94.68085106,1960
SPPOP1564TOZS,8.391608392,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,98.76923077,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,27.77777778,1960
SPPOPTOTLFEZS,50,1960
SEPRMDURS,0,1960
SEPRMAGES,1,1960
SPRURTOTL,100,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,0,1960
AGSRFTOTLK2,100,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,100,1960
NYADJDNGYCD,56.61665634,1961
NYADJDMINCD,23.04580517,1961
SPADOTFRT,100,1961
SPPOPDPND,92.40837696,1961
SPPOPDPNDOL,2.366863905,1961
SPPOPDPNDYG,94.1588785,1961
SPDYNCBRTIN,97.98387097,1961
AGPRDCROPXD,1.28959276,1961
SPDYNCDRTIN,97.41935484,1961
SPDYNTFRTIN,98.93048128,1961
AGPRDFOODXD,1.356570759,1961
AGLNDTOTLK2,0,1961
SPDYNLE00FEIN,1.777777778,1961
SPDYNLE00MAIN,1.357466063,1961
SPDYNLE00IN,1.793721973,1961
AGPRDLVSKXD,1.534948662,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,2.07253886,1961
SPPOP0014TOZS,96.27659574,1961
SPPOP1564TOZS,6.293706294,1961
SPPOP65UPTOZS,1.077586207,1961
ENPOPDNST,2.034809983,1961
SPPOPGROW,100,1961
ENURBLCTY,1.732673267,1961
ENURBLCTYURZS,24.07407407,1961
SPPOPTOTLFEZS,50,1961
SEPRMDURS,0,1961
SEPRMAGES,1,1961
SPRURTOTL,100,1961
SPRURTOTLZS,96.24413146,1961
SESECDURS,1,1961
SESECAGES,0,1961
AGSRFTOTLK2,100,1961
SPDYNTO65FEZS,1.892744479,1961
SPDYNTO65MAZS,1.149425287,1961
ITMLTMAIN,0.175029172,1961
ITMLTMAINP2,0.146484375,1961
SPURBTOTL,1.860920666,1961
SPURBTOTLINZS,3.755868545,1961
SPURBGROW,92.33576642,1961
NYADJDNGYCD,32.03383482,1962
NYADJDMINCD,17.03803789,1962
SPADOTFRT,100,1962
SPPOPDPND,95.02617801,1962
SPPOPDPNDOL,4.536489152,1962
SPPOPDPNDYG,96.02803738,1962
SPDYNCBRTIN,95.56451613,1962
AGPRDCROPXD,2.533936652,1962
SPDYNCDRTIN,93.5483871,1962
SPDYNTFRTIN,96.79144385,1962
AGPRDFOODXD,2.775338088,1962
AGLNDTOTLK2,0,1962
SPDYNLE00FEIN,4,1962
SPDYNLE00MAIN,3.167420814,1962
SPDYNLE00IN,3.587443946,1962
AGPRDLVSKXD,3.158675768,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,4.14507772,1962
SPPOP0014TOZS,97.87234043,1962
SPPOP1564TOZS,4.195804196,1962
SPPOP65UPTOZS,1.724137931,1962
ENPOPDNST,4.12199459,1962
SPPOPGROW,100,1962
ENURBLCTY,3.217821782,1962
ENURBLCTYURZS,18.51851852,1962
SPPOPTOTLFEZS,50,1962
SEPRMDURS,0,1962
SEPRMAGES,1,1962
SPRURTOTL,100,1962
SPRURTOTLZS,92.48826291,1962
SESECDURS,1,1962
SESECAGES,0,1962
AGSRFTOTLK2,100,1962
SPDYNTO65FEZS,4.100946372,1962
SPDYNTO65MAZS,2.011494253,1962
ITMLTMAIN,0.320886814,1962
ITMLTMAINP2,0.341796875,1962
SPURBTOTL,3.819784525,1962
SPURBTOTLINZS,7.511737089,1962
SPURBGROW,91.97080292,1962
NYADJDNGYCD,18.10417741,1963
NYADJDMINCD,12.50888534,1963
