indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0.368698202,1960
SPADOTFRT,100,1960
SPPOPDPND,92.22222222,1960
SPPOPDPNDOL,9.702970297,1960
SPPOPDPNDYG,91.98396794,1960
SPDYNCBRTIN,28.57142857,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,91.39784946,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,1.029411765,1960
SPPOP0014TOZS,93.93939394,1960
SPPOP1564TOZS,6.010928962,1960
SPPOP65UPTOZS,7.157464213,1960
ENPOPDNST,0,1960
SPPOPGROW,74.80314961,1960
ENURBLCTY,11.9152692,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,0,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,2.807017544,1960
SPRURTOTLZS,100,1960
SESECDURS,0,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,3.47826087,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,95.87912088,1960
NYADJDNGYCD,1.68E-05,1961
NYADJDMINCD,0.30517428,1961
SPADOTFRT,97.59190881,1961
SPPOPDPND,94.22222222,1961
SPPOPDPNDOL,7.920792079,1961
SPPOPDPNDYG,94.18837675,1961
SPDYNCBRTIN,19.36507937,1961
AGPRDCROPXD,0.790643819,1961
SPDYNCDRTIN,41.63626889,1961
SPDYNTFRTIN,94.19354839,1961
AGPRDFOODXD,0.638655349,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,1.597444089,1961
SPDYNLE00MAIN,0.313479624,1961
SPDYNLE00IN,0.952380952,1961
AGPRDLVSKXD,0.419638196,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,0,1961
SPPOP0014TOZS,95.67099567,1961
SPPOP1564TOZS,4.371584699,1961
SPPOP65UPTOZS,5.521472393,1961
ENPOPDNST,0.78398808,1961
SPPOPGROW,0,1961
ENURBLCTY,11.03265666,1961
ENURBLCTYURZS,95.5613577,1961
SPPOPTOTLFEZS,25,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,0,1961
SPRURTOTLZS,98.83381924,1961
SESECDURS,0,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,0.420168067,1961
SPDYNTO65MAZS,1.739130435,1961
ITMLTMAIN,0.010320816,1961
ITMLTMAINP2,0.010918533,1961
SPURBTOTL,0.175131349,1961
SPURBTOTLINZS,1.166180758,1961
SPURBGROW,0,1961
NYADJDNGYCD,5.84E-05,1962
NYADJDMINCD,0.250489007,1962
SPADOTFRT,95.18381763,1962
SPPOPDPND,96.22222222,1962
SPPOPDPNDOL,5.346534653,1962
SPPOPDPNDYG,96.19238477,1962
SPDYNCBRTIN,79.68253968,1962
AGPRDCROPXD,1.620733136,1962
SPDYNCDRTIN,19.74986972,1962
SPDYNTFRTIN,96.77419355,1962
AGPRDFOODXD,1.312870571,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,4.792332268,1962
SPDYNLE00MAIN,3.134796238,1962
SPDYNLE00IN,3.80952381,1962
AGPRDLVSKXD,0.893548305,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,0.882352941,1962
SPPOP0014TOZS,96.96969697,1962
SPPOP1564TOZS,3.278688525,1962
SPPOP65UPTOZS,3.680981595,1962
ENPOPDNST,1.574434887,1962
SPPOPGROW,48.29396325,1962
ENURBLCTY,10.15004413,1962
ENURBLCTYURZS,88.25065274,1962
SPPOPTOTLFEZS,50,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,0.701754386,1962
SPRURTOTLZS,97.66763848,1962
SESECDURS,0,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,0.840336134,1962
SPDYNTO65MAZS,0,1962
ITMLTMAIN,0.021062517,1962
ITMLTMAINP2,0.022090589,1962
SPURBTOTL,0.875656743,1962
SPURBTOTLINZS,2.332361516,1962
SPURBGROW,49.17582418,1962
NYADJDNGYCD,0.000161384,1963
NYADJDMINCD,0.203412583,1963
SPADOTFRT,90.04655643,1963
SPPOPDPND,98.22222222,1963
SPPOPDPNDOL,2.772277228,1963
SPPOPDPNDYG,98.19639279,1963
SPDYNCBRTIN,100,1963
AGPRDCROPXD,2.304872683,1963
SPDYNCDRTIN,19.74986972,1963
SPDYNTFRTIN,98.70967742,1963
AGPRDFOODXD,2.014054402,1963
AGLNDTOTLK2,1,1963
SPDYNLE00FEIN,9.904153355,1963
SPDYNLE00MAIN,8.463949843,1963
SPDYNLE00IN,8.888888889,1963
AGPRDLVSKXD,2.374517398,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,3.235294118,1963
SPPOP0014TOZS,98.7012987,1963
SPPOP1564TOZS,1.639344262,1963
SPPOP65UPTOZS,1.840490798,1963
ENPOPDNST,4.044485276,1963
SPPOPGROW,91.33858268,1963
ENURBLCTY,9.267431598,1963
ENURBLCTYURZS,79.11227154,1963
SPPOPTOTLFEZS,75,1963
SEPRMDURS,1,1963
