indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0,1960
SPADOTFRT,100,1960
SPPOPDPND,92.67399267,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,95.40636042,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,98.11320755,1960
SPPOP1564TOZS,6.451612903,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,100,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,45.61403509,1960
SPPOPTOTLFEZS,100,1960
SEPRMDURS,100,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,100,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,100,1960
NYADJDNGYCD,0.005801733,1961
NYADJDMINCD,0.002588311,1961
SPADOTFRT,100,1961
SPPOPDPND,95.23809524,1961
SPPOPDPNDOL,6.315789474,1961
SPPOPDPNDYG,97.17314488,1961
SPDYNCBRTIN,97.4789916,1961
AGPRDCROPXD,4.402169645,1961
SPDYNCDRTIN,96.90162665,1961
SPDYNTFRTIN,99.47089947,1961
AGPRDFOODXD,2.662896505,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,2.521008403,1961
SPDYNLE00MAIN,2.314814815,1961
SPDYNLE00IN,2.643171806,1961
AGPRDLVSKXD,0.363176275,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.556420233,1961
SPPOP0014TOZS,99.05660377,1961
SPPOP1564TOZS,4.301075269,1961
SPPOP65UPTOZS,2.958579882,1961
ENPOPDNST,1.522095987,1961
SPPOPGROW,99.2,1961
ENURBLCTY,2.425876011,1961
ENURBLCTYURZS,49.12280702,1961
SPPOPTOTLFEZS,100,1961
SEPRMDURS,100,1961
SEPRMAGES,1,1961
SPRURTOTL,1.094890511,1961
SPRURTOTLZS,91.66666667,1961
SESECDURS,1,1961
SESECAGES,100,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,2.464788732,1961
SPDYNTO65MAZS,1.945525292,1961
ITMLTMAIN,0.051374261,1961
ITMLTMAINP2,0.01397624,1961
SPURBTOTL,2.083333333,1961
SPURBTOTLINZS,8.333333333,1961
SPURBGROW,95.2681388,1961
NYADJDNGYCD,0.013533076,1962
NYADJDMINCD,0.005420826,1962
SPADOTFRT,99.03753609,1962
SPPOPDPND,95.97069597,1962
SPPOPDPNDOL,11.05263158,1962
SPPOPDPNDYG,97.87985866,1962
SPDYNCBRTIN,94.95798319,1962
AGPRDCROPXD,9.885001599,1962
SPDYNCDRTIN,93.02865995,1962
SPDYNTFRTIN,98.41269841,1962
AGPRDFOODXD,5.826521676,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,5.042016807,1962
SPDYNLE00MAIN,4.62962963,1962
SPDYNLE00IN,4.845814978,1962
AGPRDLVSKXD,0.738505528,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,3.112840467,1962
SPPOP0014TOZS,99.05660377,1962
SPPOP1564TOZS,3.225806452,1962
SPPOP65UPTOZS,5.917159763,1962
ENPOPDNST,3.086744859,1962
SPPOPGROW,97.6,1962
ENURBLCTY,5.121293801,1962
ENURBLCTYURZS,54.38596491,1962
SPPOPTOTLFEZS,100,1962
SEPRMDURS,100,1962
SEPRMAGES,1,1962
SPRURTOTL,2.554744526,1962
SPRURTOTLZS,81.66666667,1962
SESECDURS,1,1962
SESECAGES,100,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,5.281690141,1962
SPDYNTO65MAZS,4.280155642,1962
ITMLTMAIN,0.102748523,1962
