indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,8.845651782,1960
SPADOTFRT,74.66636508,1960
SPPOPDPND,32.89473684,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,66.07142857,1960
SPDYNCBRTIN,92,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,75,1960
SPDYNTFRTIN,86.92307692,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,77.22772277,1960
SPPOP1564TOZS,65.67164179,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,89.44649446,1960
ENURBLCTY,51.1627907,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,100,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,100,1960
NYADJDNGYCD,0.000381521,1961
NYADJDMINCD,8.751474554,1961
SPADOTFRT,79.64261479,1961
SPPOPDPND,40.13157895,1961
SPPOPDPNDOL,2.684563758,1961
SPPOPDPNDYG,70.23809524,1961
SPDYNCBRTIN,98,1961
AGPRDCROPXD,28.24761896,1961
SPDYNCDRTIN,60.71428571,1961
SPDYNTFRTIN,93.07692308,1961
AGPRDFOODXD,9.667814175,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,1.785714286,1961
SPDYNLE00MAIN,0.862068966,1961
SPDYNLE00IN,1.754385965,1961
AGPRDLVSKXD,2.523735351,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,6.18556701,1961
SPPOP0014TOZS,80.1980198,1961
SPPOP1564TOZS,56.71641791,1961
SPPOP65UPTOZS,2.083333333,1961
ENPOPDNST,6.419213716,1961
SPPOPGROW,88.48708487,1961
ENURBLCTY,48.8372093,1961
ENURBLCTYURZS,92.47311828,1961
SPPOPTOTLFEZS,96.15384615,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,7.692307692,1961
SPRURTOTLZS,96,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,2.459016393,1961
SPDYNTO65MAZS,0.564971751,1961
ITMLTMAIN,0.542846064,1961
ITMLTMAINP2,0.548564053,1961
SPURBTOTL,5.882352941,1961
SPURBTOTLINZS,4,1961
SPURBGROW,79.90255786,1961
NYADJDNGYCD,0.001210199,1962
NYADJDMINCD,8.658300005,1962
SPADOTFRT,84.61886451,1962
SPPOPDPND,48.68421053,1962
SPPOPDPNDOL,5.369127517,1962
SPPOPDPNDYG,75.5952381,1962
SPDYNCBRTIN,97,1962
AGPRDCROPXD,62.72797314,1962
SPDYNCDRTIN,71.42857143,1962
SPDYNTFRTIN,92.30769231,1962
AGPRDFOODXD,20.0382766,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,4.464285714,1962
SPDYNLE00MAIN,2.586206897,1962
SPDYNLE00IN,3.50877193,1962
AGPRDLVSKXD,5.092043795,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,12.37113402,1962
