indicator,value,year
NYADJDNGYCD,1,1960
NYADJDMINCD,50.36137566,1960
SPADOTFRT,95.307756,1960
SPPOPDPND,98.44097996,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,98.95287958,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,68.58692668,1960
SPDYNCDRTIN,77.64705882,1960
SPDYNTFRTIN,98.83963797,1960
AGPRDFOODXD,29.07439289,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,17.81360213,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,99.65635739,1960
SPPOP1564TOZS,1.058201058,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,82.00105876,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,16.66666667,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,93.04703476,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,76.72114908,1960
NYADJDNGYCD,1,1961
NYADJDMINCD,51.12861521,1961
SPADOTFRT,97.79188518,1961
SPPOPDPND,100,1961
SPPOPDPNDOL,1.032565528,1961
SPPOPDPNDYG,100,1961
SPDYNCBRTIN,96.89655172,1961
AGPRDCROPXD,60.56973848,1961
SPDYNCDRTIN,88.23529412,1961
SPDYNTFRTIN,100,1961
AGPRDFOODXD,43.03684211,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,3.144654088,1961
SPDYNLE00MAIN,3.550295858,1961
SPDYNLE00IN,3.658536585,1961
AGPRDLVSKXD,35.52281918,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,2.255639098,1961
SPPOP0014TOZS,100,1961
SPPOP1564TOZS,0,1961
SPPOP65UPTOZS,0.578034682,1961
ENPOPDNST,3.254012741,1961
SPPOPGROW,55.70848774,1961
ENURBLCTY,2.66075388,1961
ENURBLCTYURZS,100,1961
SPPOPTOTLFEZS,16.66666667,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,94.27402863,1961
SPRURTOTLZS,98.64864865,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,4.6875,1961
SPDYNTO65MAZS,4.04040404,1961
ITMLTMAIN,0.362073396,1961
ITMLTMAINP2,0.725983454,1961
SPURBTOTL,2.02247191,1961
SPURBTOTLINZS,1.351351351,1961
SPURBGROW,56.90936107,1961
NYADJDNGYCD,1,1962
NYADJDMINCD,51.9075434,1962
SPADOTFRT,100,1962
SPPOPDPND,99.1091314,1962
SPPOPDPNDOL,1.667990469,1962
SPPOPDPNDYG,99.12739965,1962
SPDYNCBRTIN,93.44827586,1962
AGPRDCROPXD,53.20361146,1962
SPDYNCDRTIN,100,1962
SPDYNTFRTIN,99.30378278,1962
AGPRDFOODXD,60.55263158,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,6.918238994,1962
SPDYNLE00MAIN,7.100591716,1962
SPDYNLE00IN,6.707317073,1962
AGPRDLVSKXD,61.01675332,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,5.764411028,1962
SPPOP0014TOZS,99.65635739,1962
SPPOP1564TOZS,0.529100529,1962
SPPOP65UPTOZS,1.156069364,1962
ENPOPDNST,6.648843361,1962
SPPOPGROW,78.29539439,1962
ENURBLCTY,5.321507761,1962
