indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0,1960
SPADOTFRT,94.91094148,1960
SPPOPDPND,82.31046931,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,85.18518519,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,1.155260681,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0.932627956,1960
AGLNDTOTLK2,100,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,88.98305085,1960
SPPOP1564TOZS,15,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,64.1509434,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,0,1960
SPPOPTOTLFEZS,100,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,0,1960
NYADJDNGYCD,0.00370072,1961
NYADJDMINCD,0.014627171,1961
SPADOTFRT,94.91094148,1961
SPPOPDPND,86.28158845,1961
SPPOPDPNDOL,2.8,1961
SPPOPDPNDYG,88.88888889,1961
SPDYNCBRTIN,98.57142857,1961
AGPRDCROPXD,0.831663327,1961
SPDYNCDRTIN,95.78947368,1961
SPDYNTFRTIN,99.7005988,1961
AGPRDFOODXD,0.483383686,1961
AGLNDTOTLK2,100,1961
SPDYNLE00FEIN,2.564102564,1961
SPDYNLE00MAIN,3.636363636,1961
SPDYNLE00IN,2.845528455,1961
AGPRDLVSKXD,0.104744183,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.168831169,1961
SPPOP0014TOZS,91.52542373,1961
SPPOP1564TOZS,12,1961
SPPOP65UPTOZS,0.483091787,1961
ENPOPDNST,1.184359771,1961
SPPOPGROW,66.98113208,1961
ENURBLCTY,0.541338583,1961
ENURBLCTYURZS,1.587301587,1961
SPPOPTOTLFEZS,100,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,1.489361702,1961
SPRURTOTLZS,98.50746269,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,2.331002331,1961
SPDYNTO65MAZS,3.125,1961
ITMLTMAIN,0.090238229,1961
ITMLTMAINP2,0.191872024,1961
SPURBTOTL,0.796284008,1961
SPURBTOTLINZS,1.492537313,1961
SPURBGROW,36.80981595,1961
NYADJDNGYCD,0.008978334,1962
NYADJDMINCD,0.030884618,1962
SPADOTFRT,94.91094148,1962
SPPOPDPND,90.61371841,1962
SPPOPDPNDOL,6.4,1962
SPPOPDPNDYG,92.25589226,1962
SPDYNCBRTIN,96.66666667,1962
AGPRDCROPXD,0.511022044,1962
SPDYNCDRTIN,91.57894737,1962
SPDYNTFRTIN,99.10179641,1962
AGPRDFOODXD,0.040281974,1962
AGLNDTOTLK2,100,1962
SPDYNLE00FEIN,5.494505495,1962
SPDYNLE00MAIN,6.818181818,1962
SPDYNLE00IN,6.097560976,1962
AGPRDLVSKXD,0.209957494,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,2.337662338,1962
SPPOP0014TOZS,94.91525424,1962
SPPOP1564TOZS,8,1962
SPPOP65UPTOZS,2.415458937,1962
ENPOPDNST,2.392827516,1962
SPPOPGROW,69.81132075,1962
ENURBLCTY,1.082677165,1962
ENURBLCTYURZS,2.857142857,1962
SPPOPTOTLFEZS,50,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,2.765957447,1962
SPRURTOTLZS,97.01492537,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,4.428904429,1962
SPDYNTO65MAZS,6.25,1962
ITMLTMAIN,0.190502928,1962
