indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0,1960
SPADOTFRT,90.58380414,1960
SPPOPDPND,69.79472141,1960
SPPOPDPNDOL,12.57861635,1960
SPPOPDPNDYG,70.70422535,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,75,1960
SPPOP1564TOZS,26.27118644,1960
SPPOP65UPTOZS,16.09195402,1960
ENPOPDNST,0,1960
SPPOPGROW,85.27131783,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,96.34235552,1960
SPPOPTOTLFEZS,100,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,37.82894737,1960
NYADJDNGYCD,0.002790859,1961
NYADJDMINCD,0.004785777,1961
SPADOTFRT,92.46704331,1961
SPPOPDPND,73.31378299,1961
SPPOPDPNDOL,9.433962264,1961
SPPOPDPNDYG,74.36619718,1961
SPDYNCBRTIN,98.8,1961
AGPRDCROPXD,1.21062237,1961
SPDYNCDRTIN,95.00356888,1961
SPDYNTFRTIN,99.6941896,1961
AGPRDFOODXD,1.250773334,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,3.396226415,1961
SPDYNLE00MAIN,3.225806452,1961
SPDYNLE00IN,3.125,1961
AGPRDLVSKXD,0.690920467,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.416613007,1961
SPPOP0014TOZS,78.67647059,1961
SPPOP1564TOZS,22.88135593,1961
SPPOP65UPTOZS,13.2183908,1961
ENPOPDNST,1.402932998,1961
SPPOPGROW,86.82170543,1961
ENURBLCTY,2.567975831,1961
ENURBLCTYURZS,99.2684711,1961
SPPOPTOTLFEZS,100,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,3.25203252,1961
SPRURTOTLZS,99.44598338,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,2.716049383,1961
SPDYNTO65MAZS,2.659574468,1961
ITMLTMAIN,0.015924698,1961
ITMLTMAINP2,0.027630968,1961
SPURBTOTL,0.540054005,1961
SPURBTOTLINZS,0.55401662,1961
SPURBGROW,41.11842105,1961
NYADJDNGYCD,0.007026076,1962
NYADJDMINCD,0.010613529,1962
SPADOTFRT,93.4086629,1962
SPPOPDPND,77.41935484,1962
SPPOPDPNDOL,6.918238994,1962
SPPOPDPNDYG,78.5915493,1962
SPDYNCBRTIN,97.6,1962
AGPRDCROPXD,2.49768722,1962
SPDYNCDRTIN,90.72091363,1962
SPDYNTFRTIN,99.3883792,1962
AGPRDFOODXD,2.589298552,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,6.41509434,1962
SPDYNLE00MAIN,6.451612903,1962
SPDYNLE00IN,6.25,1962
AGPRDLVSKXD,1.41495606,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,2.833226014,1962
SPPOP0014TOZS,82.35294118,1962
SPPOP1564TOZS,18.6440678,1962
SPPOP65UPTOZS,9.770114943,1962
ENPOPDNST,2.840467617,1962
SPPOPGROW,89.14728682,1962
ENURBLCTY,4.380664653,1962
ENURBLCTYURZS,100,1962
SPPOPTOTLFEZS,100,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,6.707317073,1962
SPRURTOTLZS,98.61495845,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,5.432098765,1962
SPDYNTO65MAZS,5.319148936,1962
