indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,100,1960
SPADOTFRT,16,1960
SPPOPDPND,84.31372549,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,100,1960
SPDYNCBRTIN,81.08108108,1960
AGPRDCROPXD,53.2775472,1960
SPDYNCDRTIN,42.5,1960
SPDYNTFRTIN,82.22222222,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,100,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,100,1960
SPPOP1564TOZS,14.70588235,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,36.85756241,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,0,1960
SPPOPTOTLFEZS,20,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,100,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,56.39300135,1960
NYADJDNGYCD,0.016163494,1961
NYADJDMINCD,67.4254769,1961
SPADOTFRT,8,1961
SPPOPDPND,71.89542484,1961
SPPOPDPNDOL,0.140007,1961
SPPOPDPNDYG,92.7480916,1961
SPDYNCBRTIN,78.37837838,1961
AGPRDCROPXD,59.712,1961
SPDYNCDRTIN,37.5,1961
SPDYNTFRTIN,87.77777778,1961
AGPRDFOODXD,8.087678332,1961
AGLNDTOTLK2,100,1961
SPDYNLE00FEIN,4.294478528,1961
SPDYNLE00MAIN,4.195804196,1961
SPDYNLE00IN,3.947368421,1961
AGPRDLVSKXD,4.780622576,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,6.76056338,1961
SPPOP0014TOZS,94.70588235,1961
SPPOP1564TOZS,26.47058824,1961
SPPOP65UPTOZS,0.500834725,1961
ENPOPDNST,2.541895943,1961
SPPOPGROW,100,1961
ENURBLCTY,2.985074627,1961
ENURBLCTYURZS,0,1961
SPPOPTOTLFEZS,20,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,100,1961
SPRURTOTLZS,96.76724138,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,5.945945946,1961
SPDYNTO65MAZS,3.652968037,1961
ITMLTMAIN,0.886496755,1961
ITMLTMAINP2,1.125434827,1961
SPURBTOTL,4.173913043,1961
SPURBTOTLINZS,3.237410072,1961
SPURBGROW,100,1961
NYADJDNGYCD,0.039682466,1962
NYADJDMINCD,45.46149054,1962
SPADOTFRT,0,1962
SPPOPDPND,58.82352941,1962
SPPOPDPNDOL,0.280014001,1962
SPPOPDPNDYG,85.11450382,1962
SPDYNCBRTIN,79.27927928,1962
AGPRDCROPXD,66.368,1962
SPDYNCDRTIN,40,1962
SPDYNTFRTIN,83.33333333,1962
AGPRDFOODXD,16.71812177,1962
AGLNDTOTLK2,100,1962
SPDYNLE00FEIN,6.134969325,1962
SPDYNLE00MAIN,6.293706294,1962
SPDYNLE00IN,5.921052632,1962
AGPRDLVSKXD,10.28078974,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,9.295774648,1962
SPPOP0014TOZS,88.82352941,1962
SPPOP1564TOZS,39.70588235,1962
SPPOP65UPTOZS,1.057317752,1962
ENPOPDNST,5.10759305,1962
SPPOPGROW,38.39941263,1962
ENURBLCTY,6.467661692,1962
ENURBLCTYURZS,6.666666667,1962
SPPOPTOTLFEZS,20,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,97.35682819,1962
SPRURTOTLZS,93.53448276,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,11.89189189,1962
SPDYNTO65MAZS,7.762557078,1962
ITMLTMAIN,1.899635903,1962
ITMLTMAINP2,2.414569265,1962
SPURBTOTL,6.782608696,1962
SPURBTOTLINZS,6.474820144,1962
SPURBGROW,54.23956931,1962
NYADJDNGYCD,0.073904156,1963
NYADJDMINCD,30.65185861,1963
SPADOTFRT,0,1963
SPPOPDPND,45.75163399,1963
SPPOPDPNDOL,0.420021001,1963
SPPOPDPNDYG,77.48091603,1963
SPDYNCBRTIN,81.98198198,1963
AGPRDCROPXD,68,1963
SPDYNCDRTIN,27.5,1963
SPDYNTFRTIN,84.44444444,1963
AGPRDFOODXD,19.9687954,1963
AGLNDTOTLK2,100,1963
SPDYNLE00FEIN,13.49693252,1963
SPDYNLE00MAIN,13.28671329,1963
SPDYNLE00IN,13.15789474,1963
AGPRDLVSKXD,12.23909101,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,12.11267606,1963
SPPOP0014TOZS,83.52941176,1963
SPPOP1564TOZS,51.47058824,1963
SPPOP65UPTOZS,1.669449082,1963
ENPOPDNST,7.926685127,1963
SPPOPGROW,41.62995595,1963
ENURBLCTY,10.44776119,1963
ENURBLCTYURZS,13.33333333,1963
SPPOPTOTLFEZS,20,1963
SEPRMDURS,1,1963
SEPRMAGES,1,1963
SPRURTOTL,95.15418502,1963
SPRURTOTLZS,90.30172414,1963
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,15.67567568,1963
SPDYNTO65MAZS,11.41552511,1963
ITMLTMAIN,3.071078043,1963
ITMLTMAINP2,3.908328218,1963
SPURBTOTL,9.391304348,1963
SPURBTOTLINZS,9.712230216,1963
SPURBGROW,56.12382234,1963
NYADJDNGYCD,0.12369902,1964
NYADJDMINCD,20.66618503,1964
SPADOTFRT,0,1964
SPPOPDPND,35.29411765,1964
SPPOPDPNDOL,0.700035002,1964
SPPOPDPNDYG,70.61068702,1964
SPDYNCBRTIN,85.58558559,1964
AGPRDCROPXD,69.6,1964
SPDYNCDRTIN,25,1964
SPDYNTFRTIN,87.77777778,1964
AGPRDFOODXD,24.34104649,1964
AGLNDTOTLK2,100,1964
SPDYNLE00FEIN,16.56441718,1964
SPDYNLE00MAIN,16.08391608,1964
SPDYNLE00IN,15.78947368,1964
AGPRDLVSKXD,18.16234795,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,14.92957746,1964
SPPOP0014TOZS,78.23529412,1964
SPPOP1564TOZS,63.23529412,1964
SPPOP65UPTOZS,2.337228715,1964
ENPOPDNST,11.10162702,1964
SPPOPGROW,42.36417034,1964
ENURBLCTY,13.93034826,1964
ENURBLCTYURZS,21.66666667,1964
SPPOPTOTLFEZS,20,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,92.51101322,1964
SPRURTOTLZS,87.06896552,1964
SESECDURS,1,1964
SESECAGES,1,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,20,1964
SPDYNTO65MAZS,14.61187215,1964
ITMLTMAIN,4.416653475,1964
ITMLTMAINP2,5.586249233,1964
SPURBTOTL,12.17391304,1964
SPURBTOTLINZS,12.94964029,1964
SPURBGROW,56.12382234,1964
NYADJDNGYCD,0.196153903,1965
NYADJDMINCD,13.93315634,1965
SPADOTFRT,0,1965
SPPOPDPND,26.79738562,1965
SPPOPDPNDOL,1.050052503,1965
SPPOPDPNDYG,65.26717557,1965
SPDYNCBRTIN,93.69369369,1965
AGPRDCROPXD,71.2,1965
SPDYNCDRTIN,30,1965
SPDYNTFRTIN,97.77777778,1965
AGPRDFOODXD,29.09349331,1965
AGLNDTOTLK2,100,1965
SPDYNLE00FEIN,17.17791411,1965
SPDYNLE00MAIN,16.78321678,1965
SPDYNLE00IN,16.44736842,1965
AGPRDLVSKXD,21.18441782,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,18.02816901,1965
SPPOP0014TOZS,74.11764706,1965
SPPOP1564TOZS,72.05882353,1965
SPPOP65UPTOZS,3.005008347,1965
ENPOPDNST,14.27656891,1965
SPPOPGROW,43.46549192,1965
ENURBLCTY,17.91044776,1965
ENURBLCTYURZS,28.33333333,1965
SPPOPTOTLFEZS,40,1965
SEPRMDURS,1,1965
SEPRMAGES,1,1965
SPRURTOTL,90.30837004,1965
SPRURTOTLZS,83.47701149,1965
SESECDURS,1,1965
SESECAGES,1,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,24.32432432,1965
SPDYNTO65MAZS,18.26484018,1965
ITMLTMAIN,5.968022796,1965
ITMLTMAINP2,7.509719664,1965
SPURBTOTL,14.95652174,1965
SPURBTOTLINZS,16.54676259,1965
SPURBGROW,56.66218035,1965
NYADJDNGYCD,0.30158064,1966
NYADJDMINCD,9.393284807,1966
SPADOTFRT,0,1966
SPPOPDPND,20.26143791,1966
SPPOPDPNDOL,1.575078754,1966
SPPOPDPNDYG,61.06870229,1966
SPDYNCBRTIN,49.54954955,1966
AGPRDCROPXD,76,1966
SPDYNCDRTIN,22.5,1966
SPDYNTFRTIN,35.55555556,1966
AGPRDFOODXD,32.13505929,1966
AGLNDTOTLK2,100,1966
SPDYNLE00FEIN,22.08588957,1966
SPDYNLE00MAIN,22.37762238,1966
SPDYNLE00IN,21.71052632,1966
AGPRDLVSKXD,21.667949,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,20.56338028,1966
SPPOP0014TOZS,70.58823529,1966
SPPOP1564TOZS,77.94117647,1966
SPPOP65UPTOZS,3.784084585,1966
ENPOPDNST,16.39319684,1966
SPPOPGROW,37.70190896,1966
ENURBLCTY,20.89552239,1966
ENURBLCTYURZS,33.33333333,1966
SPPOPTOTLFEZS,40,1966
SEPRMDURS,1,1966
SEPRMAGES,1,1966
SPRURTOTL,88.10572687,1966
SPRURTOTLZS,80.60344828,1966
SESECDURS,1,1966
SESECAGES,1,1966
AGSRFTOTLK2,1,1966
SPDYNTO65FEZS,28.64864865,1966
SPDYNTO65MAZS,21.91780822,1966
ITMLTMAIN,7.994301092,1966
ITMLTMAINP2,9.965213833,1966
SPURBTOTL,17.39130435,1966
SPURBTOTLINZS,19.42446043,1966
SPURBGROW,47.24091521,1966
NYADJDNGYCD,0.454983647,1967
NYADJDMINCD,6.332190822,1967
SPADOTFRT,0,1967
SPPOPDPND,16.33986928,1967
SPPOPDPNDOL,2.170108505,1967
SPPOPDPNDYG,58.01526718,1967
SPDYNCBRTIN,100,1967
AGPRDCROPXD,92,1967
SPDYNCDRTIN,20,1967
SPDYNTFRTIN,84.44444444,1967
AGPRDFOODXD,43.92112742,1967
AGLNDTOTLK2,100,1967
SPDYNLE00FEIN,23.31288344,1967
SPDYNLE00MAIN,23.77622378,1967
SPDYNLE00IN,23.68421053,1967
AGPRDLVSKXD,25.41531564,1967
ITCELSETS,0,1967
ITCELSETSP2,0,1967
SPPOPTOTL,23.94366197,1967
SPPOP0014TOZS,68.23529412,1967
SPPOP1564TOZS,82.35294118,1967
SPPOP65UPTOZS,4.618809126,1967
ENPOPDNST,19.56813873,1967
SPPOPGROW,38.43612335,1967
ENURBLCTY,23.88059701,1967
ENURBLCTYURZS,36.66666667,1967
SPPOPTOTLFEZS,40,1967
SEPRMDURS,1,1967
SEPRMAGES,1,1967
SPRURTOTL,85.9030837,1967
SPRURTOTLZS,77.72988506,1967
SESECDURS,1,1967
SESECAGES,1,1967
AGSRFTOTLK2,1,1967
SPDYNTO65FEZS,32.97297297,1967
SPDYNTO65MAZS,25.57077626,1967
ITMLTMAIN,10.40050657,1967
ITMLTMAINP2,12.82995703,1967
SPURBTOTL,20,1967
SPURBTOTLINZS,22.30215827,1967
SPURBGROW,47.24091521,1967
NYADJDNGYCD,0.678195358,1968
NYADJDMINCD,4.268190487,1968
SPADOTFRT,10,1968
SPPOPDPND,14.37908497,1968
SPPOPDPNDOL,2.870143507,1968
SPPOPDPNDYG,56.10687023,1968
SPDYNCBRTIN,93.69369369,1968
AGPRDCROPXD,100,1968
SPDYNCDRTIN,22.5,1968
SPDYNTFRTIN,96.66666667,1968
AGPRDFOODXD,52.09533597,1968
AGLNDTOTLK2,100,1968
SPDYNLE00FEIN,25.76687117,1968
SPDYNLE00MAIN,26.57342657,1968
SPDYNLE00IN,25.65789474,1968
AGPRDLVSKXD,29.40444787,1968
ITCELSETS,0,1968
ITCELSETSP2,0,1968
SPPOPTOTL,23.94366197,1968
SPPOP0014TOZS,65.88235294,1968
SPPOP1564TOZS,83.82352941,1968
SPPOP65UPTOZS,5.50918197,1968
ENPOPDNST,20.6264527,1968
SPPOPGROW,16.40969163,1968
ENURBLCTY,26.86567164,1968
ENURBLCTYURZS,43.33333333,1968
SPPOPTOTLFEZS,40,1968
SEPRMDURS,1,1968
SEPRMAGES,1,1968
SPRURTOTL,82.37885463,1968
SPRURTOTLZS,74.85632184,1968
SESECDURS,1,1968
SESECAGES,1,1968
AGSRFTOTLK2,1,1968
SPDYNTO65FEZS,36.21621622,1968
SPDYNTO65MAZS,28.76712329,1968
ITMLTMAIN,13.09165743,1968
ITMLTMAINP2,16.10394925,1968
SPURBTOTL,21.73913043,1968
SPURBTOTLINZS,25.17985612,1968
SPURBGROW,30.82099596,1968
NYADJDNGYCD,1.002983439,1969
NYADJDMINCD,2.876499346,1969
SPADOTFRT,20,1969
SPPOPDPND,13.7254902,1969
SPPOPDPNDOL,3.675183759,1969
SPPOPDPNDYG,54.96183206,1969
SPDYNCBRTIN,91.89189189,1969
AGPRDCROPXD,88.8,1969
SPDYNCDRTIN,22.5,1969
SPDYNTFRTIN,96.66666667,1969
AGPRDFOODXD,52.28543384,1969
AGLNDTOTLK2,100,1969
SPDYNLE00FEIN,27.60736196,1969
SPDYNLE00MAIN,27.27272727,1969
SPDYNLE00IN,26.97368421,1969
AGPRDLVSKXD,36.05300158,1969
ITCELSETS,0,1969
ITCELSETSP2,0,1969
SPPOPTOTL,29.57746479,1969
SPPOP0014TOZS,64.70588235,1969
SPPOP1564TOZS,85.29411765,1969
SPPOP65UPTOZS,6.343906511,1969
ENPOPDNST,25.91802252,1969
SPPOPGROW,80.17621145,1969
ENURBLCTY,29.85074627,1969
ENURBLCTYURZS,40,1969
SPPOPTOTLFEZS,40,1969
SEPRMDURS,1,1969
SEPRMAGES,1,1969
SPRURTOTL,81.49779736,1969
SPRURTOTLZS,71.98275862,1969
SESECDURS,1,1969
SESECAGES,1,1969
AGSRFTOTLK2,1,1969
SPDYNTO65FEZS,39.45945946,1969
SPDYNTO65MAZS,31.96347032,1969
ITMLTMAIN,16.41602026,1969
ITMLTMAINP2,19.99181502,1969
SPURBTOTL,25.73913043,1969
SPURBTOTLINZS,28.05755396,1969
SPURBGROW,77.11978466,1969
NYADJDNGYCD,1.475571982,1970
NYADJDMINCD,1.938125352,1970
SPADOTFRT,30,1970
SPPOPDPND,14.37908497,1970
SPPOPDPNDOL,4.445222261,1970
SPPOPDPNDYG,54.19847328,1970
SPDYNCBRTIN,93.69369369,1970
AGPRDCROPXD,79.2,1970
SPDYNCDRTIN,25,1970
SPDYNTFRTIN,97.77777778,1970
AGPRDFOODXD,54.18641257,1970
AGLNDTOTLK2,100,1970
SPDYNLE00FEIN,28.2208589,1970
SPDYNLE00MAIN,28.67132867,1970
SPDYNLE00IN,28.28947368,1970
AGPRDLVSKXD,43.54773485,1970
ITCELSETS,0,1970
ITCELSETSP2,0,1970
SPPOPTOTL,32.3943662,1970
SPPOP0014TOZS,64.11764706,1970
SPPOP1564TOZS,83.82352941,1970
SPPOP65UPTOZS,7.234279354,1970
ENPOPDNST,30.15127837,1970
SPPOPGROW,45.6681351,1970
ENURBLCTY,32.8358209,1970
ENURBLCTYURZS,43.33333333,1970
SPPOPTOTLFEZS,40,1970
SEPRMDURS,1,1970
SEPRMAGES,1,1970
SPRURTOTL,79.29515419,1970
SPRURTOTLZS,69.1091954,1970
SESECDURS,1,1970
SESECAGES,1,1970
AGSRFTOTLK2,1,1970
SPDYNTO65FEZS,42.16216216,1970
SPDYNTO65MAZS,35.15981735,1970
ITMLTMAIN,20.21529207,1970
ITMLTMAINP2,24.28892981,1970
SPURBTOTL,28.69565217,1970
SPURBTOTLINZS,30.9352518,1970
SPURBGROW,51.54777927,1970
NYADJDNGYCD,2.163220157,1971
NYADJDMINCD,1.305408994,1971
SPADOTFRT,40,1971
SPPOPDPND,15.68627451,1971
SPPOPDPNDOL,5.495274764,1971
SPPOPDPNDYG,54.58015267,1971
SPDYNCBRTIN,97.2972973,1971
AGPRDCROPXD,66.4,1971
SPDYNCDRTIN,15,1971
SPDYNTFRTIN,100,1971
AGPRDFOODXD,50.76465085,1971
AGLNDTOTLK2,100,1971
SPDYNLE00FEIN,33.12883436,1971
SPDYNLE00MAIN,35.66433566,1971
SPDYNLE00IN,34.21052632,1971
AGPRDLVSKXD,47.53686708,1971
ITCELSETS,0,1971
ITCELSETSP2,0,1971
SPPOPTOTL,38.02816901,1971
SPPOP0014TOZS,64.11764706,1971
SPPOP1564TOZS,82.35294118,1971
SPPOP65UPTOZS,8.124652198,1971
ENPOPDNST,33.32622026,1971
SPPOPGROW,51.54185022,1971
ENURBLCTY,35.82089552,1971
ENURBLCTYURZS,45,1971
SPPOPTOTLFEZS,20,1971
SEPRMDURS,1,1971
SEPRMAGES,1,1971
SPRURTOTL,77.53303965,1971
