indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,44.54902125,1960
SPADOTFRT,100,1960
SPPOPDPND,87.67676768,1960
SPPOPDPNDOL,8.307692308,1960
SPPOPDPNDYG,88.6440678,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,6.961702521,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,4.0837045,1960
AGLNDTOTLK2,100,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,1.105126856,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,91.97080292,1960
SPPOP1564TOZS,9.844559585,1960
SPPOP65UPTOZS,5.315203956,1960
ENPOPDNST,0,1960
SPPOPGROW,100,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,59.77011494,1960
SPPOPTOTLFEZS,20,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,89.03107861,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,0,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,72.89733392,1960
NYADJDNGYCD,0,1961
NYADJDMINCD,32.99097142,1961
SPADOTFRT,95.08357915,1961
SPPOPDPND,90.3030303,1961
SPPOPDPNDOL,8.102564103,1961
SPPOPDPNDYG,90.84745763,1961
SPDYNCBRTIN,96.2962963,1961
AGPRDCROPXD,3.37062739,1961
SPDYNCDRTIN,94.62365591,1961
SPDYNTFRTIN,96.65354331,1961
AGPRDFOODXD,1.970156214,1961
AGLNDTOTLK2,100,1961
SPDYNLE00FEIN,2.76816609,1961
SPDYNLE00MAIN,2.602230483,1961
SPDYNLE00IN,2.508960573,1961
AGPRDLVSKXD,0.525124491,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,2.429149798,1961
SPPOP0014TOZS,93.43065693,1961
SPPOP1564TOZS,7.772020725,1961
SPPOP65UPTOZS,4.820766378,1961
ENPOPDNST,2.70306005,1961
