indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,100,1960
SPADOTFRT,100,1960
SPPOPDPND,94.34697856,1960
SPPOPDPNDOL,50,1960
SPPOPDPNDYG,93.70229008,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,94.81865285,1960
SPPOP1564TOZS,4.571428571,1960
SPPOP65UPTOZS,13.8121547,1960
ENPOPDNST,0,1960
SPPOPGROW,91.82389937,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,4,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,95.76547231,1960
NYADJDNGYCD,2.26E-08,1961
NYADJDMINCD,52.56937465,1961
SPADOTFRT,99.26782838,1961
SPPOPDPND,96.68615984,1961
SPPOPDPNDOL,39.0625,1961
SPPOPDPNDYG,96.18320611,1961
SPDYNCBRTIN,97.43589744,1961
AGPRDCROPXD,0.165678385,1961
SPDYNCDRTIN,91.93548387,1961
SPDYNTFRTIN,98.80952381,1961
AGPRDFOODXD,0.150165259,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,3.571428571,1961
SPDYNLE00MAIN,4.379562044,1961
SPDYNLE00IN,3.947368421,1961
AGPRDLVSKXD,0.233213866,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.308139535,1961
SPPOP0014TOZS,96.89119171,1961
SPPOP1564TOZS,2.857142857,1961
SPPOP65UPTOZS,8.287292818,1961
ENPOPDNST,1.32205558,1961
SPPOPGROW,97.48427673,1961
ENURBLCTY,0.746268657,1961
ENURBLCTYURZS,95.23809524,1961
SPPOPTOTLFEZS,8,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,4.375,1961
SPRURTOTLZS,98.48156182,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,3.448275862,1961
SPDYNTO65MAZS,4.090909091,1961
ITMLTMAIN,0.107250107,1961
ITMLTMAINP2,0.218613367,1961
SPURBTOTL,0.694073679,1961
SPURBTOTLINZS,1.518438178,1961
SPURBGROW,100,1961
NYADJDNGYCD,1.23E-07,1962
NYADJDMINCD,27.61744621,1962
SPADOTFRT,98.53565676,1962
SPPOPDPND,98.44054581,1962
SPPOPDPNDOL,31.25,1962
SPPOPDPNDYG,98.09160305,1962
SPDYNCBRTIN,94.44444444,1962
AGPRDCROPXD,0.33305348,1962
SPDYNCDRTIN,85.16129032,1962
SPDYNTFRTIN,96.66666667,1962
AGPRDFOODXD,0.303426709,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,7.142857143,1962
SPDYNLE00MAIN,8.02919708,1962
SPDYNLE00IN,7.236842105,1962
AGPRDLVSKXD,0.475233615,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,2.664728682,1962
SPPOP0014TOZS,98.44559585,1962
SPPOP1564TOZS,1.142857143,1962
SPPOP65UPTOZS,4.972375691,1962
ENPOPDNST,2.688231442,1962
SPPOPGROW,100,1962
ENURBLCTY,1.575456053,1962
ENURBLCTYURZS,89.28571429,1962
SPPOPTOTLFEZS,8,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,9.0625,1962
SPRURTOTLZS,97.18004338,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,6.896551724,1962
SPDYNTO65MAZS,8.181818182,1962
ITMLTMAIN,0.227370227,1962
ITMLTMAINP2,0.447636894,1962
SPURBTOTL,1.388147357,1962
SPURBTOTLINZS,2.819956616,1962
SPURBGROW,99.6742671,1962
NYADJDNGYCD,5.71E-07,1963
NYADJDMINCD,14.49093297,1963
SPADOTFRT,95.60697027,1963
SPPOPDPND,99.61013645,1963
SPPOPDPNDOL,25.78125,1963
SPPOPDPNDYG,99.42748092,1963
SPDYNCBRTIN,90.5982906,1963
AGPRDCROPXD,1.150237769,1963
SPDYNCDRTIN,78.38709677,1963
SPDYNTFRTIN,94.04761905,1963
AGPRDFOODXD,0.669551284,1963
AGLNDTOTLK2,1,1963
SPDYNLE00FEIN,10.11904762,1963
SPDYNLE00MAIN,11.67883212,1963
SPDYNLE00IN,11.18421053,1963
AGPRDLVSKXD,0.787517161,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,4.069767442,1963
SPPOP0014TOZS,99.48186528,1963
SPPOP1564TOZS,0.571428571,1963
SPPOP65UPTOZS,2.209944751,1963
ENPOPDNST,4.104346633,1963
SPPOPGROW,98.74213836,1963
ENURBLCTY,2.404643449,1963
ENURBLCTYURZS,84.52380952,1963
SPPOPTOTLFEZS,8,1963
SEPRMDURS,1,1963
SEPRMAGES,1,1963
SPRURTOTL,13.75,1963
SPRURTOTLZS,95.66160521,1963
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,10,1963
SPDYNTO65MAZS,10.90909091,1963
ITMLTMAIN,0.358215358,1963
ITMLTMAINP2,0.692275661,1963
SPURBTOTL,2.135611319,1963
SPURBTOTLINZS,4.338394794,1963
SPURBGROW,97.06840391,1963
NYADJDNGYCD,2.56E-06,1964
NYADJDMINCD,7.585440656,1964
SPADOTFRT,92.67828379,1964
SPPOPDPND,100,1964
SPPOPDPNDOL,22.65625,1964
SPPOPDPNDYG,100,1964
SPDYNCBRTIN,86.75213675,1964
AGPRDCROPXD,1.347149646,1964
SPDYNCDRTIN,72.09677419,1964
SPDYNTFRTIN,90.95238095,1964
AGPRDFOODXD,0.618464134,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,13.69047619,1964
SPDYNLE00MAIN,15.32846715,1964
SPDYNLE00IN,14.47368421,1964
AGPRDLVSKXD,1.357434634,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,5.474806202,1964
SPPOP0014TOZS,100,1964
SPPOP1564TOZS,0,1964
SPPOP65UPTOZS,1.104972376,1964
ENPOPDNST,5.540388031,1964
SPPOPGROW,91.82389937,1964
ENURBLCTY,3.233830846,1964
ENURBLCTYURZS,79.76190476,1964
SPPOPTOTLFEZS,8,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,18.125,1964
SPRURTOTLZS,94.36008677,1964
SESECDURS,1,1964
SESECAGES,1,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,13.10344828,1964
SPDYNTO65MAZS,14.09090909,1964
ITMLTMAIN,0.504075504,1964
ITMLTMAINP2,0.957734749,1964
SPURBTOTL,2.936465563,1964
SPURBTOTLINZS,5.856832972,1964
SPURBGROW,91.53094463,1964
NYADJDNGYCD,1.14E-05,1965
NYADJDMINCD,3.952653848,1965
SPADOTFRT,89.74959731,1965
SPPOPDPND,99.61013645,1965
SPPOPDPNDOL,19.53125,1965
SPPOPDPNDYG,99.61832061,1965
SPDYNCBRTIN,82.47863248,1965
AGPRDCROPXD,2.627076846,1965
SPDYNCDRTIN,66.12903226,1965
SPDYNTFRTIN,87.38095238,1965
AGPRDFOODXD,1.401800435,1965
AGLNDTOTLK2,1,1965
SPDYNLE00FEIN,16.66666667,1965
SPDYNLE00MAIN,18.97810219,1965
SPDYNLE00IN,17.76315789,1965
AGPRDLVSKXD,1.942966285,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,6.831395349,1965
SPPOP0014TOZS,99.48186528,1965
SPPOP1564TOZS,0.571428571,1965
SPPOP65UPTOZS,0.552486188,1965
ENPOPDNST,6.816869274,1965
SPPOPGROW,81.76100629,1965
ENURBLCTY,4.145936982,1965
ENURBLCTYURZS,76.19047619,1965
SPPOPTOTLFEZS,8,1965
SEPRMDURS,1,1965
SEPRMAGES,1,1965
SPRURTOTL,22.5,1965
SPRURTOTLZS,92.84164859,1965
SESECDURS,1,1965
SESECAGES,1,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,16.20689655,1965
SPDYNTO65MAZS,16.81818182,1965
ITMLTMAIN,0.664950665,1965
ITMLTMAINP2,1.238809078,1965
SPURBTOTL,3.683929525,1965
SPURBTOTLINZS,7.15835141,1965
SPURBGROW,85.01628664,1965
NYADJDNGYCD,5.08E-05,1966
NYADJDMINCD,2.041546084,1966
SPADOTFRT,86.6744765,1966
SPPOPDPND,98.24561404,1966
SPPOPDPNDOL,17.96875,1966
SPPOPDPNDYG,98.28244275,1966
SPDYNCBRTIN,78.20512821,1966
AGPRDCROPXD,3.217812477,1966
SPDYNCDRTIN,60.80645161,1966
SPDYNTFRTIN,83.33333333,1966
AGPRDFOODXD,1.486945685,1966
AGLNDTOTLK2,1,1966
SPDYNLE00FEIN,20.23809524,1966
SPDYNLE00MAIN,21.89781022,1966
SPDYNLE00IN,21.05263158,1966
AGPRDLVSKXD,2.645604265,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,8.139534884,1966
SPPOP0014TOZS,98.96373057,1966
SPPOP1564TOZS,1.714285714,1966
SPPOP65UPTOZS,0,1966
ENPOPDNST,8.252910672,1966
SPPOPGROW,71.69811321,1966
ENURBLCTY,5.058043118,1966
ENURBLCTYURZS,71.42857143,1966
SPPOPTOTLFEZS,12,1966
SEPRMDURS,1,1966
SEPRMAGES,1,1966
SPRURTOTL,26.25,1966
SPRURTOTLZS,91.32321041,1966
SESECDURS,1,1966
SESECAGES,1,1966
AGSRFTOTLK2,1,1966
SPDYNTO65FEZS,18.96551724,1966
SPDYNTO65MAZS,20,1966
ITMLTMAIN,0.761475761,1966
ITMLTMAINP2,1.363731001,1966
SPURBTOTL,4.484783769,1966
SPURBTOTLINZS,8.676789588,1966
SPURBGROW,82.73615635,1966
NYADJDNGYCD,0.000225925,1967
NYADJDMINCD,1.03616562,1967
SPADOTFRT,83.74579001,1967
SPPOPDPND,96.10136452,1967
SPPOPDPNDOL,15.625,1967
SPPOPDPNDYG,96.3740458,1967
SPDYNCBRTIN,73.93162393,1967
AGPRDCROPXD,3.611636231,1967
SPDYNCDRTIN,55.80645161,1967
SPDYNTFRTIN,79.52380952,1967
AGPRDFOODXD,1.742381435,1967
AGLNDTOTLK2,1,1967
SPDYNLE00FEIN,23.21428571,1967
SPDYNLE00MAIN,25.54744526,1967
SPDYNLE00IN,23.68421053,1967
AGPRDLVSKXD,2.957887812,1967
ITCELSETS,0,1967
ITCELSETSP2,0,1967
SPPOPTOTL,9.399224806,1967
SPPOP0014TOZS,97.40932642,1967
SPPOP1564TOZS,2.857142857,1967
SPPOP65UPTOZS,0.552486188,1967
ENPOPDNST,9.529391915,1967
SPPOPGROW,62.26415094,1967
ENURBLCTY,5.970149254,1967
ENURBLCTYURZS,67.85714286,1967
SPPOPTOTLFEZS,12,1967
SEPRMDURS,1,1967
SEPRMAGES,1,1967
SPRURTOTL,29.6875,1967
SPRURTOTLZS,89.80477223,1967
SESECDURS,1,1967
SESECAGES,1,1967
AGSRFTOTLK2,1,1967
SPDYNTO65FEZS,22.06896552,1967
SPDYNTO65MAZS,22.72727273,1967
ITMLTMAIN,0.862290862,1967
ITMLTMAINP2,1.488652925,1967
SPURBTOTL,5.339028297,1967
SPURBTOTLINZS,10.19522777,1967
SPURBGROW,76.22149837,1967
NYADJDNGYCD,0.001004736,1968
NYADJDMINCD,0.507263013,1968
SPADOTFRT,79.05989164,1968
SPPOPDPND,93.56725146,1968
SPPOPDPNDOL,15.625,1968
SPPOPDPNDYG,93.70229008,1968
SPDYNCBRTIN,70.08547009,1968
AGPRDCROPXD,6.073034693,1968
SPDYNCDRTIN,51.4516129,1968
SPDYNTFRTIN,75.71428571,1968
AGPRDFOODXD,2.849269686,1968
AGLNDTOTLK2,1,1968
SPDYNLE00FEIN,26.19047619,1968
SPDYNLE00MAIN,28.46715328,1968
SPDYNLE00IN,26.97368421,1968
AGPRDLVSKXD,3.270171359,1968
ITCELSETS,0,1968
ITCELSETSP2,0,1968
SPPOPTOTL,10.85271318,1968
SPPOP0014TOZS,95.33678756,1968
SPPOP1564TOZS,5.142857143,1968
SPPOP65UPTOZS,1.657458564,1968
ENPOPDNST,10.80587316,1968
SPPOPGROW,55.97484277,1968
ENURBLCTY,6.88225539,1968
ENURBLCTYURZS,65.47619048,1968
SPPOPTOTLFEZS,16,1968
SEPRMDURS,1,1968
SEPRMAGES,1,1968
SPRURTOTL,33.125,1968
SPRURTOTLZS,88.28633406,1968
SESECDURS,1,1968
SESECAGES,1,1968
AGSRFTOTLK2,1,1968
SPDYNTO65FEZS,24.82758621,1968
SPDYNTO65MAZS,25.45454545,1968
ITMLTMAIN,0.96954097,1968
ITMLTMAINP2,1.623985009,1968
SPURBTOTL,6.139882541,1968
SPURBTOTLINZS,11.71366594,1968
SPURBGROW,71.00977199,1968
NYADJDNGYCD,0.004468186,1969
NYADJDMINCD,0.229022111,1969
SPADOTFRT,74.52042759,1969
SPPOPDPND,90.83820663,1969
SPPOPDPNDOL,15.625,1969
SPPOPDPNDYG,91.03053435,1969
SPDYNCBRTIN,67.09401709,1969
AGPRDCROPXD,8.82980097,1969
SPDYNCDRTIN,47.74193548,1969
SPDYNTFRTIN,71.9047619,1969
AGPRDFOODXD,3.785867436,1969
AGLNDTOTLK2,1,1969
SPDYNLE00FEIN,29.16666667,1969
SPDYNLE00MAIN,31.38686131,1969
SPDYNLE00IN,29.60526316,1969
AGPRDLVSKXD,4.207022,1969
ITCELSETS,0,1969
ITCELSETSP2,0,1969
SPPOPTOTL,11.82170543,1969
SPPOP0014TOZS,93.2642487,1969
SPPOP1564TOZS,7.428571429,1969
SPPOP65UPTOZS,2.762430939,1969
ENPOPDNST,12.0823544,1969
SPPOPGROW,52.20125786,1969
ENURBLCTY,7.877280265,1969
ENURBLCTYURZS,61.9047619,1969
SPPOPTOTLFEZS,16,1969
SEPRMDURS,1,1969
SEPRMAGES,1,1969
SPRURTOTL,36.5625,1969
SPRURTOTLZS,86.76789588,1969
SESECDURS,1,1969
SESECAGES,1,1969
AGSRFTOTLK2,1,1969
SPDYNTO65FEZS,27.5862069,1969
SPDYNTO65MAZS,27.72727273,1969
ITMLTMAIN,1.081081081,1969
ITMLTMAINP2,1.759317093,1969
SPURBTOTL,6.994127069,1969
SPURBTOTLINZS,13.23210412,1969
SPURBGROW,67.4267101,1969
NYADJDNGYCD,0.019870501,1970
NYADJDMINCD,0.082647337,1970
SPADOTFRT,69.83452921,1970
SPPOPDPND,87.91423002,1970
SPPOPDPNDOL,17.96875,1970
SPPOPDPNDYG,88.16793893,1970
SPDYNCBRTIN,64.1025641,1970
AGPRDCROPXD,9.912816294,1970
SPDYNCDRTIN,44.19354839,1970
SPDYNTFRTIN,68.57142857,1970
AGPRDFOODXD,4.722465187,1970
AGLNDTOTLK2,1,1970
SPDYNLE00FEIN,32.14285714,1970
SPDYNLE00MAIN,33.57664234,1970
SPDYNLE00IN,32.89473684,1970
AGPRDLVSKXD,4.519305546,1970
ITCELSETS,0,1970
ITCELSETSP2,0,1970
SPPOPTOTL,13.2751938,1970
SPPOP0014TOZS,91.19170984,1970
SPPOP1564TOZS,9.142857143,1970
SPPOP65UPTOZS,4.972375691,1970
ENPOPDNST,13.35883564,1970
SPPOPGROW,50.31446541,1970
ENURBLCTY,8.872305141,1970
ENURBLCTYURZS,59.52380952,1970
SPPOPTOTLFEZS,20,1970
SEPRMDURS,1,1970
SEPRMAGES,1,1970
SPRURTOTL,39.6875,1970
SPRURTOTLZS,85.03253796,1970
SESECDURS,1,1970
SESECAGES,1,1970
AGSRFTOTLK2,1,1970
SPDYNTO65FEZS,30.34482759,1970
SPDYNTO65MAZS,30.45454545,1970
ITMLTMAIN,1.201201201,1970
ITMLTMAINP2,1.899854258,1970
SPURBTOTL,7.901761879,1970
SPURBTOTLINZS,14.96746204,1970
SPURBGROW,65.1465798,1970
NYADJDNGYCD,0.08836617,1971
NYADJDMINCD,0.005643653,1971
SPADOTFRT,65.14863084,1971
SPPOPDPND,85.38011696,1971
SPPOPDPNDOL,21.875,1971
SPPOPDPNDYG,85.49618321,1971
SPDYNCBRTIN,61.53846154,1971
AGPRDCROPXD,11.38965537,1971
SPDYNCDRTIN,41.29032258,1971
SPDYNTFRTIN,65.47619048,1971
AGPRDFOODXD,5.659062938,1971
AGLNDTOTLK2,1,1971
SPDYNLE00FEIN,34.52380952,1971
SPDYNLE00MAIN,36.49635036,1971
SPDYNLE00IN,35.52631579,1971
AGPRDLVSKXD,5.300014414,1971
ITCELSETS,0,1971
ITCELSETSP2,0,1971
SPPOPTOTL,14.72868217,1971
SPPOP0014TOZS,89.11917098,1971
SPPOP1564TOZS,11.42857143,1971
SPPOP65UPTOZS,7.73480663,1971
ENPOPDNST,14.63531689,1971
SPPOPGROW,49.68553459,1971
ENURBLCTY,11.52570481,1971
