indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,18.43717287,1960
SPADOTFRT,100,1960
SPPOPDPND,89.05579399,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,91.17043121,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,94.25287356,1960
SPPOP1564TOZS,8.163265306,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,100,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,64.28571429,1960
SPPOPTOTLFEZS,5.882352941,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,100,1960
NYADJDNGYCD,0.003258529,1961
NYADJDMINCD,13.48855349,1961
SPADOTFRT,100,1961
SPPOPDPND,91.41630901,1961
SPPOPDPNDOL,3.436426117,1961
SPPOPDPNDYG,93.2238193,1961
SPDYNCBRTIN,98.49056604,1961
AGPRDCROPXD,1.864903377,1961
SPDYNCDRTIN,94.87836108,1961
SPDYNTFRTIN,100,1961
AGPRDFOODXD,1.85722268,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,3.448275862,1961
SPDYNLE00MAIN,3.076923077,1961
SPDYNLE00IN,3.03030303,1961
AGPRDLVSKXD,1.907069383,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.494396015,1961
SPPOP0014TOZS,95.40229885,1961
SPPOP1564TOZS,6.12244898,1961
SPPOP65UPTOZS,1.444043321,1961
ENPOPDNST,1.554910747,1961
SPPOPGROW,99.00497512,1961
ENURBLCTY,1.987662783,1961
ENURBLCTYURZS,67.14285714,1961
SPPOPTOTLFEZS,5.882352941,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,4.109589041,1961
SPRURTOTLZS,97.06959707,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,3.082191781,1961
SPDYNTO65MAZS,2.76816609,1961
ITMLTMAIN,0.133915286,1961
ITMLTMAINP2,0.227027641,1961
SPURBTOTL,1.358695652,1961
SPURBTOTLINZS,2.93040293,1961
SPURBGROW,99.69230769,1961
NYADJDNGYCD,0.007718868,1962
NYADJDMINCD,9.818595318,1962
SPADOTFRT,100,1962
SPPOPDPND,93.99141631,1962
SPPOPDPNDOL,7.216494845,1962
SPPOPDPNDYG,95.27720739,1962
SPDYNCBRTIN,97.35849057,1962
AGPRDCROPXD,3.833051758,1962
SPDYNCDRTIN,91.03713188,1962
SPDYNTFRTIN,99.77924945,1962
AGPRDFOODXD,3.847160216,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,5.911330049,1962
SPDYNLE00MAIN,5.641025641,1962
SPDYNLE00IN,5.555555556,1962
AGPRDLVSKXD,3.99437731,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,3.113325031,1962
SPPOP0014TOZS,97.12643678,1962
SPPOP1564TOZS,4.081632653,1962
SPPOP65UPTOZS,2.888086643,1962
ENPOPDNST,3.160241369,1962
SPPOPGROW,98.00995025,1962
ENURBLCTY,4.112405757,1962
ENURBLCTYURZS,71.42857143,1962
SPPOPTOTLFEZS,5.882352941,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,8.219178082,1962
SPRURTOTLZS,94.13919414,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,6.164383562,1962
SPDYNTO65MAZS,5.53633218,1962
ITMLTMAIN,0.277750223,1962
ITMLTMAINP2,0.471082354,1962
SPURBTOTL,2.717391304,1962
SPURBTOTLINZS,5.860805861,1962
SPURBGROW,98.46153846,1962
NYADJDNGYCD,0.013824267,1963
NYADJDMINCD,7.096908329,1963
SPADOTFRT,100,1963
SPPOPDPND,95.70815451,1963
SPPOPDPNDOL,11.34020619,1963
SPPOPDPNDYG,97.33059548,1963
SPDYNCBRTIN,95.8490566,1963
AGPRDCROPXD,6.543897641,1963
SPDYNCDRTIN,87.19590269,1963
SPDYNTFRTIN,99.77924945,1963
AGPRDFOODXD,4.859791152,1963
AGLNDTOTLK2,1,1963
SPDYNLE00FEIN,8.374384236,1963
SPDYNLE00MAIN,7.692307692,1963
SPDYNLE00IN,7.575757576,1963
AGPRDLVSKXD,3.646492656,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,4.856787049,1963
SPPOP0014TOZS,98.27586207,1963
SPPOP1564TOZS,2.721088435,1963
SPPOP65UPTOZS,4.332129964,1963
ENPOPDNST,4.818967346,1963
SPPOPGROW,97.01492537,1963
ENURBLCTY,6.374228924,1963
ENURBLCTYURZS,74.28571429,1963
SPPOPTOTLFEZS,0,1963
SEPRMDURS,1,1963
SEPRMAGES,1,1963
SPRURTOTL,12.32876712,1963
SPRURTOTLZS,90.84249084,1963
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,7.876712329,1963
SPDYNTO65MAZS,7.266435986,1963
ITMLTMAIN,0.431504811,1963
ITMLTMAINP2,0.732164141,1963
SPURBTOTL,4.211956522,1963
SPURBTOTLINZS,9.157509158,1963
SPURBGROW,97.23076923,1963
NYADJDNGYCD,0.022181458,1964
NYADJDMINCD,5.078471138,1964
SPADOTFRT,100,1964
SPPOPDPND,97.85407725,1964
SPPOPDPNDOL,15.12027491,1964
SPPOPDPNDYG,98.76796715,1964
SPDYNCBRTIN,95.09433962,1964
AGPRDCROPXD,12.23791182,1964
SPDYNCDRTIN,84.63508323,1964
SPDYNTFRTIN,99.77924945,1964
AGPRDFOODXD,7.450242383,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,10.34482759,1964
SPDYNLE00MAIN,9.743589744,1964
SPDYNLE00IN,10.1010101,1964
AGPRDLVSKXD,3.646492656,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,6.475716065,1964
SPPOP0014TOZS,98.85057471,1964
