indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0,1960
SPADOTFRT,100,1960
SPPOPDPND,94.85861183,1960
SPPOPDPNDOL,100,1960
SPPOPDPNDYG,95.15306122,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,96.03174603,1960
SPPOP1564TOZS,4.201680672,1960
SPPOP65UPTOZS,16.4556962,1960
ENPOPDNST,0,1960
SPPOPGROW,100,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,37.20930233,1960
SPPOPTOTLFEZS,60,1960
SEPRMDURS,1,1960
SEPRMAGES,100,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,91.66666667,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,66.4021164,1960
NYADJDNGYCD,4.56E-08,1961
NYADJDMINCD,0.087908205,1961
SPADOTFRT,96.68508287,1961
SPPOPDPND,97.42930591,1961
SPPOPDPNDOL,95.12195122,1961
SPPOPDPNDYG,96.93877551,1961
SPDYNCBRTIN,97.43589744,1961
AGPRDCROPXD,2.102526903,1961
SPDYNCDRTIN,94.23076923,1961
SPDYNTFRTIN,98.51485149,1961
AGPRDFOODXD,1.820076611,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,2.34375,1961
SPDYNLE00MAIN,3.529411765,1961
SPDYNLE00IN,2.830188679,1961
AGPRDLVSKXD,1.465680141,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.308139535,1961
SPPOP0014TOZS,97.61904762,1961
SPPOP1564TOZS,2.521008403,1961
SPPOP65UPTOZS,12.65822785,1961
ENPOPDNST,1.287599895,1961
SPPOPGROW,99.40828402,1961
ENURBLCTY,1.154249738,1961
ENURBLCTYURZS,37.20930233,1961
SPPOPTOTLFEZS,40,1961
SEPRMDURS,1,1961
SEPRMAGES,100,1961
SPRURTOTL,1.98019802,1961
SPRURTOTLZS,98.38709677,1961
SESECDURS,1,1961
SESECAGES,91.66666667,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,2.06185567,1961
SPDYNTO65MAZS,4.255319149,1961
ITMLTMAIN,0.156728948,1961
ITMLTMAINP2,0.437353709,1961
SPURBTOTL,0.882200311,1961
SPURBTOTLINZS,1.612903226,1961
SPURBGROW,61.11111111,1961
NYADJDNGYCD,1.64E-07,1962
NYADJDMINCD,0.187633944,1962
SPADOTFRT,93.92265193,1962
SPPOPDPND,100,1962
SPPOPDPNDOL,92.68292683,1962
SPPOPDPNDYG,98.46938776,1962
SPDYNCBRTIN,94.35897436,1962
AGPRDCROPXD,4.338972724,1962
SPDYNCDRTIN,90.38461538,1962
SPDYNTFRTIN,96.78217822,1962
AGPRDFOODXD,3.76423351,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,4.6875,1962
SPDYNLE00MAIN,7.058823529,1962
SPDYNLE00IN,5.660377358,1962
AGPRDLVSKXD,3.102648264,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,2.61627907,1962
SPPOP0014TOZS,99.20634921,1962
SPPOP1564TOZS,1.680672269,1962
SPPOP65UPTOZS,10.12658228,1962
ENPOPDNST,2.618652125,1962
SPPOPGROW,98.22485207,1962
ENURBLCTY,2.203567681,1962
ENURBLCTYURZS,38.37209302,1962
SPPOPTOTLFEZS,40,1962
SEPRMDURS,1,1962
SEPRMAGES,100,1962
SPRURTOTL,3.630363036,1962
SPRURTOTLZS,97.31182796,1962
SESECDURS,1,1962
SESECAGES,91.66666667,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,4.12371134,1962
