indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0,1960
SPADOTFRT,5.905511811,1960
SPPOPDPND,95.40816327,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,97.86476868,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,89.57610254,1960
SPDYNCDRTIN,2.757793765,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,100,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,62.5,1960
SPDYNLE00IN,32,1960
AGPRDLVSKXD,100,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,98.75,1960
SPPOP1564TOZS,3.370786517,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,100,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,71.73913043,1960
SPPOPTOTLFEZS,100,1960
SEPRMDURS,0,1960
SEPRMAGES,1,1960
SPRURTOTL,100,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,0,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,20.37037037,1960
SPDYNTO65MAZS,89.9408284,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,100,1960
NYADJDNGYCD,2.35E-09,1961
NYADJDMINCD,0,1961
SPADOTFRT,6.692913386,1961
SPPOPDPND,99.48979592,1961
SPPOPDPNDOL,2.138492872,1961
SPPOPDPNDYG,100,1961
SPDYNCBRTIN,93.50649351,1961
AGPRDCROPXD,78.71709051,1961
SPDYNCDRTIN,1.318944844,1961
SPDYNTFRTIN,94.81481481,1961
AGPRDFOODXD,86.92276074,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,12.24489796,1961
SPDYNLE00MAIN,69.44444444,1961
SPDYNLE00IN,42,1961
AGPRDLVSKXD,89.51666997,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,3.448275862,1961
SPPOP0014TOZS,100,1961
SPPOP1564TOZS,0,1961
SPPOP65UPTOZS,1.295336788,1961
ENPOPDNST,4.656982272,1961
SPPOPGROW,81.90954774,1961
ENURBLCTY,2.031602709,1961
ENURBLCTYURZS,64.67391304,1961
SPPOPTOTLFEZS,95,1961
SEPRMDURS,0,1961
SEPRMAGES,1,1961
SPRURTOTL,97.23756906,1961
SPRURTOTLZS,95.52238806,1961
SESECDURS,1,1961
SESECAGES,0,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,37.03703704,1961
SPDYNTO65MAZS,94.67455621,1961
ITMLTMAIN,0.252020397,1961
ITMLTMAINP2,0.281134096,1961
SPURBTOTL,4.035874439,1961
SPURBTOTLINZS,4.47761194,1961
SPURBGROW,86.90629012,1961
NYADJDNGYCD,5.53E-09,1962
NYADJDMINCD,0,1962
SPADOTFRT,7.874015748,1962
SPPOPDPND,100,1962
SPPOPDPNDOL,3.869653768,1962
SPPOPDPNDYG,100,1962
SPDYNCBRTIN,85.71428571,1962
AGPRDCROPXD,68.47457627,1962
SPDYNCDRTIN,0.35971223,1962
SPDYNTFRTIN,88.14814815,1962
AGPRDFOODXD,74.49280105,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,22.44897959,1962
SPDYNLE00MAIN,75,1962
SPDYNLE00IN,50,1962
AGPRDLVSKXD,79.49801426,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,10.34482759,1962
SPPOP0014TOZS,99.375,1962
SPPOP1564TOZS,0,1962
SPPOP65UPTOZS,2.590673575,1962
ENPOPDNST,9.365986557,1962
SPPOPGROW,81.90954774,1962
ENURBLCTY,4.063205418,1962
ENURBLCTYURZS,58.15217391,1962
SPPOPTOTLFEZS,90,1962
SEPRMDURS,0,1962
SEPRMAGES,1,1962
SPRURTOTL,94.47513812,1962
SPRURTOTLZS,91.04477612,1962
SESECDURS,1,1962
SESECAGES,0,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,53.7037037,1962
SPDYNTO65MAZS,100,1962
ITMLTMAIN,0.53992927,1962
ITMLTMAINP2,0.600303555,1962
