indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,1.923264828,1960
SPADOTFRT,29.37062937,1960
SPPOPDPND,89.57654723,1960
SPPOPDPNDOL,57.98611111,1960
SPPOPDPNDYG,89.96865204,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,90.4,1960
SPPOP1564TOZS,9.174311927,1960
SPPOP65UPTOZS,34.66666667,1960
ENPOPDNST,0,1960
SPPOPGROW,67.47572816,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,0,1960
SEPRMDURS,1,1960
SEPRMAGES,0,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,0,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,1.132075472,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,87.29281768,1960
NYADJDNGYCD,2.78E-07,1961
NYADJDMINCD,1.664167772,1961
SPADOTFRT,28.9044289,1961
SPPOPDPND,92.18241042,1961
SPPOPDPNDOL,60.76388889,1961
SPPOPDPNDYG,92.1630094,1961
SPDYNCBRTIN,98.52941176,1961
AGPRDCROPXD,0.928801252,1961
SPDYNCDRTIN,96.72489083,1961
SPDYNTFRTIN,99.19571046,1961
AGPRDFOODXD,1.047730707,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,3.267973856,1961
SPDYNLE00MAIN,2.608695652,1961
SPDYNLE00IN,3.007518797,1961
AGPRDLVSKXD,0.707611338,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.506024096,1961
SPPOP0014TOZS,92.8,1961
SPPOP1564TOZS,7.339449541,1961
SPPOP65UPTOZS,35.55555556,1961
ENPOPDNST,1.495317769,1961
SPPOPGROW,100,1961
ENURBLCTY,0.778210117,1961
ENURBLCTYURZS,97.36842105,1961
SPPOPTOTLFEZS,6.666666667,1961
SEPRMDURS,1,1961
SEPRMAGES,0,1961
SPRURTOTL,2.724520686,1961
SPRURTOTLZS,99.35064935,1961
SESECDURS,1,1961
SESECAGES,0,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,4.150943396,1961
SPDYNTO65MAZS,2.07253886,1961
ITMLTMAIN,0.41322314,1961
ITMLTMAINP2,0.115473441,1961
SPURBTOTL,1.202232718,1961
SPURBTOTLINZS,0.649350649,1961
SPURBGROW,86.74033149,1961
NYADJDNGYCD,1.25E-06,1962
NYADJDMINCD,1.429144777,1962
SPADOTFRT,28.43822844,1962
SPPOPDPND,94.46254072,1962
SPPOPDPNDOL,63.54166667,1962
SPPOPDPNDYG,94.35736677,1962
SPDYNCBRTIN,96.56862745,1962
AGPRDCROPXD,1.874008273,1962
SPDYNCDRTIN,93.44978166,1962
SPDYNTFRTIN,98.1233244,1962
AGPRDFOODXD,2.116797024,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,6.535947712,1962
SPDYNLE00MAIN,5.217391304,1962
SPDYNLE00IN,6.015037594,1962
AGPRDLVSKXD,1.424311812,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,3.313253012,1962
SPPOP0014TOZS,94.4,1962
SPPOP1564TOZS,4.587155963,1962
SPPOP65UPTOZS,36.88888889,1962
ENPOPDNST,3.033077693,1962
SPPOPGROW,83.98058252,1962
ENURBLCTY,1.945525292,1962
ENURBLCTYURZS,94.73684211,1962
SPPOPTOTLFEZS,6.666666667,1962
SEPRMDURS,1,1962
SEPRMAGES,0,1962
SPRURTOTL,5.247225025,1962
SPRURTOTLZS,98.05194805,1962
SESECDURS,1,1962
SESECAGES,0,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,7.169811321,1962
SPDYNTO65MAZS,4.663212435,1962
ITMLTMAIN,0.826446281,1962
ITMLTMAINP2,0.346420323,1962
SPURBTOTL,2.31859167,1962
SPURBTOTLINZS,1.948051948,1962
SPURBGROW,68.50828729,1962
NYADJDNGYCD,4.66E-06,1963
NYADJDMINCD,1.215958995,1963
SPADOTFRT,26.34032634,1963
SPPOPDPND,96.74267101,1963
SPPOPDPNDOL,65.625,1963
SPPOPDPNDYG,96.23824451,1963
SPDYNCBRTIN,94.60784314,1963
AGPRDCROPXD,6.829593654,1963
SPDYNCDRTIN,90.17467249,1963
SPDYNTFRTIN,96.78284182,1963
AGPRDFOODXD,3.784031401,1963
AGLNDTOTLK2,1,1963
SPDYNLE00FEIN,9.803921569,1963
SPDYNLE00MAIN,7.826086957,1963
SPDYNLE00IN,9.022556391,1963
AGPRDLVSKXD,0.249393002,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,4.518072289,1963
SPPOP0014TOZS,96,1963
SPPOP1564TOZS,2.752293578,1963
SPPOP65UPTOZS,37.77777778,1963
ENPOPDNST,4.43586679,1963
SPPOPGROW,71.84466019,1963
ENURBLCTY,3.112840467,1963
ENURBLCTYURZS,92.10526316,1963
SPPOPTOTLFEZS,13.33333333,1963
SEPRMDURS,1,1963
SEPRMAGES,0,1963
SPRURTOTL,7.164480323,1963
SPRURTOTLZS,97.4025974,1963
SESECDURS,1,1963
SESECAGES,0,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,10.18867925,1963
SPDYNTO65MAZS,6.735751295,1963
ITMLTMAIN,1.260330579,1963
ITMLTMAINP2,0.461893764,1963
SPURBTOTL,3.39201374,1963
SPURBTOTLINZS,2.597402597,1963
SPURBGROW,54.6961326,1963
NYADJDNGYCD,1.66E-05,1964
NYADJDMINCD,1.022581417,1964
SPADOTFRT,24.47552448,1964
SPPOPDPND,98.6970684,1964
SPPOPDPNDOL,66.31944444,1964
SPPOPDPNDYG,97.80564263,1964
SPDYNCBRTIN,92.15686275,1964
AGPRDCROPXD,2.913735996,1964
SPDYNCDRTIN,86.89956332,1964
SPDYNTFRTIN,94.90616622,1964
AGPRDFOODXD,3.656761601,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,13.07189542,1964
SPDYNLE00MAIN,10.43478261,1964
SPDYNLE00IN,12.03007519,1964
AGPRDLVSKXD,2.834214384,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,6.024096386,1964
SPPOP0014TOZS,96.8,1964
SPPOP1564TOZS,1.834862385,1964
SPPOP65UPTOZS,37.33333333,1964
ENPOPDNST,5.900451207,1964
SPPOPGROW,63.10679612,1964
ENURBLCTY,4.280155642,1964
ENURBLCTYURZS,92.10526316,1964
SPPOPTOTLFEZS,20,1964
SEPRMDURS,1,1964
SEPRMAGES,0,1964
SPRURTOTL,10.19172553,1964
SPRURTOTLZS,96.75324675,1964
SESECDURS,1,1964
SESECAGES,0,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,13.20754717,1964
SPDYNTO65MAZS,9.32642487,1964
ITMLTMAIN,1.714876033,1964
ITMLTMAINP2,0.692840647,1964
SPURBTOTL,4.422498927,1964
SPURBTOTLINZS,3.246753247,1964
SPURBGROW,44.75138122,1964
NYADJDNGYCD,5.83E-05,1965
NYADJDMINCD,0.847171559,1965
SPADOTFRT,22.37762238,1965
SPPOPDPND,99.6742671,1965
SPPOPDPNDOL,64.23611111,1965
SPPOPDPNDYG,99.05956113,1965
SPDYNCBRTIN,89.70588235,1965
AGPRDCROPXD,3.723913442,1965
SPDYNCDRTIN,83.62445415,1965
SPDYNTFRTIN,93.02949062,1965
AGPRDFOODXD,6.456697195,1965
AGLNDTOTLK2,1,1965
SPDYNLE00FEIN,16.33986928,1965
SPDYNLE00MAIN,13.04347826,1965
SPDYNLE00IN,15.03759398,1965
AGPRDLVSKXD,8.121349031,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,7.228915663,1965
SPPOP0014TOZS,97.6,1965
SPPOP1564TOZS,0.917431193,1965
SPPOP65UPTOZS,36,1965
ENPOPDNST,6.99888952,1965
SPPOPGROW,57.2815534,1965
ENURBLCTY,5.447470817,1965
ENURBLCTYURZS,92.10526316,1965
SPPOPTOTLFEZS,20,1965
SEPRMDURS,1,1965
SEPRMAGES,0,1965
SPRURTOTL,12.209889,1965
SPRURTOTLZS,96.1038961,1965
SESECDURS,1,1965
SESECAGES,0,1965
AGSRFTOTLK2,1,1965
SPDYNTO65FEZS,16.60377358,1965
SPDYNTO65MAZS,11.39896373,1965
ITMLTMAIN,2.169421488,1965
ITMLTMAINP2,0.808314088,1965
SPURBTOTL,5.410047231,1965
SPURBTOTLINZS,3.896103896,1965
SPURBGROW,38.12154696,1965
NYADJDNGYCD,0.000204242,1966
NYADJDMINCD,0.688059947,1966
SPADOTFRT,20.51282051,1966
SPPOPDPND,100,1966
SPPOPDPNDOL,60.06944444,1966
SPPOPDPNDYG,99.68652038,1966
SPDYNCBRTIN,87.25490196,1966
AGPRDCROPXD,8.85503727,1966
SPDYNCDRTIN,80.34934498,1966
SPDYNTFRTIN,91.15281501,1966
AGPRDFOODXD,8.238474392,1966
AGLNDTOTLK2,1,1966
SPDYNLE00FEIN,19.60784314,1966
SPDYNLE00MAIN,15.65217391,1966
SPDYNLE00IN,18.04511278,1966
AGPRDLVSKXD,8.826300317,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,8.734939759,1966
SPPOP0014TOZS,98.4,1966
SPPOP1564TOZS,0,1966
SPPOP65UPTOZS,32.88888889,1966
ENPOPDNST,8.463473937,1966
SPPOPGROW,53.88349515,1966
ENURBLCTY,6.614785992,1966
ENURBLCTYURZS,89.47368421,1966
SPPOPTOTLFEZS,20,1966
SEPRMDURS,1,1966
SEPRMAGES,0,1966
SPRURTOTL,14.22805247,1966
SPRURTOTLZS,94.80519481,1966
SESECDURS,1,1966
SESECAGES,0,1966
AGSRFTOTLK2,1,1966
SPDYNTO65FEZS,19.62264151,1966
SPDYNTO65MAZS,13.98963731,1966
ITMLTMAIN,2.789256198,1966
ITMLTMAINP2,1.385681293,1966
SPURBTOTL,6.397595535,1966
SPURBTOTLINZS,5.194805195,1966
SPURBGROW,32.0441989,1966
NYADJDNGYCD,0.000714955,1967
NYADJDMINCD,0.543732226,1967
SPADOTFRT,18.41491841,1967
SPPOPDPND,99.6742671,1967
SPPOPDPNDOL,54.16666667,1967
SPPOPDPNDYG,100,1967
SPDYNCBRTIN,84.80392157,1967
AGPRDCROPXD,33.56544939,1967
SPDYNCDRTIN,75.98253275,1967
SPDYNTFRTIN,89.27613941,1967
AGPRDFOODXD,20.96545437,1967
AGLNDTOTLK2,1,1967
SPDYNLE00FEIN,22.87581699,1967
SPDYNLE00MAIN,18.26086957,1967
SPDYNLE00IN,20.30075188,1967
AGPRDLVSKXD,6.711446459,1967
ITCELSETS,0,1967
ITCELSETSP2,0,1967
SPPOPTOTL,9.939759036,1967
SPPOP0014TOZS,99.2,1967
SPPOP1564TOZS,0.917431193,1967
SPPOP65UPTOZS,28.88888889,1967
ENPOPDNST,9.928058354,1967
SPPOPGROW,51.94174757,1967
ENURBLCTY,7.782101167,1967
ENURBLCTYURZS,89.47368421,1967
SPPOPTOTLFEZS,20,1967
SEPRMDURS,1,1967
SEPRMAGES,0,1967
SPRURTOTL,16.24621594,1967
SPRURTOTLZS,94.15584416,1967
SESECDURS,1,1967
SESECAGES,0,1967
AGSRFTOTLK2,1,1967
SPDYNTO65FEZS,22.64150943,1967
SPDYNTO65MAZS,16.58031088,1967
ITMLTMAIN,3.429752066,1967
ITMLTMAINP2,1.963048499,1967
SPURBTOTL,7.385143839,1967
SPURBTOTLINZS,5.844155844,1967
SPURBGROW,30.38674033,1967
NYADJDNGYCD,0.002502022,1968
NYADJDMINCD,0.412814746,1968
SPADOTFRT,25.87412587,1968
SPPOPDPND,99.0228013,1968
