indicator,value,year
NYADJDNGYCD,1,1960
NYADJDMINCD,0,1960
SPADOTFRT,100,1960
SPPOPDPND,100,1960
SPPOPDPNDOL,42.83018868,1960
SPPOPDPNDYG,100,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,99.40828402,1960
SPPOP1564TOZS,0,1960
SPPOP65UPTOZS,24.24242424,1960
ENPOPDNST,0,1960
SPPOPGROW,95.43478261,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,0,1960
SEPRMDURS,0,1960
SEPRMAGES,100,1960
SPRURTOTL,0,1960
SPRURTOTLZS,68.88888889,1960
SESECDURS,0,1960
SESECAGES,100,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,31.11111111,1960
SPURBGROW,88.26086957,1960
NYADJDNGYCD,1,1961
NYADJDMINCD,0,1961
SPADOTFRT,97.2361809,1961
SPPOPDPND,98.22335025,1961
SPPOPDPNDOL,33.77358491,1961
SPPOPDPNDYG,99.5157385,1961
SPDYNCBRTIN,96.79144385,1961
AGPRDCROPXD,3.378023501,1961
SPDYNCDRTIN,90.22801303,1961
SPDYNTFRTIN,96.36363636,1961
AGPRDFOODXD,3.183168212,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,2.702702703,1961
SPDYNLE00MAIN,2.222222222,1961
SPDYNLE00IN,2.816901408,1961
AGPRDLVSKXD,3.24480127,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,2.727272727,1961
SPPOP0014TOZS,100,1961
SPPOP1564TOZS,1.408450704,1961
SPPOP65UPTOZS,18.64801865,1961
ENPOPDNST,2.438114371,1961
SPPOPGROW,93.91304348,1961
ENURBLCTY,4.390243902,1961
ENURBLCTYURZS,92.13483146,1961
SPPOPTOTLFEZS,2.857142857,1961
SEPRMDURS,0,1961
SEPRMAGES,100,1961
SPRURTOTL,2.120890774,1961
SPRURTOTLZS,62.22222222,1961
SESECDURS,0,1961
SESECAGES,100,1961
