indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0,1960
SPADOTFRT,94.28571429,1960
SPPOPDPND,90.40307102,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,92.26804124,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,99.78858351,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,94.86166008,1960
SPPOP1564TOZS,7.614213198,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,97.92459357,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,95.69892473,1960
SPPOPTOTLFEZS,0,1960
SEPRMDURS,100,1960
SEPRMAGES,100,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,0,1960
SESECAGES,100,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,79.21225383,1960
NYADJDNGYCD,4.10E-05,1961
NYADJDMINCD,0.006832849,1961
SPADOTFRT,94.28571429,1961
SPPOPDPND,92.13051823,1961
SPPOPDPNDOL,0.914634146,1961
SPPOPDPNDYG,93.64261168,1961
SPDYNCBRTIN,99.37304075,1961
AGPRDCROPXD,1.578600165,1961
SPDYNCDRTIN,95.82753825,1961
SPDYNTFRTIN,99.78858351,1961
AGPRDFOODXD,1.69271253,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,2.525252525,1961
SPDYNLE00MAIN,2.824858757,1961
SPDYNLE00IN,3.191489362,1961
AGPRDLVSKXD,0.660873447,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,2.040816327,1961
SPPOP0014TOZS,96.04743083,1961
SPPOP1564TOZS,6.091370558,1961
SPPOP65UPTOZS,0.343053173,1961
ENPOPDNST,2.147888405,1961
SPPOPGROW,98.96229678,1961
ENURBLCTY,1.632653061,1961
ENURBLCTYURZS,95.69892473,1961
SPPOPTOTLFEZS,0,1961
SEPRMDURS,100,1961
SEPRMAGES,100,1961
SPRURTOTL,2.678571429,1961
SPRURTOTLZS,99.30555556,1961
SESECDURS,0,1961
SESECAGES,100,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,2.422145329,1961
SPDYNTO65MAZS,2.380952381,1961
ITMLTMAIN,0.039440221,1961
ITMLTMAINP2,0.056264066,1961
SPURBTOTL,1.154734411,1961
SPURBTOTLINZS,0.694444444,1961
SPURBGROW,55.36105033,1961
NYADJDNGYCD,8.50E-05,1962
NYADJDMINCD,0.013884728,1962
SPADOTFRT,94.28571429,1962
SPPOPDPND,93.66602687,1962
SPPOPDPNDOL,1.981707317,1962
SPPOPDPNDYG,95.01718213,1962
SPDYNCBRTIN,99.05956113,1962
AGPRDCROPXD,3.282176107,1962
SPDYNCDRTIN,91.6550765,1962
SPDYNTFRTIN,100,1962
AGPRDFOODXD,3.496502383,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,5.050505051,1962
SPDYNLE00MAIN,5.649717514,1962
SPDYNLE00IN,5.85106383,1962
AGPRDLVSKXD,1.333328946,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,4.336734694,1962
SPPOP0014TOZS,96.83794466,1962
SPPOP1564TOZS,5.076142132,1962
SPPOP65UPTOZS,0.686106346,1962
ENPOPDNST,4.361649119,1962
SPPOPGROW,99.65409893,1962
ENURBLCTY,3.265306122,1962
ENURBLCTYURZS,95.69892473,1962
SPPOPTOTLFEZS,0,1962
SEPRMDURS,100,1962
SEPRMAGES,100,1962
SPRURTOTL,5.803571429,1962
SPRURTOTLZS,98.61111111,1962
SESECDURS,0,1962
SESECAGES,100,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,5.190311419,1962
