indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,29.41256274,1960
SPADOTFRT,100,1960
SPPOPDPND,87.85529716,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,91.54929577,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,100,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,0,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,94.73684211,1960
SPPOP1564TOZS,9.558823529,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,100,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,0,1960
SPPOPTOTLFEZS,0,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,100,1960
SESECDURS,0,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,56.83962264,1960
NYADJDNGYCD,0.020142862,1961
NYADJDMINCD,21.44444971,1961
SPADOTFRT,98.00796813,1961
SPPOPDPND,90.95607235,1961
SPPOPDPNDOL,3.406813627,1961
SPPOPDPNDYG,93.89671362,1961
SPDYNCBRTIN,97.22222222,1961
AGPRDCROPXD,1.390077229,1961
SPDYNCDRTIN,95.26066351,1961
SPDYNTFRTIN,98.57819905,1961
AGPRDFOODXD,1.025063826,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,2.356902357,1961
SPDYNLE00MAIN,2.43902439,1961
SPDYNLE00IN,2.405498282,1961
AGPRDLVSKXD,0.770154106,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,1.318681319,1961
SPPOP0014TOZS,96.49122807,1961
SPPOP1564TOZS,7.352941176,1961
SPPOP65UPTOZS,1.75,1961
ENPOPDNST,1.451660152,1961
SPPOPGROW,95.93495935,1961
ENURBLCTY,0.864864865,1961
ENURBLCTYURZS,4.838709677,1961
SPPOPTOTLFEZS,0,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,5.172413793,1961
SPRURTOTLZS,98.4962406,1961
SESECDURS,0,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,2.450980392,1961
SPDYNTO65MAZS,2.457002457,1961
ITMLTMAIN,0.058139535,1961
ITMLTMAINP2,0.083737483,1961
SPURBTOTL,0.850183824,1961
SPURBTOTLINZS,1.503759398,1961
SPURBGROW,51.17924528,1961
NYADJDNGYCD,0.045154682,1962
NYADJDMINCD,15.58049036,1962
SPADOTFRT,97.01195219,1962
SPPOPDPND,94.31524548,1962
SPPOPDPNDOL,8.416833667,1962
SPPOPDPNDYG,96.24413146,1962
SPDYNCBRTIN,94.44444444,1962
AGPRDCROPXD,2.830313555,1962
SPDYNCDRTIN,91.19837508,1962
SPDYNTFRTIN,97.1563981,1962
AGPRDFOODXD,2.075800991,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,4.713804714,1962
SPDYNLE00MAIN,5.226480836,1962
SPDYNLE00IN,4.810996564,1962
AGPRDLVSKXD,1.55187769,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,2.857142857,1962
SPPOP0014TOZS,98.24561404,1962
SPPOP1564TOZS,4.411764706,1962
SPPOP65UPTOZS,4.5,1962
ENPOPDNST,2.938072023,1962
SPPOPGROW,92.68292683,1962
ENURBLCTY,2.054054054,1962
ENURBLCTYURZS,11.29032258,1962
SPPOPTOTLFEZS,0,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,10.34482759,1962
SPRURTOTLZS,97.24310777,1962
SESECDURS,0,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,4.656862745,1962
SPDYNTO65MAZS,4.914004914,1962
ITMLTMAIN,0.121564482,1962
ITMLTMAINP2,0.167474966,1962
SPURBTOTL,1.700367647,1962
SPURBTOTLINZS,2.756892231,1962
SPURBGROW,49.52830189,1962
NYADJDNGYCD,0.076212392,1963
NYADJDMINCD,11.26503711,1963
SPADOTFRT,95.01992032,1963
SPPOPDPND,97.15762274,1963
SPPOPDPNDOL,13.62725451,1963
SPPOPDPNDYG,98.35680751,1963
SPDYNCBRTIN,91.31944444,1963
AGPRDCROPXD,4.322518915,1963
SPDYNCDRTIN,86.45903859,1963
SPDYNTFRTIN,95.26066351,1963
AGPRDFOODXD,3.152854532,1963
AGLNDTOTLK2,1,1963
SPDYNLE00FEIN,7.070707071,1963
SPDYNLE00MAIN,8.013937282,1963
SPDYNLE00IN,7.560137457,1963
AGPRDLVSKXD,2.345344565,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,4.395604396,1963
SPPOP0014TOZS,99.41520468,1963
SPPOP1564TOZS,2.205882353,1963
SPPOP65UPTOZS,7.5,1963
ENPOPDNST,4.460067518,1963
SPPOPGROW,90.24390244,1963
ENURBLCTY,3.243243243,1963
ENURBLCTYURZS,19.35483871,1963
SPPOPTOTLFEZS,14.28571429,1963
SEPRMDURS,1,1963
SEPRMAGES,1,1963
SPRURTOTL,15.51724138,1963
SPRURTOTLZS,95.98997494,1963
SESECDURS,0,1963
SESECAGES,1,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,6.862745098,1963
SPDYNTO65MAZS,7.616707617,1963
ITMLTMAIN,0.190274841,1963
ITMLTMAINP2,0.254701511,1963
SPURBTOTL,2.596507353,1963
SPURBTOTLINZS,4.010025063,1963
SPURBGROW,48.11320755,1963
NYADJDNGYCD,0.114777413,1964
NYADJDMINCD,8.089173222,1964
SPADOTFRT,94.02390438,1964
SPPOPDPND,99.2248062,1964
SPPOPDPNDOL,18.43687375,1964
SPPOPDPNDYG,99.76525822,1964
SPDYNCBRTIN,88.88888889,1964
AGPRDCROPXD,5.929806311,1964
SPDYNCDRTIN,82.39675017,1964
SPDYNTFRTIN,93.60189573,1964
AGPRDFOODXD,3.363741943,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,9.090909091,1964
SPDYNLE00MAIN,10.80139373,1964
SPDYNLE00IN,9.965635739,1964
AGPRDLVSKXD,2.180422561,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,5.934065934,1964
SPPOP0014TOZS,100,1964
SPPOP1564TOZS,0.735294118,1964
SPPOP65UPTOZS,10.5,1964
ENPOPDNST,6.053972012,1964
SPPOPGROW,87.80487805,1964
ENURBLCTY,4.540540541,1964
ENURBLCTYURZS,27.41935484,1964
SPPOPTOTLFEZS,14.28571429,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,20.68965517,1964
SPRURTOTLZS,94.48621554,1964
SESECDURS,0,1964
SESECAGES,1,1964
AGSRFTOTLK2,1,1964
SPDYNTO65FEZS,9.068627451,1964
SPDYNTO65MAZS,10.31941032,1964
