indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,0.07380033,1960
SPADOTFRT,90.5982906,1960
SPPOPDPND,32.58426966,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,78.81355932,1960
SPDYNCBRTIN,82.66666667,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,79.41176471,1960
SPDYNTFRTIN,81.53846154,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,1,1960
SPDYNLE00FEIN,3.409090909,1960
SPDYNLE00MAIN,2.727272727,1960
SPDYNLE00IN,3,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,87.87878788,1960
SPPOP1564TOZS,64.86486486,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,43.15099458,1960
ENURBLCTY,62.18487395,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,100,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,0,1960
SPRURTOTLZS,48,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,1,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,0,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,52,1960
SPURBGROW,33.97371082,1960
NYADJDNGYCD,0.000777692,1961
NYADJDMINCD,0.100013415,1961
SPADOTFRT,95.2991453,1961
SPPOPDPND,34.83146067,1961
SPPOPDPNDOL,1.315789474,1961
SPPOPDPNDYG,79.66101695,1961
SPDYNCBRTIN,88,1961
AGPRDCROPXD,6.356187326,1961
SPDYNCDRTIN,94.11764706,1961
SPDYNTFRTIN,88.46153846,1961
AGPRDFOODXD,2.847428761,1961
AGLNDTOTLK2,1,1961
SPDYNLE00FEIN,0,1961
SPDYNLE00MAIN,0.909090909,1961
SPDYNLE00IN,1,1961
AGPRDLVSKXD,1.1582096,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,3.846153846,1961
SPPOP0014TOZS,87.87878788,1961
SPPOP1564TOZS,64.86486486,1961
SPPOP65UPTOZS,1.923076923,1961
ENPOPDNST,4.089228362,1961
SPPOPGROW,89.94122966,1961
ENURBLCTY,59.66386555,1961
ENURBLCTYURZS,96.42857143,1961
SPPOPTOTLFEZS,100,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,6.666666667,1961
SPRURTOTLZS,52,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,1,1961
SPDYNTO65FEZS,1.98019802,1961
SPDYNTO65MAZS,0,1961
ITMLTMAIN,0.895225464,1961
ITMLTMAINP2,0.816570404,1961
SPURBTOTL,3.370786517,1961
SPURBTOTLINZS,48,1961
SPURBGROW,66.73407482,1961
NYADJDNGYCD,0.002007914,1962
NYADJDMINCD,0.135537106,1962
SPADOTFRT,100,1962
SPPOPDPND,35.95505618,1962
SPPOPDPNDOL,2.631578947,1962
SPPOPDPNDYG,79.66101695,1962
SPDYNCBRTIN,93.33333333,1962
AGPRDCROPXD,13.14593334,1962
SPDYNCDRTIN,73.52941176,1962
SPDYNTFRTIN,94.61538462,1962
AGPRDFOODXD,5.739717095,1962
AGLNDTOTLK2,1,1962
SPDYNLE00FEIN,1.136363636,1962
SPDYNLE00MAIN,0.909090909,1962
SPDYNLE00IN,1,1962
AGPRDLVSKXD,2.321820896,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,8.653846154,1962
SPPOP0014TOZS,87.87878788,1962
SPPOP1564TOZS,62.16216216,1962
SPPOP65UPTOZS,3.846153846,1962
ENPOPDNST,8.211240423,1962
SPPOPGROW,100,1962
ENURBLCTY,52.94117647,1962
ENURBLCTYURZS,82.14285714,1962
SPPOPTOTLFEZS,88.88888889,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,20,1962
SPRURTOTLZS,56,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,1,1962
SPDYNTO65FEZS,2.97029703,1962
SPDYNTO65MAZS,0.564971751,1962
ITMLTMAIN,1.823607427,1962
ITMLTMAINP2,1.812387971,1962
SPURBTOTL,5.617977528,1962
SPURBTOTLINZS,44,1962
SPURBGROW,75.63195147,1962
NYADJDNGYCD,0.003953988,1963
NYADJDMINCD,0.183678431,1963
SPADOTFRT,100,1963
SPPOPDPND,38.20224719,1963
SPPOPDPNDOL,5.263157895,1963
SPPOPDPNDYG,79.66101695,1963
SPDYNCBRTIN,96,1963
AGPRDCROPXD,20.39881127,1963
SPDYNCDRTIN,100,1963
SPDYNTFRTIN,96.15384615,1963
AGPRDFOODXD,8.677571755,1963
AGLNDTOTLK2,1,1963
SPDYNLE00FEIN,0,1963
SPDYNLE00MAIN,0,1963
SPDYNLE00IN,0,1963
AGPRDLVSKXD,3.490858996,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,12.5,1963
SPPOP0014TOZS,87.87878788,1963
SPPOP1564TOZS,59.45945946,1963
SPPOP65UPTOZS,5.769230769,1963
ENPOPDNST,12.36629929,1963
SPPOPGROW,88.58499096,1963
ENURBLCTY,47.05882353,1963
ENURBLCTYURZS,71.42857143,1963
SPPOPTOTLFEZS,88.88888889,1963
SEPRMDURS,1,1963
SEPRMAGES,1,1963
SPRURTOTL,33.33333333,1963
SPRURTOTLZS,60,1963
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,1,1963
SPDYNTO65FEZS,4.95049505,1963
SPDYNTO65MAZS,1.694915254,1963
ITMLTMAIN,2.818302387,1963
ITMLTMAINP2,2.808205537,1963
SPURBTOTL,8.988764045,1963
SPURBTOTLINZS,40,1963
SPURBGROW,65.52072801,1963
NYADJDNGYCD,0.007032459,1964
NYADJDMINCD,0.248919038,1964
SPADOTFRT,99.57264957,1964
SPPOPDPND,40.4494382,1964
SPPOPDPNDOL,7.894736842,1964
SPPOPDPNDYG,80.50847458,1964
SPDYNCBRTIN,100,1964
AGPRDCROPXD,26.90301448,1964
SPDYNCDRTIN,73.52941176,1964
SPDYNTFRTIN,100,1964
AGPRDFOODXD,9.708451458,1964
AGLNDTOTLK2,1,1964
SPDYNLE00FEIN,10.22727273,1964
SPDYNLE00MAIN,6.363636364,1964
SPDYNLE00IN,8,1964
AGPRDLVSKXD,1.774196792,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,15.38461538,1964
SPPOP0014TOZS,87.87878788,1964
SPPOP1564TOZS,56.75675676,1964
SPPOP65UPTOZS,7.692307692,1964
ENPOPDNST,15.20360618,1964
SPPOPGROW,77.50904159,1964
ENURBLCTY,40.33613445,1964
ENURBLCTYURZS,64.28571429,1964
SPPOPTOTLFEZS,77.77777778,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,40,1964
SPRURTOTLZS,68,1964
SESECDURS,1,1964
SESECAGES,1,1964
