indicator,value,year
NYADJDNGYCD,0,1960
NYADJDMINCD,100,1960
SPADOTFRT,100,1960
SPPOPDPND,98.34254144,1960
SPPOPDPNDOL,0,1960
SPPOPDPNDYG,99.543379,1960
SPDYNCBRTIN,100,1960
AGPRDCROPXD,0,1960
SPDYNCDRTIN,83.33333333,1960
SPDYNTFRTIN,100,1960
AGPRDFOODXD,0,1960
AGLNDTOTLK2,89.6,1960
SPDYNLE00FEIN,0,1960
SPDYNLE00MAIN,5.825242718,1960
SPDYNLE00IN,0,1960
AGPRDLVSKXD,0,1960
ITCELSETS,0,1960
ITCELSETSP2,0,1960
SPPOPTOTL,0,1960
SPPOP0014TOZS,100,1960
SPPOP1564TOZS,1.351351351,1960
SPPOP65UPTOZS,0,1960
ENPOPDNST,0,1960
SPPOPGROW,100,1960
ENURBLCTY,0,1960
ENURBLCTYURZS,100,1960
SPPOPTOTLFEZS,0,1960
SEPRMDURS,1,1960
SEPRMAGES,1,1960
SPRURTOTL,1.315789474,1960
SPRURTOTLZS,100,1960
SESECDURS,1,1960
SESECAGES,1,1960
AGSRFTOTLK2,0,1960
SPDYNTO65FEZS,0,1960
SPDYNTO65MAZS,1.754385965,1960
ITMLTMAIN,0,1960
ITMLTMAINP2,0,1960
SPURBTOTL,0,1960
SPURBTOTLINZS,0,1960
SPURBGROW,100,1960
NYADJDNGYCD,0.049365213,1961
NYADJDMINCD,61.21445308,1961
SPADOTFRT,95.60229446,1961
SPPOPDPND,100,1961
SPPOPDPNDOL,4.255319149,1961
SPPOPDPNDYG,100,1961
SPDYNCBRTIN,96.36363636,1961
AGPRDCROPXD,0.630985252,1961
SPDYNCDRTIN,72.22222222,1961
SPDYNTFRTIN,98.42931937,1961
AGPRDFOODXD,0.574382917,1961
AGLNDTOTLK2,89.6,1961
SPDYNLE00FEIN,6.25,1961
SPDYNLE00MAIN,10.67961165,1961
SPDYNLE00IN,5.681818182,1961
AGPRDLVSKXD,0.363084838,1961
ITCELSETS,0,1961
ITCELSETSP2,0,1961
SPPOPTOTL,2.290076336,1961
SPPOP0014TOZS,100,1961
SPPOP1564TOZS,1.351351351,1961
SPPOP65UPTOZS,1.686746988,1961
ENPOPDNST,2.133061276,1961
SPPOPGROW,95.88477366,1961
ENURBLCTY,3.773584906,1961
ENURBLCTYURZS,97.21448468,1961
SPPOPTOTLFEZS,0,1961
SEPRMDURS,1,1961
SEPRMAGES,1,1961
SPRURTOTL,3.947368421,1961
SPRURTOTLZS,96.77419355,1961
SESECDURS,1,1961
SESECAGES,1,1961
AGSRFTOTLK2,0,1961
SPDYNTO65FEZS,2.040816327,1961
SPDYNTO65MAZS,1.754385965,1961
ITMLTMAIN,1.183020181,1961
ITMLTMAINP2,1.438848921,1961
SPURBTOTL,2.290076336,1961
SPURBTOTLINZS,3.225806452,1961
SPURBGROW,79.77243995,1961
NYADJDNGYCD,0.113367367,1962
NYADJDMINCD,37.4120923,1962
SPADOTFRT,91.3957935,1962
SPPOPDPND,100,1962
SPPOPDPNDOL,6.382978723,1962
SPPOPDPNDYG,99.543379,1962
SPDYNCBRTIN,88.18181818,1962
AGPRDCROPXD,1.267762021,1962
SPDYNCDRTIN,83.33333333,1962
SPDYNTFRTIN,90.05235602,1962
AGPRDFOODXD,1.153439714,1962
AGLNDTOTLK2,89.6,1962
SPDYNLE00FEIN,5,1962
SPDYNLE00MAIN,8.737864078,1962
SPDYNLE00IN,3.409090909,1962
AGPRDLVSKXD,0.727423058,1962
ITCELSETS,0,1962
ITCELSETSP2,0,1962
SPPOPTOTL,4.580152672,1962
SPPOP0014TOZS,100,1962
SPPOP1564TOZS,0,1962
SPPOP65UPTOZS,3.373493976,1962
ENPOPDNST,4.299182534,1962
SPPOPGROW,83.53909465,1962
ENURBLCTY,7.547169811,1962
ENURBLCTYURZS,94.42896936,1962
SPPOPTOTLFEZS,0,1962
SEPRMDURS,1,1962
SEPRMAGES,1,1962
SPRURTOTL,6.578947368,1962
SPRURTOTLZS,94.35483871,1962
SESECDURS,1,1962
SESECAGES,1,1962
AGSRFTOTLK2,0,1962
SPDYNTO65FEZS,3.06122449,1962
SPDYNTO65MAZS,1.754385965,1962
ITMLTMAIN,2.366040362,1962
ITMLTMAINP2,2.637889688,1962
SPURBTOTL,4.580152672,1962
SPURBTOTLINZS,5.64516129,1962
SPURBGROW,72.18710493,1962
NYADJDNGYCD,0.196346363,1963
NYADJDMINCD,22.80482896,1963
SPADOTFRT,86.61567878,1963
SPPOPDPND,99.44751381,1963
SPPOPDPNDOL,8.510638298,1963
SPPOPDPNDYG,98.63013699,1963
SPDYNCBRTIN,81.81818182,1963
AGPRDCROPXD,4.32429051,1963
SPDYNCDRTIN,88.88888889,1963
SPDYNTFRTIN,82.72251309,1963
AGPRDFOODXD,4.690381231,1963
AGLNDTOTLK2,100,1963
SPDYNLE00FEIN,3.75,1963
SPDYNLE00MAIN,5.825242718,1963
SPDYNLE00IN,1.136363636,1963
AGPRDLVSKXD,4.313278165,1963
ITCELSETS,0,1963
ITCELSETSP2,0,1963
SPPOPTOTL,6.106870229,1963
SPPOP0014TOZS,98.1981982,1963
SPPOP1564TOZS,1.351351351,1963
SPPOP65UPTOZS,5.060240964,1963
ENPOPDNST,6.621635829,1963
SPPOPGROW,73.25102881,1963
ENURBLCTY,11.32075472,1963
ENURBLCTYURZS,94.42896936,1963
SPPOPTOTLFEZS,10,1963
SEPRMDURS,1,1963
SEPRMAGES,1,1963
SPRURTOTL,6.578947368,1963
SPRURTOTLZS,91.12903226,1963
SESECDURS,1,1963
SESECAGES,1,1963
AGSRFTOTLK2,0.452939127,1963
SPDYNTO65FEZS,5.102040816,1963
SPDYNTO65MAZS,1.754385965,1963
ITMLTMAIN,3.618649965,1963
ITMLTMAINP2,4.076738609,1963
SPURBTOTL,6.870229008,1963
SPURBTOTLINZS,8.870967742,1963
SPURBGROW,65.86599241,1963
NYADJDNGYCD,0.303928892,1964
NYADJDMINCD,13.84050209,1964
SPADOTFRT,81.64435946,1964
SPPOPDPND,97.23756906,1964
SPPOPDPNDOL,10.63829787,1964
SPPOPDPNDYG,96.34703196,1964
SPDYNCBRTIN,76.36363636,1964
AGPRDCROPXD,1.458795051,1964
SPDYNCDRTIN,77.77777778,1964
SPDYNTFRTIN,75.91623037,1964
AGPRDFOODXD,5.942395928,1964
AGLNDTOTLK2,100,1964
SPDYNLE00FEIN,7.5,1964
SPDYNLE00MAIN,7.766990291,1964
SPDYNLE00IN,4.545454545,1964
AGPRDLVSKXD,10.25774385,1964
ITCELSETS,0,1964
ITCELSETSP2,0,1964
SPPOPTOTL,8.396946565,1964
SPPOP0014TOZS,96.3963964,1964
SPPOP1564TOZS,2.702702703,1964
SPPOP65UPTOZS,6.746987952,1964
ENPOPDNST,8.71219622,1964
SPPOPGROW,68.10699588,1964
ENURBLCTY,15.09433962,1964
ENURBLCTYURZS,91.64345404,1964
SPPOPTOTLFEZS,10,1964
SEPRMDURS,1,1964
SEPRMAGES,1,1964
SPRURTOTL,7.894736842,1964
SPRURTOTLZS,87.90322581,1964
SESECDURS,1,1964
SESECAGES,1,1964
AGSRFTOTLK2,0.452939127,1964
SPDYNTO65FEZS,6.12244898,1964
SPDYNTO65MAZS,1.169590643,1964
ITMLTMAIN,4.940848991,1964
ITMLTMAINP2,5.275779376,1964
SPURBTOTL,8.396946565,1964
SPURBTOTLINZS,12.09677419,1964
SPURBGROW,62.70543616,1964
NYADJDNGYCD,0.443409982,1965
NYADJDMINCD,8.33918714,1965
SPADOTFRT,76.86424474,1965
SPPOPDPND,94.47513812,1965
SPPOPDPNDOL,10.63829787,1965
SPPOPDPNDYG,94.06392694,1965
SPDYNCBRTIN,60.90909091,1965
AGPRDCROPXD,7.98575693,1965
SPDYNCDRTIN,77.77777778,1965
SPDYNTFRTIN,61.2565445,1965
AGPRDFOODXD,7.507414298,1965
AGLNDTOTLK2,100,1965
SPDYNLE00FEIN,8.75,1965
SPDYNLE00MAIN,7.766990291,1965
SPDYNLE00IN,4.545454545,1965
AGPRDLVSKXD,8.340174274,1965
ITCELSETS,0,1965
ITCELSETSP2,0,1965
SPPOPTOTL,9.923664122,1965
SPPOP0014TOZS,94.59459459,1965
SPPOP1564TOZS,5.405405405,1965
SPPOP65UPTOZS,7.951807229,1965
ENPOPDNST,10.10590315,1965
SPPOPGROW,53.7037037,1965
ENURBLCTY,18.86792453,1965
ENURBLCTYURZS,91.64345404,1965
SPPOPTOTLFEZS,20,1965
SEPRMDURS,1,1965
SEPRMAGES,1,1965
SPRURTOTL,6.578947368,1965
SPRURTOTLZS,84.67741935,1965
SESECDURS,1,1965
SESECAGES,1,1965
AGSRFTOTLK2,0.452939127,1965
SPDYNTO65FEZS,7.142857143,1965
SPDYNTO65MAZS,1.169590643,1965
ITMLTMAIN,6.263048017,1965
ITMLTMAINP2,6.714628297,1965
SPURBTOTL,10.6870229,1965
SPURBTOTLINZS,15.32258065,1965
SPURBGROW,53.85587863,1965
NYADJDNGYCD,0.624247655,1966
NYADJDMINCD,4.963086887,1966
SPADOTFRT,72.08413002,1966
SPPOPDPND,91.16022099,1966
SPPOPDPNDOL,10.63829787,1966
SPPOPDPNDYG,90.86757991,1966
SPDYNCBRTIN,51.81818182,1966
AGPRDCROPXD,6.234620816,1966
SPDYNCDRTIN,83.33333333,1966
SPDYNTFRTIN,51.30890052,1966
AGPRDFOODXD,9.072432669,1966
AGLNDTOTLK2,100,1966
SPDYNLE00FEIN,10,1966
SPDYNLE00MAIN,6.796116505,1966
SPDYNLE00IN,4.545454545,1966
AGPRDLVSKXD,10.64125777,1966
ITCELSETS,0,1966
ITCELSETSP2,0,1966
SPPOPTOTL,12.21374046,1966
SPPOP0014TOZS,91.89189189,1966
SPPOP1564TOZS,8.108108108,1966
SPPOP65UPTOZS,9.156626506,1966
ENPOPDNST,12.19646354,1966
SPPOPGROW,43.41563786,1966
ENURBLCTY,22.64150943,1966
ENURBLCTYURZS,88.85793872,1966
SPPOPTOTLFEZS,20,1966
SEPRMDURS,1,1966
SEPRMAGES,1,1966
SPRURTOTL,6.578947368,1966
SPRURTOTLZS,82.25806452,1966
SESECDURS,1,1966
SESECAGES,1,1966
AGSRFTOTLK2,0.452939127,1966
SPDYNTO65FEZS,9.183673469,1966
SPDYNTO65MAZS,0.584795322,1966
ITMLTMAIN,7.654836465,1966
ITMLTMAINP2,8.393285372,1966
SPURBTOTL,12.21374046,1966
SPURBTOTLINZS,17.74193548,1966
SPURBGROW,44.37420986,1966
NYADJDNGYCD,0.858704269,1967
NYADJDMINCD,2.891208979,1967
SPADOTFRT,67.11281071,1967
SPPOPDPND,86.74033149,1967
SPPOPDPNDOL,10.63829787,1967
SPPOPDPNDYG,87.67123288,1967
SPDYNCBRTIN,46.36363636,1967
AGPRDCROPXD,10.21447562,1967
SPDYNCDRTIN,77.77777778,1967
SPDYNTFRTIN,42.93193717,1967
AGPRDFOODXD,13.45448411,1967
AGLNDTOTLK2,100,1967
SPDYNLE00FEIN,15,1967
SPDYNLE00MAIN,9.708737864,1967
SPDYNLE00IN,9.090909091,1967
AGPRDLVSKXD,13.90112604,1967
ITCELSETS,0,1967
ITCELSETSP2,0,1967
SPPOPTOTL,13.74045802,1967
SPPOP0014TOZS,89.18918919,1967
SPPOP1564TOZS,12.16216216,1967
SPPOP65UPTOZS,10.12048193,1967
ENPOPDNST,13.59017047,1967
SPPOPGROW,37.24279835,1967
ENURBLCTY,26.41509434,1967
ENURBLCTYURZS,88.85793872,1967
SPPOPTOTLFEZS,30,1967
SEPRMDURS,1,1967
SEPRMAGES,1,1967
SPRURTOTL,5.263157895,1967
SPRURTOTLZS,79.03225806,1967
SESECDURS,1,1967
SESECAGES,1,1967
AGSRFTOTLK2,0.452939127,1967
SPDYNTO65FEZS,10.20408163,1967
SPDYNTO65MAZS,0,1967
ITMLTMAIN,9.116214335,1967
ITMLTMAINP2,10.3117506,1967
SPURBTOTL,13.74045802,1967
SPURBTOTLINZS,20.96774194,1967
SPURBGROW,39.9494311,1967
NYADJDNGYCD,1.162678011,1968
NYADJDMINCD,1.619718874,1968
SPADOTFRT,64.62715105,1968
SPPOPDPND,81.7679558,1968
SPPOPDPNDOL,10.63829787,1968
SPPOPDPNDYG,83.56164384,1968
SPDYNCBRTIN,44.54545455,1968
AGPRDCROPXD,13.39835946,1968
SPDYNCDRTIN,100,1968
SPDYNTFRTIN,37.69633508,1968
AGPRDFOODXD,14.23699329,1968
AGLNDTOTLK2,100,1968
SPDYNLE00FEIN,12.5,1968
SPDYNLE00MAIN,0,1968
SPDYNLE00IN,2.272727273,1968
AGPRDLVSKXD,14.85991083,1968
ITCELSETS,0,1968
ITCELSETSP2,0,1968
SPPOPTOTL,15.26717557,1968
SPPOP0014TOZS,85.58558559,1968
SPPOP1564TOZS,17.56756757,1968
SPPOP65UPTOZS,11.3253012,1968
ENPOPDNST,14.9838774,1968
SPPOPGROW,27.77777778,1968
ENURBLCTY,30.18867925,1968
ENURBLCTYURZS,88.85793872,1968
SPPOPTOTLFEZS,30,1968
SEPRMDURS,1,1968
SEPRMAGES,1,1968
SPRURTOTL,3.947368421,1968
SPRURTOTLZS,76.61290323,1968
SESECDURS,1,1968
SESECAGES,1,1968
AGSRFTOTLK2,0.452939127,1968
SPDYNTO65FEZS,12.24489796,1968
SPDYNTO65MAZS,2.339181287,1968
ITMLTMAIN,10.57759221,1968
ITMLTMAINP2,11.99040767,1968
SPURBTOTL,15.26717557,1968
SPURBTOTLINZS,23.38709677,1968
SPURBGROW,34.26042984,1968
NYADJDNGYCD,1.556780926,1969
NYADJDMINCD,0.839418509,1969
SPADOTFRT,61.95028681,1969
SPPOPDPND,76.24309392,1969
SPPOPDPNDOL,10.63829787,1969
SPPOPDPNDYG,78.99543379,1969
SPDYNCBRTIN,47.27272727,1969
AGPRDCROPXD,14.35352462,1969
SPDYNCDRTIN,83.33333333,1969
SPDYNTFRTIN,37.69633508,1969
AGPRDFOODXD,14.39349513,1969
AGLNDTOTLK2,100,1969
SPDYNLE00FEIN,16.25,1969
SPDYNLE00MAIN,7.766990291,1969
SPDYNLE00IN,7.954545455,1969
AGPRDLVSKXD,15.62693866,1969
ITCELSETS,0,1969
ITCELSETSP2,0,1969
SPPOPTOTL,16.79389313,1969
SPPOP0014TOZS,81.98198198,1969
SPPOP1564TOZS,21.62162162,1969
SPPOP65UPTOZS,12.77108434,1969
ENPOPDNST,16.37758432,1969
SPPOPGROW,25.61728395,1969
ENURBLCTY,33.96226415,1969
ENURBLCTYURZS,88.85793872,1969
SPPOPTOTLFEZS,40,1969
SEPRMDURS,1,1969
SEPRMAGES,1,1969
SPRURTOTL,1.315789474,1969
SPRURTOTLZS,73.38709677,1969
SESECDURS,1,1969
SESECAGES,1,1969
AGSRFTOTLK2,0.452939127,1969
SPDYNTO65FEZS,15.30612245,1969
SPDYNTO65MAZS,4.093567251,1969
ITMLTMAIN,12.1085595,1969
ITMLTMAINP2,13.9088729,1969
SPURBTOTL,16.79389313,1969
SPURBTOTLINZS,26.61290323,1969
SPURBGROW,32.99620733,1969
NYADJDNGYCD,2.067736601,1970
NYADJDMINCD,0.360556222,1970
SPADOTFRT,59.27342256,1970
SPPOPDPND,70.16574586,1970
SPPOPDPNDOL,12.76595745,1970
SPPOPDPNDYG,73.51598174,1970
SPDYNCBRTIN,51.81818182,1970
AGPRDCROPXD,10.21447562,1970
SPDYNCDRTIN,83.33333333,1970
SPDYNTFRTIN,38.7434555,1970
AGPRDFOODXD,13.29798227,1970
AGLNDTOTLK2,100,1970
SPDYNLE00FEIN,20,1970
SPDYNLE00MAIN,10.67961165,1970
SPDYNLE00IN,11.36363636,1970
AGPRDLVSKXD,18.31153607,1970
ITCELSETS,0,1970
ITCELSETSP2,0,1970
SPPOPTOTL,18.32061069,1970
SPPOP0014TOZS,77.47747748,1970
SPPOP1564TOZS,28.37837838,1970
SPPOP65UPTOZS,14.69879518,1970
ENPOPDNST,18.46814472,1970
SPPOPGROW,45.47325103,1970
ENURBLCTY,37.73584906,1970
ENURBLCTYURZS,86.0724234,1970
SPPOPTOTLFEZS,40,1970
SEPRMDURS,1,1970
SEPRMAGES,1,1970
SPRURTOTL,0,1970
SPRURTOTLZS,70.96774194,1970
SESECDURS,1,1970
SESECAGES,1,1970
AGSRFTOTLK2,0.452939127,1970
SPDYNTO65FEZS,17.34693878,1970
SPDYNTO65MAZS,5.847953216,1970
ITMLTMAIN,13.70911621,1970
ITMLTMAINP2,15.82733813,1970
SPURBTOTL,19.08396947,1970
SPURBTOTLINZS,29.03225806,1970
SPURBGROW,44.37420986,1970
NYADJDNGYCD,2.730192248,1971
NYADJDMINCD,0.066683375,1971
SPADOTFRT,56.78776291,1971
SPPOPDPND,63.5359116,1971
SPPOPDPNDOL,12.76595745,1971
SPPOPDPNDYG,68.03652968,1971
SPDYNCBRTIN,40.90909091,1971
AGPRDCROPXD,21.67645746,1971
SPDYNCDRTIN,72.22222222,1971
SPDYNTFRTIN,27.7486911,1971
AGPRDFOODXD,20.49706677,1971
AGLNDTOTLK2,100,1971
SPDYNLE00FEIN,23.75,1971
SPDYNLE00MAIN,13.59223301,1971
SPDYNLE00IN,14.77272727,1971
AGPRDLVSKXD,21.18789043,1971
ITCELSETS,0,1971
ITCELSETSP2,0,1971
SPPOPTOTL,20.61068702,1971
SPPOP0014TOZS,72.07207207,1971
SPPOP1564TOZS,33.78378378,1971
SPPOP65UPTOZS,17.34939759,1971
ENPOPDNST,20.55870511,1971
