,year,franchise,kpg
1,1901,ATL,3.7
2,1901,BAL,2.784172662
3,1901,BOS,2.036231884
4,1901,CHC,3.785714286
5,1901,CHW,2.452554745
6,1901,CIN,4.133802817
7,1901,CLE,2.333333333
8,1901,DET,2.558823529
9,1901,LAD,3.255474453
10,1901,MIN,2.456521739
11,1901,NYY,2.762962963
12,1901,OAK,2.510948905
13,1901,PHI,3.928571429
14,1901,PIT,3.55
15,1901,SFG,4.09929078
16,1901,STL,3.802816901
17,1902,ATL,3.401408451
18,1902,BAL,2.314285714
19,1902,BOS,2.688405797
20,1902,CHC,3.958041958
21,1902,CHW,2.746376812
22,1902,CIN,3.312056738
23,1902,CLE,2.576642336
24,1902,DET,2.109489051
25,1902,LAD,3.482269504
26,1902,MIN,2.115942029
27,1902,NYY,3.007092199
28,1902,OAK,2.102189781
29,1902,PHI,3.47826087
30,1902,PIT,3.098591549
31,1902,SFG,3.843971631
32,1902,STL,3.135714286
33,1903,ATL,3.542857143
34,1903,BAL,3.892086331
35,1903,BOS,3.964539007
36,1903,CHC,3.287769784
37,1903,CHW,3.898550725
38,1903,CIN,2.992907801
39,1903,CLE,4.2
40,1903,DET,3.824817518
41,1903,LAD,3.791366906
42,1903,MIN,3.328571429
43,1903,NYY,3.389705882
44,1903,OAK,3.729927007
45,1903,PHI,3.115107914
46,1903,PIT,2.886524823
47,1903,SFG,3.330985915
48,1903,STL,3.827338129
49,1904,ATL,3.580645161
50,1904,BAL,3.897435897
51,1904,BOS,3.649681529
52,1904,CHC,3.019230769
53,1904,CHW,3.756410256
54,1904,CIN,3.535031847
55,1904,CLE,4.655844156
56,1904,DET,3.907407407
57,1904,LAD,4.506493506
58,1904,MIN,4.815286624
59,1904,NYY,3.561290323
60,1904,OAK,3.870967742
61,1904,PHI,3.380645161
62,1904,PIT,3.262820513
63,1904,SFG,2.879746835
64,1904,STL,3.174193548
65,1905,ATL,3.814102564
66,1905,BAL,4.096153846
67,1905,BOS,3.614379085
68,1905,CHC,3.270967742
69,1905,CHW,3.879746835
70,1905,CIN,3.212903226
71,1905,CLE,4.606451613
72,1905,DET,3.772727273
73,1905,LAD,3.903225806
74,1905,MIN,5.311688312
75,1905,NYY,3.513157895
76,1905,OAK,4.217105263
77,1905,PHI,3.961290323
78,1905,PIT,3.35483871
79,1905,SFG,3.206451613
80,1905,STL,4.097402597
81,1906,ATL,4.5
82,1906,BAL,3.779220779
83,1906,BOS,4.04516129
84,1906,CHC,3.322580645
85,1906,CHW,3.181818182
86,1906,CIN,3.348387097
87,1906,CLE,3.52866242
88,1906,DET,3.483443709
89,1906,LAD,4.385620915
90,1906,MIN,4.052980132
91,1906,NYY,3.438709677
92,1906,OAK,4.436241611
93,1906,PHI,3.415584416
94,1906,PIT,2.506493506
95,1906,SFG,3.470588235
96,1906,STL,4.409090909
97,1907,ATL,3.355263158
98,1907,BAL,3.341935484
99,1907,BOS,3.748387097
100,1907,CHC,2.870967742
101,1907,CHW,3.076433121
102,1907,CIN,3.391025641
103,1907,CLE,4.196202532
104,1907,DET,3.509803922
105,1907,LAD,4.137254902
106,1907,MIN,3.980519481
107,1907,NYY,3.427631579
108,1907,OAK,3.646666667
109,1907,PHI,3.436241611
110,1907,PIT,2.853503185
111,1907,SFG,3.264516129
112,1907,STL,3.896774194
113,1908,ATL,3.108974359
114,1908,BAL,4.180645161
115,1908,BOS,3.787096774
116,1908,CHC,3.291139241
117,1908,CHW,3.698717949
118,1908,CIN,3.580645161
119,1908,CLE,4.554140127
120,1908,DET,3.538961039
121,1908,LAD,3.974025974
122,1908,MIN,3.851612903
123,1908,NYY,4.122580645
124,1908,OAK,3.789808917
125,1908,PHI,3.406451613
126,1908,PIT,2.948387097
127,1908,SFG,2.407643312
128,1908,STL,4.045454545
129,1909,ATL,3.496774194
130,1909,BAL,3.974025974
131,1909,BOS,3.842105263
132,1909,CHC,3.541935484
133,1909,CHW,3.748427673
134,1909,CIN,3.687898089
135,1909,CLE,4.503225806
136,1909,DET,3.955696203
137,1909,LAD,4.180645161
138,1909,MIN,3.916666667
139,1909,NYY,3.888888889
140,1909,OAK,3.77124183
141,1909,PHI,3.142857143
142,1909,PIT,3.292207792
143,1909,SFG,3.025316456
144,1909,STL,4.344155844
145,1910,ATL,3.439490446
146,1910,BAL,5.455696203
147,1910,BOS,4.582278481
148,1910,CHC,3.253246753
149,1910,CHW,4.153846154
150,1910,CIN,3.301282051
151,1910,CLE,3.950310559
152,1910,DET,3.619354839
153,1910,LAD,4.525641026
154,1910,MIN,4.076433121
155,1910,NYY,4.083333333
156,1910,OAK,3.696774194
157,1910,PHI,3.560509554
158,1910,PIT,3.402597403
159,1910,SFG,3.15483871
160,1910,STL,3.797385621
161,1911,ATL,3.698717949
162,1911,BAL,5.184210526
163,1911,BOS,4.14379085
164,1911,CHC,3.929936306
165,1911,CHW,3.883116883
166,1911,CIN,3.735849057
167,1911,CLE,4.141025641
168,1911,DET,4.253246753
169,1911,LAD,4.435064935
170,1911,MIN,4.149350649
171,1911,NYY,3.921568627
172,1911,OAK,3.401315789
173,1911,PHI,3.843137255
174,1911,PIT,3.761290323
175,1911,SFG,3.285714286
176,1911,STL,4.113924051
177,1912,ATL,4.451612903
178,1912,BAL,5.191082803
179,1912,BOS,3.974025974
180,1912,CHC,4.046052632
181,1912,CHW,4.094936709
182,1912,CIN,3.174193548
183,1912,CLE,3.529032258
184,1912,DET,3.948051948
185,1912,LAD,3.816993464
186,1912,MIN,4.857142857
187,1912,NYY,3.803921569
188,1912,OAK,3.679738562
189,1912,PHI,4.046052632
190,1912,PIT,3.381578947
191,1912,SFG,3.227272727
192,1912,STL,4.052287582
193,1913,ATL,4.162337662
194,1913,BAL,5
195,1913,BOS,3.543046358
196,1913,CHC,4.090322581
197,1913,CHW,3.594771242
198,1913,CIN,3.711538462
199,1913,CLE,3.593548387
200,1913,DET,3.274509804
201,1913,LAD,3.651315789
202,1913,MIN,3.838709677
203,1913,NYY,4.032679739
204,1913,OAK,3.575163399
205,1913,PHI,3.635220126
206,1913,PIT,3.516129032
207,1913,SFG,3.211538462
208,1913,STL,3.745098039
209,1914,ATL,3.905063291
210,1914,BAL,5.427672956
211,1914,BOS,3.452830189
212,1914,CHC,3.698717949
213,1914,CHW,3.878980892
214,1914,CIN,3.993630573
215,1914,CLE,4.363057325
216,1914,DET,3.420382166
217,1914,LAD,3.62987013
218,1914,MIN,4.050632911
219,1914,NYY,4.52866242
220,1914,OAK,3.272151899
221,1914,PHI,3.701298701
222,1914,PIT,3.848101266
223,1914,SFG,3.070512821
224,1914,STL,3.936305732
225,1915,ATL,3.949044586
226,1915,BAL,4.811320755
227,1915,BOS,3.070967742
228,1915,CHC,4.096153846
229,1915,CHW,3.709677419
230,1915,CIN,3.2
231,1915,CLE,4.422077922
232,1915,DET,3.378205128
233,1915,LAD,3.220779221
234,1915,MIN,3.490322581
235,1915,NYY,4.344155844
236,1915,OAK,4.116883117
237,1915,PHI,3.921568627
238,1915,PIT,4.205128205
239,1915,SFG,3.529032258
240,1915,STL,4.191082803
241,1916,ATL,4.088607595
242,1916,BAL,4.037974684
243,1916,BOS,3.08974359
244,1916,CHC,4.243589744
245,1916,CHW,3.812903226
246,1916,CIN,3.696774194
247,1916,CLE,3.853503185
248,1916,DET,3.412903226
249,1916,LAD,3.525641026
