country,value,year
ARG,6.14E+01,1960
BRA,8.25E+01,1960
CHL,8.78E+01,1960
CHN,6.78E+01,1960
EGY,1.48E+02,1960
DEU,3.80E+01,1960
HKG,3.76E+01,1960
IND,1.11E+02,1960
IDN,1.44E+02,1960
JPN,4.12E+00,1960
KOR,3.26E+01,1960
MYS,7.54E+01,1960
MEX,1.17E+02,1960
PHL,6.63E+01,1960
RUS,2.79E+01,1960
ZAF,6.51E+01,1960
LKA,9.76E+01,1960
THA,6.04E+01,1960
TUR,1.33E+02,1960
GBR,4.70E+01,1960
USA,8.50E+01,1960
ARG,6.12E+01,1961
BRA,8.25E+01,1961
CHL,8.79E+01,1961
CHN,6.63E+01,1961
EGY,1.48E+02,1961
DEU,4.02E+01,1961
HKG,3.85E+01,1961
IND,1.11E+02,1961
IDN,1.46E+02,1961
JPN,3.96E+00,1961
KOR,3.11E+01,1961
MYS,7.49E+01,1961
MEX,1.17E+02,1961
PHL,6.57E+01,1961
RUS,2.81E+01,1961
ZAF,6.49E+01,1961
LKA,9.54E+01,1961
THA,6.04E+01,1961
TUR,1.31E+02,1961
GBR,4.81E+01,1961
USA,8.27E+01,1961
ARG,6.11E+01,1962
BRA,8.25E+01,1962
CHL,8.79E+01,1962
CHN,6.48E+01,1962
EGY,1.47E+02,1962
DEU,4.24E+01,1962
HKG,3.93E+01,1962
IND,1.11E+02,1962
IDN,1.47E+02,1962
JPN,3.80E+00,1962
KOR,2.96E+01,1962
MYS,7.44E+01,1962
MEX,1.17E+02,1962
PHL,6.52E+01,1962
RUS,2.84E+01,1962
ZAF,6.47E+01,1962
LKA,9.31E+01,1962
THA,6.04E+01,1962
TUR,1.30E+02,1962
GBR,4.92E+01,1962
USA,8.05E+01,1962
ARG,6.10E+01,1963
BRA,8.09E+01,1963
CHL,8.69E+01,1963
CHN,6.16E+01,1963
EGY,1.46E+02,1963
DEU,4.38E+01,1963
HKG,3.69E+01,1963
IND,1.12E+02,1963
IDN,1.49E+02,1963
JPN,3.80E+00,1963
KOR,2.76E+01,1963
MYS,7.24E+01,1963
MEX,1.17E+02,1963
PHL,6.44E+01,1963
RUS,2.80E+01,1963
ZAF,6.38E+01,1963
LKA,8.90E+01,1963
THA,6.06E+01,1963
TUR,1.28E+02,1963
GBR,4.92E+01,1963
USA,7.80E+01,1963
ARG,6.08E+01,1964
BRA,7.93E+01,1964
CHL,8.59E+01,1964
CHN,5.83E+01,1964
EGY,1.44E+02,1964
DEU,4.51E+01,1964
HKG,3.44E+01,1964
IND,1.12E+02,1964
IDN,1.50E+02,1964
JPN,3.80E+00,1964
KOR,2.56E+01,1964
MYS,7.04E+01,1964
MEX,1.17E+02,1964
PHL,6.36E+01,1964
RUS,2.77E+01,1964
ZAF,6.30E+01,1964
LKA,8.48E+01,1964
THA,6.09E+01,1964
TUR,1.27E+02,1964
GBR,4.91E+01,1964
USA,7.54E+01,1964
ARG,6.07E+01,1965
BRA,7.78E+01,1965
CHL,8.48E+01,1965
CHN,5.51E+01,1965
EGY,1.42E+02,1965
DEU,4.65E+01,1965
HKG,3.19E+01,1965
IND,1.13E+02,1965
IDN,1.51E+02,1965
JPN,3.80E+00,1965
KOR,2.35E+01,1965
MYS,6.84E+01,1965
MEX,1.17E+02,1965
PHL,6.27E+01,1965
RUS,2.73E+01,1965
ZAF,6.21E+01,1965
LKA,8.06E+01,1965
THA,6.11E+01,1965
TUR,1.25E+02,1965
GBR,4.91E+01,1965
USA,7.29E+01,1965
ARG,6.05E+01,1966
BRA,7.62E+01,1966
CHL,8.38E+01,1966
CHN,5.19E+01,1966
EGY,1.41E+02,1966
DEU,4.78E+01,1966
HKG,2.95E+01,1966
IND,1.13E+02,1966
IDN,1.53E+02,1966
JPN,3.80E+00,1966
KOR,2.15E+01,1966
MYS,6.63E+01,1966
MEX,1.17E+02,1966
PHL,6.19E+01,1966
RUS,2.69E+01,1966
ZAF,6.13E+01,1966
LKA,7.64E+01,1966
THA,6.14E+01,1966
TUR,1.23E+02,1966
GBR,4.90E+01,1966
USA,7.04E+01,1966
ARG,6.04E+01,1967
BRA,7.46E+01,1967
CHL,8.28E+01,1967
CHN,4.87E+01,1967
EGY,1.39E+02,1967
DEU,4.92E+01,1967
HKG,2.70E+01,1967
IND,1.14E+02,1967
IDN,1.54E+02,1967
JPN,3.80E+00,1967
KOR,1.95E+01,1967
MYS,6.43E+01,1967
MEX,1.17E+02,1967
PHL,6.11E+01,1967
RUS,2.65E+01,1967
ZAF,6.04E+01,1967
LKA,7.23E+01,1967
