country,value,year
ARG,5.71E+01,1960
BRA,8.71E+01,1960
CHL,7.96E+01,1960
CHN,7.75E+01,1960
EGY,8.39E+01,1960
DEU,4.83E+01,1960
HKG,7.76E+01,1960
IND,7.65E+01,1960
IDN,7.68E+01,1960
JPN,5.60E+01,1960
KOR,8.07E+01,1960
MYS,9.58E+01,1960
MEX,9.69E+01,1960
PHL,1.00E+02,1960
RUS,5.76E+01,1960
ZAF,8.12E+01,1960
LKA,8.75E+01,1960
THA,8.60E+01,1960
TUR,8.44E+01,1960
GBR,5.40E+01,1960
USA,6.65E+01,1960
ARG,5.73E+01,1961
BRA,8.79E+01,1961
CHL,8.06E+01,1961
CHN,7.84E+01,1961
EGY,8.46E+01,1961
DEU,4.94E+01,1961
HKG,7.83E+01,1961
IND,7.76E+01,1961
IDN,7.80E+01,1961
JPN,5.41E+01,1961
KOR,8.20E+01,1961
MYS,9.70E+01,1961
MEX,9.80E+01,1961
PHL,1.01E+02,1961
RUS,5.84E+01,1961
ZAF,8.20E+01,1961
LKA,8.68E+01,1961
THA,8.69E+01,1961
TUR,8.56E+01,1961
GBR,5.42E+01,1961
USA,6.68E+01,1961
ARG,5.74E+01,1962
BRA,8.87E+01,1962
CHL,8.16E+01,1962
CHN,7.93E+01,1962
EGY,8.48E+01,1962
DEU,5.07E+01,1962
HKG,7.79E+01,1962
IND,7.88E+01,1962
IDN,7.94E+01,1962
JPN,5.21E+01,1962
KOR,8.34E+01,1962
MYS,9.79E+01,1962
MEX,9.92E+01,1962
PHL,1.02E+02,1962
RUS,5.85E+01,1962
ZAF,8.27E+01,1962
LKA,8.59E+01,1962
THA,8.77E+01,1962
TUR,8.69E+01,1962
GBR,5.43E+01,1962
USA,6.68E+01,1962
ARG,5.74E+01,1963
BRA,8.92E+01,1963
CHL,8.25E+01,1963
CHN,8.02E+01,1963
EGY,8.49E+01,1963
DEU,5.21E+01,1963
HKG,7.69E+01,1963
IND,7.98E+01,1963
IDN,8.09E+01,1963
JPN,5.01E+01,1963
KOR,8.48E+01,1963
MYS,9.85E+01,1963
MEX,1.00E+02,1963
PHL,1.02E+02,1963
RUS,5.82E+01,1963
ZAF,8.34E+01,1963
LKA,8.48E+01,1963
THA,8.85E+01,1963
TUR,8.80E+01,1963
GBR,5.45E+01,1963
USA,6.67E+01,1963
ARG,5.74E+01,1964
BRA,8.95E+01,1964
CHL,8.31E+01,1964
CHN,8.07E+01,1964
EGY,8.50E+01,1964
DEU,5.35E+01,1964
HKG,7.58E+01,1964
IND,8.07E+01,1964
IDN,8.22E+01,1964
JPN,4.85E+01,1964
KOR,8.59E+01,1964
MYS,9.87E+01,1964
MEX,1.01E+02,1964
PHL,1.02E+02,1964
RUS,5.75E+01,1964
ZAF,8.40E+01,1964
LKA,8.38E+01,1964
THA,8.92E+01,1964
TUR,8.88E+01,1964
GBR,5.47E+01,1964
USA,6.63E+01,1964
ARG,5.74E+01,1965
BRA,8.94E+01,1965
CHL,8.35E+01,1965
CHN,8.10E+01,1965
EGY,8.51E+01,1965
DEU,5.48E+01,1965
HKG,7.48E+01,1965
IND,8.12E+01,1965
IDN,8.35E+01,1965
JPN,4.72E+01,1965
KOR,8.66E+01,1965
MYS,9.85E+01,1965
MEX,1.02E+02,1965
PHL,1.02E+02,1965
RUS,5.67E+01,1965
ZAF,8.43E+01,1965
LKA,8.28E+01,1965
THA,8.98E+01,1965
TUR,8.91E+01,1965
GBR,5.52E+01,1965
USA,6.58E+01,1965
ARG,5.73E+01,1966
BRA,8.90E+01,1966
CHL,8.35E+01,1966
CHN,8.09E+01,1966
EGY,8.53E+01,1966
DEU,5.58E+01,1966
HKG,7.39E+01,1966
IND,8.14E+01,1966
IDN,8.46E+01,1966
JPN,4.62E+01,1966
KOR,8.68E+01,1966
MYS,9.78E+01,1966
MEX,1.02E+02,1966
PHL,1.01E+02,1966
RUS,5.58E+01,1966
ZAF,8.44E+01,1966
LKA,8.20E+01,1966
THA,9.03E+01,1966
TUR,8.88E+01,1966
GBR,5.58E+01,1966
USA,6.52E+01,1966
ARG,5.72E+01,1967
BRA,8.84E+01,1967
CHL,8.33E+01,1967
CHN,8.05E+01,1967
EGY,8.56E+01,1967
DEU,5.68E+01,1967
HKG,7.31E+01,1967
IND,8.13E+01,1967
IDN,8.55E+01,1967
JPN,4.56E+01,1967
KOR,8.66E+01,1967
MYS,9.67E+01,1967
MEX,1.02E+02,1967
PHL,1.00E+02,1967
RUS,5.47E+01,1967
ZAF,8.43E+01,1967
LKA,8.12E+01,1967
THA,9.08E+01,1967
TUR,8.81E+01,1967
GBR,5.66E+01,1967
USA,6.44E+01,1967
ARG,5.72E+01,1968
BRA,8.75E+01,1968
CHL,8.28E+01,1968
CHN,7.99E+01,1968
EGY,8.58E+01,1968
DEU,5.75E+01,1968
HKG,7.22E+01,1968
IND,8.09E+01,1968
IDN,8.63E+01,1968
JPN,4.53E+01,1968
KOR,8.60E+01,1968
MYS,9.54E+01,1968
MEX,1.02E+02,1968
PHL,9.86E+01,1968
RUS,5.36E+01,1968
ZAF,8.41E+01,1968
LKA,8.05E+01,1968
THA,9.10E+01,1968
TUR,8.72E+01,1968
GBR,5.75E+01,1968
USA,6.35E+01,1968
ARG,5.71E+01,1969
BRA,8.65E+01,1969
CHL,8.21E+01,1969
CHN,7.95E+01,1969
EGY,8.59E+01,1969
DEU,5.80E+01,1969
HKG,7.10E+01,1969
IND,8.05E+01,1969
IDN,8.68E+01,1969
JPN,4.52E+01,1969
KOR,8.49E+01,1969
MYS,9.40E+01,1969
MEX,1.01E+02,1969
PHL,9.73E+01,1969
RUS,5.24E+01,1969
ZAF,8.38E+01,1969
