country,value,year
ARG,8.77E+00,1960
BRA,6.17E+00,1960
CHL,8.63E+00,1960
CHN,7.04E+00,1960
EGY,7.12E+00,1960
DEU,1.70E+01,1960
HKG,5.01E+00,1960
IND,5.39E+00,1960
IDN,6.36E+00,1960
JPN,8.93E+00,1960
KOR,6.76E+00,1960
MYS,6.71E+00,1960
MEX,6.61E+00,1960
PHL,6.23E+00,1960
RUS,9.58E+00,1960
ZAF,7.00E+00,1960
LKA,8.87E+00,1960
THA,6.14E+00,1960
TUR,5.81E+00,1960
GBR,1.81E+01,1960
USA,1.52E+01,1960
ARG,9.00E+00,1961
BRA,6.29E+00,1961
CHL,8.75E+00,1961
CHN,6.95E+00,1961
EGY,7.24E+00,1961
DEU,1.74E+01,1961
HKG,5.14E+00,1961
IND,5.46E+00,1961
IDN,6.31E+00,1961
JPN,8.97E+00,1961
KOR,6.74E+00,1961
MYS,6.57E+00,1961
MEX,6.71E+00,1961
PHL,6.19E+00,1961
RUS,9.79E+00,1961
ZAF,7.08E+00,1961
LKA,8.39E+00,1961
THA,6.20E+00,1961
TUR,5.98E+00,1961
GBR,1.82E+01,1961
USA,1.54E+01,1961
ARG,9.22E+00,1962
BRA,6.41E+00,1962
CHL,8.86E+00,1962
CHN,6.82E+00,1962
EGY,7.33E+00,1962
DEU,1.78E+01,1962
HKG,5.22E+00,1962
IND,5.55E+00,1962
IDN,6.27E+00,1962
JPN,9.01E+00,1962
KOR,6.65E+00,1962
MYS,6.47E+00,1962
MEX,6.82E+00,1962
PHL,6.17E+00,1962
RUS,9.96E+00,1962
ZAF,7.16E+00,1962
LKA,7.96E+00,1962
THA,6.27E+00,1962
TUR,6.23E+00,1962
GBR,1.83E+01,1962
USA,1.55E+01,1962
ARG,9.43E+00,1963
BRA,6.53E+00,1963
CHL,8.96E+00,1963
CHN,6.69E+00,1963
EGY,7.41E+00,1963
DEU,1.83E+01,1963
HKG,5.29E+00,1963
IND,5.66E+00,1963
IDN,6.22E+00,1963
JPN,9.05E+00,1963
KOR,6.54E+00,1963
MYS,6.40E+00,1963
MEX,6.94E+00,1963
PHL,6.14E+00,1963
RUS,1.01E+01,1963
ZAF,7.22E+00,1963
LKA,7.60E+00,1963
THA,6.35E+00,1963
TUR,6.49E+00,1963
GBR,1.85E+01,1963
USA,1.56E+01,1963
ARG,9.65E+00,1964
BRA,6.63E+00,1964
CHL,9.04E+00,1964
CHN,6.59E+00,1964
EGY,7.48E+00,1964
DEU,1.88E+01,1964
HKG,5.38E+00,1964
IND,5.76E+00,1964
IDN,6.19E+00,1964
JPN,9.13E+00,1964
KOR,6.41E+00,1964
MYS,6.36E+00,1964
MEX,7.05E+00,1964
PHL,6.11E+00,1964
RUS,1.03E+01,1964
ZAF,7.24E+00,1964
LKA,7.29E+00,1964
THA,6.42E+00,1964
TUR,6.73E+00,1964
GBR,1.87E+01,1964
USA,1.57E+01,1964
ARG,9.87E+00,1965
BRA,6.71E+00,1965
CHL,9.10E+00,1965
CHN,6.55E+00,1965
EGY,7.55E+00,1965
DEU,1.92E+01,1965
HKG,5.50E+00,1965
IND,5.84E+00,1965
IDN,6.17E+00,1965
JPN,9.23E+00,1965
KOR,6.31E+00,1965
MYS,6.32E+00,1965
MEX,7.15E+00,1965
PHL,6.07E+00,1965
RUS,1.04E+01,1965
ZAF,7.18E+00,1965
LKA,7.05E+00,1965
THA,6.48E+00,1965
TUR,6.92E+00,1965
GBR,1.89E+01,1965
USA,1.57E+01,1965
ARG,1.01E+01,1966
BRA,6.77E+00,1966
CHL,9.14E+00,1966
CHN,6.57E+00,1966
EGY,7.62E+00,1966
DEU,1.97E+01,1966
HKG,5.65E+00,1966
IND,5.88E+00,1966
IDN,6.16E+00,1966
JPN,9.38E+00,1966
KOR,6.24E+00,1966
MYS,6.30E+00,1966
MEX,7.24E+00,1966
PHL,6.02E+00,1966
RUS,1.06E+01,1966
ZAF,7.06E+00,1966
LKA,6.88E+00,1966
THA,6.54E+00,1966
TUR,7.04E+00,1966
GBR,1.92E+01,1966
USA,1.57E+01,1966
ARG,1.03E+01,1967
BRA,6.80E+00,1967
CHL,9.17E+00,1967
CHN,6.65E+00,1967
EGY,7.69E+00,1967
DEU,2.02E+01,1967
HKG,5.84E+00,1967
IND,5.90E+00,1967
IDN,6.17E+00,1967
JPN,9.55E+00,1967
KOR,6.19E+00,1967
MYS,6.27E+00,1967
MEX,7.31E+00,1967
PHL,5.96E+00,1967
RUS,1.09E+01,1967
ZAF,6.89E+00,1967
LKA,6.75E+00,1967
THA,6.58E+00,1967
TUR,7.10E+00,1967
GBR,1.95E+01,1967
USA,1.57E+01,1967
ARG,1.06E+01,1968
BRA,6.83E+00,1968
CHL,9.18E+00,1968
CHN,6.77E+00,1968
EGY,7.75E+00,1968
DEU,2.06E+01,1968
HKG,6.07E+00,1968
IND,5.91E+00,1968
IDN,6.18E+00,1968
JPN,9.75E+00,1968
KOR,6.15E+00,1968
MYS,6.27E+00,1968
MEX,7.37E+00,1968
PHL,5.91E+00,1968
RUS,1.11E+01,1968
ZAF,6.68E+00,1968
LKA,6.67E+00,1968
THA,6.61E+00,1968
TUR,7.14E+00,1968
GBR,1.99E+01,1968
USA,1.57E+01,1968
ARG,1.08E+01,1969
BRA,6.85E+00,1969
CHL,9.18E+00,1969
CHN,6.91E+00,1969
EGY,7.81E+00,1969
DEU,2.10E+01,1969
HKG,6.34E+00,1969
IND,5.92E+00,1969
IDN,6.20E+00,1969
JPN,9.98E+00,1969
KOR,6.12E+00,1969
MYS,6.27E+00,1969
MEX,7.42E+00,1969
PHL,5.87E+00,1969
RUS,1.14E+01,1969
ZAF,6.49E+00,1969
LKA,6.62E+00,1969
THA,6.63E+00,1969
TUR,7.20E+00,1969
GBR,2.03E+01,1969
USA,1.57E+01,1969
ARG,1.10E+01,1970
BRA,6.89E+00,1970
CHL,9.20E+00,1970
CHN,7.08E+00,1970
EGY,7.86E+00,1970
DEU,2.15E+01,1970
HKG,6.65E+00,1970
IND,5.95E+00,1970
IDN,6.23E+00,1970
JPN,1.02E+01,1970
KOR,6.08E+00,1970
MYS,6.30E+00,1970
MEX,7.45E+00,1970
PHL,5.86E+00,1970
RUS,1.17E+01,1970
ZAF,6.32E+00,1970
LKA,6.60E+00,1970
THA,6.64E+00,1970
TUR,7.30E+00,1970
GBR,2.07E+01,1970
USA,1.58E+01,1970
ARG,1.12E+01,1971
BRA,6.93E+00,1971
CHL,9.22E+00,1971
CHN,7.27E+00,1971
EGY,7.91E+00,1971
DEU,2.19E+01,1971
HKG,7.00E+00,1971
IND,5.99E+00,1971
IDN,6.26E+00,1971
JPN,1.05E+01,1971
KOR,6.04E+00,1971
MYS,6.35E+00,1971
MEX,7.46E+00,1971
PHL,5.86E+00,1971
RUS,1.20E+01,1971
ZAF,6.20E+00,1971
LKA,6.61E+00,1971
THA,6.65E+00,1971
TUR,7.45E+00,1971
GBR,2.11E+01,1971
USA,1.58E+01,1971
ARG,1.15E+01,1972
BRA,6.97E+00,1972
CHL,9.24E+00,1972
CHN,7.48E+00,1972
EGY,7.95E+00,1972
DEU,2.23E+01,1972
HKG,7.38E+00,1972
IND,6.04E+00,1972
IDN,6.30E+00,1972
JPN,1.07E+01,1972
KOR,6.00E+00,1972
