country,value,year
ARG,4.83E+01,1960
BRA,8.09E+01,1960
CHL,7.10E+01,1960
CHN,7.04E+01,1960
EGY,7.68E+01,1960
DEU,3.13E+01,1960
HKG,7.26E+01,1960
IND,7.11E+01,1960
IDN,7.04E+01,1960
JPN,4.70E+01,1960
KOR,7.39E+01,1960
MYS,8.91E+01,1960
MEX,9.03E+01,1960
PHL,9.42E+01,1960
RUS,4.80E+01,1960
ZAF,7.42E+01,1960
LKA,7.86E+01,1960
THA,7.99E+01,1960
TUR,7.86E+01,1960
GBR,3.59E+01,1960
USA,5.13E+01,1960
ARG,4.83E+01,1961
BRA,8.17E+01,1961
CHL,7.19E+01,1961
CHN,7.15E+01,1961
EGY,7.73E+01,1961
DEU,3.20E+01,1961
HKG,7.32E+01,1961
IND,7.22E+01,1961
IDN,7.17E+01,1961
JPN,4.51E+01,1961
KOR,7.52E+01,1961
MYS,9.04E+01,1961
MEX,9.13E+01,1961
PHL,9.49E+01,1961
RUS,4.86E+01,1961
ZAF,7.49E+01,1961
LKA,7.84E+01,1961
THA,8.07E+01,1961
TUR,7.96E+01,1961
GBR,3.60E+01,1961
USA,5.14E+01,1961
ARG,4.82E+01,1962
BRA,8.23E+01,1962
CHL,7.27E+01,1962
CHN,7.25E+01,1962
EGY,7.75E+01,1962
DEU,3.29E+01,1962
HKG,7.27E+01,1962
IND,7.32E+01,1962
IDN,7.32E+01,1962
JPN,4.31E+01,1962
KOR,7.67E+01,1962
MYS,9.14E+01,1962
MEX,9.23E+01,1962
PHL,9.55E+01,1962
RUS,4.86E+01,1962
ZAF,7.56E+01,1962
LKA,7.79E+01,1962
THA,8.15E+01,1962
TUR,8.06E+01,1962
GBR,3.60E+01,1962
USA,5.13E+01,1962
ARG,4.80E+01,1963
BRA,8.27E+01,1963
CHL,7.35E+01,1963
CHN,7.35E+01,1963
EGY,7.75E+01,1963
DEU,3.38E+01,1963
HKG,7.16E+01,1963
IND,7.42E+01,1963
IDN,7.46E+01,1963
JPN,4.11E+01,1963
KOR,7.82E+01,1963
MYS,9.21E+01,1963
MEX,9.33E+01,1963
PHL,9.60E+01,1963
RUS,4.81E+01,1963
ZAF,7.62E+01,1963
LKA,7.72E+01,1963
THA,8.21E+01,1963
TUR,8.15E+01,1963
GBR,3.60E+01,1963
USA,5.11E+01,1963
ARG,4.78E+01,1964
BRA,8.28E+01,1964
CHL,7.41E+01,1964
CHN,7.41E+01,1964
EGY,7.75E+01,1964
DEU,3.47E+01,1964
HKG,7.04E+01,1964
IND,7.49E+01,1964
IDN,7.61E+01,1964
JPN,3.93E+01,1964
KOR,7.95E+01,1964
MYS,9.24E+01,1964
MEX,9.40E+01,1964
PHL,9.61E+01,1964
RUS,4.73E+01,1964
ZAF,7.67E+01,1964
LKA,7.65E+01,1964
THA,8.27E+01,1964
TUR,8.21E+01,1964
GBR,3.61E+01,1964
USA,5.06E+01,1964
ARG,4.75E+01,1965
BRA,8.27E+01,1965
CHL,7.44E+01,1965
CHN,7.44E+01,1965
EGY,7.75E+01,1965
DEU,3.55E+01,1965
HKG,6.93E+01,1965
IND,7.54E+01,1965
IDN,7.73E+01,1965
JPN,3.79E+01,1965
KOR,8.02E+01,1965
MYS,9.22E+01,1965
MEX,9.44E+01,1965
PHL,9.58E+01,1965
RUS,4.63E+01,1965
ZAF,7.71E+01,1965
LKA,7.57E+01,1965
THA,8.33E+01,1965
TUR,8.22E+01,1965
GBR,3.63E+01,1965
USA,5.01E+01,1965
ARG,4.72E+01,1966
BRA,8.23E+01,1966
CHL,7.44E+01,1966
CHN,7.43E+01,1966
EGY,7.77E+01,1966
DEU,3.61E+01,1966
HKG,6.83E+01,1966
IND,7.55E+01,1966
IDN,7.84E+01,1966
JPN,3.68E+01,1966
KOR,8.06E+01,1966
MYS,9.15E+01,1966
MEX,9.46E+01,1966
PHL,9.51E+01,1966
RUS,4.52E+01,1966
ZAF,7.73E+01,1966
LKA,7.51E+01,1966
THA,8.38E+01,1966
TUR,8.18E+01,1966
GBR,3.66E+01,1966
USA,4.94E+01,1966
ARG,4.69E+01,1967
BRA,8.16E+01,1967
CHL,7.41E+01,1967
CHN,7.38E+01,1967
EGY,7.79E+01,1967
DEU,3.66E+01,1967
HKG,6.73E+01,1967
IND,7.53E+01,1967
IDN,7.94E+01,1967
JPN,3.60E+01,1967
KOR,8.05E+01,1967
MYS,9.05E+01,1967
MEX,9.45E+01,1967
PHL,9.40E+01,1967
RUS,4.39E+01,1967
ZAF,7.74E+01,1967
LKA,7.45E+01,1967
THA,8.42E+01,1967
TUR,8.10E+01,1967
GBR,3.71E+01,1967
USA,4.87E+01,1967
ARG,4.66E+01,1968
BRA,8.07E+01,1968
