country,value,year
ARG,2.57E+01,1960
BRA,22.02497365,1960
CHL,28.67923476,1960
CHN,17.37324282,1960
EGY,17.33462626,1960
DEU,60.07472796,1960
HKG,317.1012085,1960
IND,35.35295016,1960
IDN,20.11018038,1960
JPN,116.798467,1960
KOR,41.30565815,1960
MYS,16.43172332,1960
MEX,27.21340812,1960
PHL,28.04377246,1960
RUS,112.8499005,1960
ZAF,38.94214976,1960
LKA,46.08420593,1960
THA,19.45097685,1960
TUR,30.59121272,1960
GBR,53.54209021,1960
USA,43.18363802,1960
ARG,2.57E+01,1961
BRA,23.31,1961
CHL,29.74,1961
CHN,18.24,1961
EGY,21.59,1961
DEU,73.33,1961
HKG,291.35,1961
IND,35.03,1961
IDN,21.38,1961
JPN,120.82,1961
KOR,38.77,1961
MYS,16.6,1961
MEX,28.72,1961
PHL,29.83,1961
RUS,106.4430834,1961
ZAF,39.63,1961
LKA,48.75,1961
THA,20.99088589,1961
TUR,31.69505619,1961
GBR,57.19422259,1961
USA,43.58,1961
ARG,2.63E+01,1962
BRA,24.67,1962
CHL,30.84,1962
CHN,19.15,1962
EGY,26.89,1962
DEU,89.51,1962
HKG,267.69,1962
IND,34.71,1962
IDN,22.73,1962
JPN,124.98,1962
KOR,36.39,1962
MYS,16.77,1962
MEX,30.31,1962
PHL,31.73,1962
RUS,100.4,1962
ZAF,40.33,1962
LKA,51.57,1962
THA,22.65270758,1962
TUR,32.83873039,1962
GBR,61.09546873,1962
USA,43.98,1962
ARG,2.91E+01,1963
BRA,2.48E+01,1963
CHL,3.03E+01,1963
CHN,1.99E+01,1963
EGY,2.77E+01,1963
DEU,9.59E+01,1963
HKG,2.29E+02,1963
IND,3.57E+01,1963
IDN,2.16E+01,1963
JPN,1.26E+02,1963
KOR,3.96E+01,1963
MYS,1.76E+01,1963
MEX,3.25E+01,1963
PHL,3.29E+01,1963
RUS,94.7,1963
ZAF,4.40E+01,1963
LKA,5.29E+01,1963
THA,24.44609356,1963
TUR,34.02367257,1963
GBR,65.26282079,1963
USA,4.59E+01,1963
ARG,3.09E+01,1964
BRA,2.45E+01,1964
CHL,3.12E+01,1964
