country,value,year
ARG,8.64E+00,1960
BRA,1.32E+01,1960
CHL,1.28E+01,1960
CHN,2.54E+01,1960
EGY,1.95E+01,1960
DEU,1.20E+01,1960
HKG,5.92E+00,1960
IND,2.22E+01,1960
IDN,2.03E+01,1960
JPN,7.60E+00,1960
KOR,1.43E+01,1960
MYS,1.06E+01,1960
MEX,1.23E+01,1960
PHL,1.12E+01,1960
RUS,8.29E+00,1960
ZAF,1.70E+01,1960
LKA,1.23E+01,1960
THA,1.28E+01,1960
TUR,2.05E+01,1960
GBR,1.15E+01,1960
USA,9.50E+00,1960
ARG,8.69E+00,1961
BRA,1.29E+01,1961
CHL,1.26E+01,1961
CHN,1.42E+01,1961
EGY,1.91E+01,1961
DEU,1.16E+01,1961
HKG,6.10E+00,1961
IND,2.16E+01,1961
IDN,1.96E+01,1961
JPN,7.40E+00,1961
KOR,1.38E+01,1961
MYS,1.01E+01,1961
MEX,1.19E+01,1961
PHL,1.09E+01,1961
RUS,8.17E+00,1961
ZAF,1.67E+01,1961
LKA,1.17E+01,1961
THA,1.25E+01,1961
TUR,1.98E+01,1961
GBR,1.20E+01,1961
USA,9.30E+00,1961
ARG,8.76E+00,1962
BRA,1.26E+01,1962
CHL,1.23E+01,1962
CHN,1.00E+01,1962
EGY,1.86E+01,1962
DEU,1.19E+01,1962
HKG,6.30E+00,1962
IND,2.10E+01,1962
IDN,1.90E+01,1962
JPN,7.50E+00,1962
KOR,1.33E+01,1962
MYS,9.68E+00,1962
MEX,1.16E+01,1962
PHL,1.07E+01,1962
RUS,8.09E+00,1962
ZAF,1.64E+01,1962
LKA,1.11E+01,1962
THA,1.22E+01,1962
TUR,1.92E+01,1962
GBR,1.13E+01,1962
USA,9.50E+00,1962
ARG,8.82E+00,1963
BRA,1.23E+01,1963
CHL,1.20E+01,1963
CHN,1.00E+01,1963
EGY,1.82E+01,1963
DEU,1.20E+01,1963
HKG,5.90E+00,1963
IND,2.03E+01,1963
IDN,1.83E+01,1963
JPN,7.00E+00,1963
KOR,1.27E+01,1963
MYS,9.26E+00,1963
MEX,1.13E+01,1963
PHL,1.04E+01,1963
RUS,8.06E+00,1963
ZAF,1.61E+01,1963
LKA,1.06E+01,1963
THA,1.19E+01,1963
TUR,1.85E+01,1963
GBR,1.22E+01,1963
USA,9.60E+00,1963
ARG,8.89E+00,1964
BRA,1.20E+01,1964
CHL,1.17E+01,1964
CHN,1.15E+01,1964
EGY,1.78E+01,1964
DEU,1.16E+01,1964
HKG,5.30E+00,1964
IND,1.97E+01,1964
IDN,1.77E+01,1964
JPN,6.90E+00,1964
KOR,1.21E+01,1964
MYS,8.87E+00,1964
MEX,1.11E+01,1964
PHL,1.02E+01,1964
RUS,8.07E+00,1964
ZAF,1.58E+01,1964
LKA,1.02E+01,1964
THA,1.16E+01,1964
TUR,1.79E+01,1964
GBR,1.13E+01,1964
USA,9.40E+00,1964
ARG,8.95E+00,1965
BRA,1.17E+01,1965
CHL,1.13E+01,1965
CHN,9.50E+00,1965
EGY,1.74E+01,1965
DEU,1.20E+01,1965
HKG,5.00E+00,1965
IND,1.91E+01,1965
IDN,1.71E+01,1965
JPN,7.10E+00,1965
KOR,1.14E+01,1965
MYS,8.50E+00,1965
MEX,1.09E+01,1965
PHL,9.96E+00,1965
RUS,8.12E+00,1965
ZAF,1.55E+01,1965
LKA,9.71E+00,1965
THA,1.14E+01,1965
TUR,1.73E+01,1965
GBR,1.16E+01,1965
USA,9.40E+00,1965
ARG,8.99E+00,1966
BRA,1.14E+01,1966
CHL,1.09E+01,1966
CHN,8.83E+00,1966
EGY,1.70E+01,1966
DEU,1.19E+01,1966
HKG,5.30E+00,1966
IND,1.85E+01,1966
IDN,1.65E+01,1966
JPN,6.80E+00,1966
KOR,1.08E+01,1966
MYS,8.17E+00,1966
MEX,1.06E+01,1966
PHL,9.74E+00,1966
RUS,8.21E+00,1966
ZAF,1.52E+01,1966
LKA,9.29E+00,1966
THA,1.11E+01,1966
TUR,1.68E+01,1966
GBR,1.18E+01,1966
USA,9.50E+00,1966
ARG,9.03E+00,1967
BRA,1.12E+01,1967
CHL,1.05E+01,1967
CHN,8.43E+00,1967
EGY,1.67E+01,1967
DEU,1.19E+01,1967
HKG,5.40E+00,1967
IND,1.79E+01,1967
IDN,1.59E+01,1967
JPN,6.70E+00,1967
KOR,1.02E+01,1967
MYS,7.86E+00,1967
MEX,1.04E+01,1967
PHL,9.52E+00,1967
RUS,8.33E+00,1967
ZAF,1.48E+01,1967
LKA,8.88E+00,1967
THA,1.09E+01,1967
TUR,1.63E+01,1967
GBR,1.12E+01,1967
USA,9.40E+00,1967
ARG,9.04E+00,1968
BRA,1.09E+01,1968
CHL,1.02E+01,1968
CHN,8.21E+00,1968
EGY,1.64E+01,1968
DEU,1.26E+01,1968
HKG,5.10E+00,1968
IND,1.74E+01,1968
IDN,1.53E+01,1968
JPN,6.80E+00,1968
KOR,9.69E+00,1968
MYS,7.59E+00,1968
MEX,1.02E+01,1968
PHL,9.30E+00,1968
RUS,8.48E+00,1968
ZAF,1.45E+01,1968
LKA,8.52E+00,1968
THA,1.06E+01,1968
TUR,1.58E+01,1968
GBR,1.19E+01,1968
USA,9.80E+00,1968
ARG,9.05E+00,1969
BRA,1.06E+01,1969
CHL,9.84E+00,1969
CHN,8.03E+00,1969
EGY,1.61E+01,1969
DEU,1.27E+01,1969
HKG,5.00E+00,1969
IND,1.69E+01,1969
IDN,1.48E+01,1969
JPN,6.80E+00,1969
KOR,9.17E+00,1969
MYS,7.36E+00,1969
MEX,1.00E+01,1969
PHL,9.10E+00,1969
RUS,8.65E+00,1969
ZAF,1.42E+01,1969
LKA,8.18E+00,1969
THA,1.03E+01,1969
TUR,1.54E+01,1969
GBR,1.19E+01,1969
USA,9.50E+00,1969
ARG,9.04E+00,1970
BRA,1.04E+01,1970
CHL,9.52E+00,1970
CHN,7.60E+00,1970
EGY,1.58E+01,1970
DEU,1.25E+01,1970
HKG,5.10E+00,1970
IND,1.64E+01,1970
IDN,1.43E+01,1970
JPN,6.90E+00,1970
KOR,8.00E+00,1970
MYS,7.14E+00,1970
MEX,9.77E+00,1970
PHL,8.92E+00,1970
RUS,8.83E+00,1970
ZAF,1.39E+01,1970
LKA,7.88E+00,1970
THA,9.97E+00,1970
