country,value,year
ARG,2.34E+00,2003
ARG,2.66E+00,1997
ARG,3.04E+00,1988
ARG,3.02E+00,1989
ARG,3.07E+00,1986
ARG,3.06E+00,1987
ARG,3.12E+00,1984
ARG,3.09E+00,1985
ARG,3.05E+00,1968
ARG,3.06E+00,1969
ARG,3.33E+00,1980
ARG,3.27E+00,1981
ARG,3.07E+00,1964
ARG,3.06E+00,1965
ARG,3.05E+00,1966
ARG,3.05E+00,1967
ARG,3.11E+00,1960
ARG,3.10E+00,1961
ARG,3.09E+00,1962
ARG,3.08E+00,1963
ARG,2.72E+00,1996
ARG,2.20E+00,2011
ARG,2.22E+00,2010
ARG,2.19E+00,2012
ARG,2.29E+00,2005
ARG,3.21E+00,1982
ARG,3.16E+00,1983
ARG,2.96E+00,1991
ARG,2.99E+00,1990
ARG,2.88E+00,1993
ARG,2.92E+00,1992
ARG,2.77E+00,1995
ARG,2.83E+00,1994
ARG,3.37E+00,1979
ARG,3.39E+00,1978
ARG,3.39E+00,1977
ARG,3.37E+00,1976
ARG,3.32E+00,1975
ARG,3.26E+00,1974
ARG,3.20E+00,1973
ARG,3.15E+00,1972
ARG,3.10E+00,1971
ARG,3.07E+00,1970
ARG,2.38E+00,2002
ARG,2.54E+00,1999
ARG,2.48E+00,2000
ARG,2.42E+00,2001
ARG,2.27E+00,2006
ARG,2.25E+00,2007
ARG,2.31E+00,2004
ARG,2.60E+00,1998
ARG,2.24E+00,2008
ARG,2.23E+00,2009
BRA,2.20E+00,2003
BRA,2.45E+00,1997
BRA,3.04E+00,1988
BRA,2.92E+00,1989
BRA,3.31E+00,1986
BRA,3.17E+00,1987
BRA,3.59E+00,1984
BRA,3.45E+00,1985
BRA,5.33E+00,1968
BRA,5.17E+00,1969
BRA,4.07E+00,1980
BRA,3.97E+00,1981
BRA,5.95E+00,1964
BRA,5.82E+00,1965
BRA,5.66E+00,1966
BRA,5.49E+00,1967
BRA,6.21E+00,1960
BRA,6.19E+00,1961
BRA,6.14E+00,1962
BRA,6.06E+00,1963
BRA,2.47E+00,1996
BRA,1.82E+00,2011
BRA,1.84E+00,2010
BRA,,2012
BRA,2.07E+00,2005
BRA,3.85E+00,1982
BRA,3.72E+00,1983
BRA,2.72E+00,1991
BRA,2.81E+00,1990
BRA,2.58E+00,1993
BRA,2.64E+00,1992
BRA,2.50E+00,1995
BRA,2.54E+00,1994
BRA,4.17E+00,1979
BRA,4.26E+00,1978
BRA,4.34E+00,1977
BRA,4.42E+00,1976
BRA,4.50E+00,1975
BRA,4.59E+00,1974
BRA,4.68E+00,1973
BRA,4.78E+00,1972
BRA,4.90E+00,1971
BRA,5.02E+00,1970
BRA,2.26E+00,2002
BRA,2.40E+00,1999
BRA,2.36E+00,2000
BRA,2.32E+00,2001
BRA,2.00E+00,2006
BRA,1.94E+00,2007
BRA,2.14E+00,2004
BRA,2.43E+00,1998
BRA,1.90E+00,2008
BRA,1.86E+00,2009
CHL,1.99E+00,2003
CHL,2.25E+00,1997
CHL,2.65E+00,1988
CHL,2.64E+00,1989
CHL,2.66E+00,1986
CHL,2.65E+00,1987
CHL,2.66E+00,1984
CHL,2.66E+00,1985
CHL,4.39E+00,1968
CHL,4.20E+00,1969
CHL,2.68E+00,1980
CHL,2.66E+00,1981
CHL,5.19E+00,1964
CHL,5.00E+00,1965
CHL,4.80E+00,1966
CHL,4.59E+00,1967
CHL,5.58E+00,1960
CHL,5.54E+00,1961
CHL,5.46E+00,1962
CHL,5.34E+00,1963
CHL,2.32E+00,1996
CHL,1.84E+00,2011
CHL,1.86E+00,2010
CHL,,2012
CHL,1.94E+00,2005
CHL,2.65E+00,1982
CHL,2.65E+00,1983
CHL,2.60E+00,1991
CHL,2.62E+00,1990
CHL,2.51E+00,1993
CHL,2.56E+00,1992
CHL,2.39E+00,1995
CHL,2.45E+00,1994
CHL,2.72E+00,1979
CHL,2.79E+00,1978
CHL,2.89E+00,1977
CHL,3.01E+00,1976
CHL,3.16E+00,1975
CHL,3.33E+00,1974
CHL,3.50E+00,1973
CHL,3.68E+00,1972
CHL,3.85E+00,1971
CHL,4.02E+00,1970
CHL,2.01E+00,2002
CHL,2.14E+00,1999
CHL,2.09E+00,2000
CHL,2.05E+00,2001
CHL,1.92E+00,2006
CHL,1.90E+00,2007
CHL,1.96E+00,2004
CHL,2.19E+00,1998
CHL,1.89E+00,2008
CHL,1.87E+00,2009
CHN,1.55E+00,2003
CHN,1.59E+00,1997
CHN,2.75E+00,1988
CHN,2.64E+00,1989
CHN,2.83E+00,1986
CHN,2.81E+00,1987
CHN,2.77E+00,1984
CHN,2.81E+00,1985
CHN,5.87E+00,1968
CHN,5.69E+00,1969
CHN,2.71E+00,1980
CHN,2.67E+00,1981
CHN,6.16E+00,1964
CHN,6.16E+00,1965
CHN,6.11E+00,1966
CHN,6.01E+00,1967
CHN,5.76E+00,1960
CHN,5.89E+00,1961
CHN,6.01E+00,1962
CHN,6.10E+00,1963
CHN,1.66E+00,1996
CHN,1.66E+00,2011
CHN,1.65E+00,2010
CHN,,2012
CHN,1.59E+00,2005
