country,value,year
ARG,9.10E+01,2003
ARG,7.66E+01,1997
ARG,6.07E+01,1988
ARG,5.59E+01,1989
ARG,6.20E+01,1986
ARG,5.89E+01,1987
ARG,5.95E+01,1984
ARG,6.04E+01,1985
ARG,4.32E+01,1968
ARG,4.69E+01,1969
ARG,5.39E+01,1980
ARG,5.83E+01,1981
ARG,4.00E+01,1964
ARG,3.81E+01,1965
ARG,4.18E+01,1966
ARG,4.61E+01,1967
ARG,3.68E+01,1960
ARG,3.68E+01,1961
ARG,3.94E+01,1962
ARG,4.32E+01,1963
ARG,7.42E+01,1996
ARG,1.14E+02,2011
ARG,1.16E+02,2010
ARG,1.11E+02,2012
ARG,1.03E+02,2005
ARG,5.93E+01,1982
ARG,5.78E+01,1983
ARG,6.45E+01,1991
ARG,6.34E+01,1990
ARG,6.42E+01,1993
ARG,6.49E+01,1992
ARG,7.26E+01,1995
ARG,6.93E+01,1994
ARG,5.85E+01,1979
ARG,5.77E+01,1978
ARG,5.36E+01,1977
ARG,5.38E+01,1976
ARG,4.86E+01,1975
ARG,4.76E+01,1974
ARG,4.42E+01,1973
ARG,4.27E+01,1972
ARG,4.27E+01,1971
ARG,4.58E+01,1970
ARG,8.50E+01,2002
ARG,8.65E+01,1999
ARG,8.59E+01,2000
ARG,8.65E+01,2001
ARG,1.04E+02,2006
ARG,1.15E+02,2007
ARG,9.27E+01,2004
ARG,8.22E+01,1998
ARG,1.12E+02,2008
ARG,9.65E+01,2009
BRA,9.42E+01,2003
BRA,6.91E+01,1997
BRA,5.14E+01,1988
BRA,5.35E+01,1989
BRA,4.50E+01,1986
BRA,4.90E+01,1987
BRA,4.29E+01,1984
BRA,4.62E+01,1985
BRA,2.12E+01,1968
BRA,2.19E+01,1969
BRA,3.74E+01,1980
BRA,3.82E+01,1981
BRA,1.76E+01,1964
BRA,1.96E+01,1965
BRA,1.91E+01,1966
BRA,2.06E+01,1967
BRA,15.138,1960
BRA,15.66,1961
BRA,16.2,1962
BRA,1.67E+01,1963
BRA,6.59E+01,1996
BRA,1.29E+02,2011
BRA,1.24E+02,2010
BRA,,2012
BRA,9.94E+01,2005
BRA,4.00E+01,1982
BRA,3.99E+01,1983
BRA,5.36E+01,1991
BRA,5.14E+01,1990
BRA,5.73E+01,1993
BRA,5.67E+01,1992
BRA,6.62E+01,1995
BRA,6.19E+01,1994
BRA,3.30E+01,1979
BRA,3.16E+01,1978
BRA,3.23E+01,1977
BRA,3.09E+01,1976
BRA,2.80E+01,1975
BRA,2.67E+01,1974
BRA,2.53E+01,1973
BRA,2.54E+01,1972
BRA,2.39E+01,1971
BRA,2.34E+01,1970
BRA,8.65E+01,2002
BRA,7.51E+01,1999
BRA,7.68E+01,2000
BRA,8.14E+01,2001
BRA,1.03E+02,2006
BRA,1.11E+02,2007
BRA,9.74E+01,2004
BRA,6.99E+01,1998
BRA,1.17E+02,2008
BRA,1.18E+02,2009
CHL,9.19E+01,2003
CHL,7.87E+01,1997
CHL,5.04E+01,1988
CHL,5.45E+01,1989
CHL,4.45E+01,1986
CHL,4.70E+01,1987
CHL,4.27E+01,1984
CHL,4.26E+01,1985
CHL,3.37E+01,1968
CHL,3.13E+01,1969
CHL,4.02E+01,1980
CHL,4.35E+01,1981
CHL,2.88E+01,1964
CHL,2.81E+01,1965
CHL,3.14E+01,1966
CHL,3.15E+01,1967
CHL,26.48567484,1960
CHL,27.7,1961
CHL,28.97,1962
CHL,2.92E+01,1963
CHL,7.88E+01,1996
CHL,1.16E+02,2011
CHL,1.09E+02,2010
CHL,,2012
CHL,9.96E+01,2005
CHL,4.38E+01,1982
CHL,4.09E+01,1983
CHL,6.00E+01,1991
CHL,5.82E+01,1990
CHL,6.68E+01,1993
CHL,6.27E+01,1992
CHL,7.62E+01,1995
CHL,7.18E+01,1994
CHL,3.96E+01,1979
CHL,3.66E+01,1978
CHL,3.71E+01,1977
CHL,3.44E+01,1976
CHL,3.49E+01,1975
CHL,3.36E+01,1974
CHL,2.87E+01,1973
CHL,3.14E+01,1972
CHL,3.33E+01,1971
CHL,3.30E+01,1970
CHL,9.00E+01,2002
CHL,8.11E+01,1999
CHL,8.33E+01,2000
CHL,8.97E+01,2001
CHL,1.05E+02,2006
CHL,1.04E+02,2007
CHL,9.50E+01,2004
CHL,8.08E+01,1998
CHL,1.06E+02,2008
CHL,1.05E+02,2009
CHN,9.07E+01,2003
CHN,7.24E+01,1997
CHN,4.27E+01,1988
CHN,4.43E+01,1989
CHN,3.93E+01,1986
CHN,4.14E+01,1987
CHN,3.69E+01,1984
CHN,3.73E+01,1985
CHN,1.87E+01,1968
CHN,1.89E+01,1969
CHN,2.74E+01,1980
CHN,2.89E+01,1981
CHN,1.62E+01,1964
CHN,1.75E+01,1965
CHN,1.86E+01,1966
CHN,1.88E+01,1967
CHN,12.75955696,1960
CHN,13.47,1961
CHN,14.22,1962
CHN,1.50E+01,1963
CHN,7.01E+01,1996
CHN,1.24E+02,2011
CHN,1.20E+02,2010
CHN,,2012
CHN,1.00E+02,2005
CHN,3.15E+01,1982
CHN,3.37E+01,1983
CHN,4.99E+01,1991
CHN,4.85E+01,1990
CHN,5.68E+01,1993
CHN,5.26E+01,1992
CHN,6.53E+01,1995
CHN,6.02E+01,1994
CHN,2.73E+01,1979
CHN,2.58E+01,1978
CHN,2.34E+01,1977
CHN,2.31E+01,1976
CHN,2.33E+01,1975
CHN,2.27E+01,1974
CHN,2.26E+01,1973
CHN,2.08E+01,1972
CHN,2.10E+01,1971
CHN,1.98E+01,1970
CHN,8.88E+01,2002
CHN,7.98E+01,1999
CHN,8.35E+01,2000
CHN,8.49E+01,2001
CHN,1.03E+02,2006
CHN,1.08E+02,2007
CHN,9.65E+01,2004
CHN,7.67E+01,1998
CHN,1.14E+02,2008
CHN,1.17E+02,2009
EGY,9.19E+01,2003
EGY,7.58E+01,1997
EGY,4.31E+01,1988
EGY,4.42E+01,1989
EGY,4.15E+01,1986
EGY,4.37E+01,1987
EGY,3.56E+01,1984
EGY,3.81E+01,1985
EGY,2.43E+01,1968
EGY,2.54E+01,1969
EGY,3.18E+01,1980
EGY,3.20E+01,1981
EGY,2.14E+01,1964
EGY,2.16E+01,1965
EGY,2.23E+01,1966
EGY,2.18E+01,1967
EGY,14.63756534,1960
EGY,17.39,1961
EGY,20.66,1962
EGY,2.14E+01,1963
EGY,7.32E+01,1996
EGY,1.14E+02,2011
EGY,1.10E+02,2010
EGY,,2012
