country,value,year
ARG,7.82E+01,2003
ARG,7.68E+01,1997
ARG,7.48E+01,1988
ARG,7.50E+01,1989
ARG,7.44E+01,1986
ARG,7.46E+01,1987
ARG,7.40E+01,1984
ARG,7.42E+01,1985
ARG,6.95E+01,1968
ARG,6.97E+01,1969
ARG,7.30E+01,1980
ARG,7.33E+01,1981
ARG,6.88E+01,1964
ARG,6.90E+01,1965
ARG,6.91E+01,1966
ARG,6.93E+01,1967
ARG,6.82E+01,1960
ARG,6.84E+01,1961
ARG,6.85E+01,1962
ARG,6.87E+01,1963
ARG,7.66E+01,1996
ARG,7.96E+01,2011
ARG,7.95E+01,2010
ARG,7.98E+01,2012
ARG,7.86E+01,2005
ARG,7.36E+01,1982
ARG,7.38E+01,1983
ARG,7.54E+01,1991
ARG,7.52E+01,1990
ARG,7.59E+01,1993
ARG,7.57E+01,1992
ARG,7.64E+01,1995
ARG,7.61E+01,1994
ARG,7.27E+01,1979
ARG,7.24E+01,1978
ARG,7.21E+01,1977
ARG,7.18E+01,1976
ARG,7.15E+01,1975
ARG,7.12E+01,1974
ARG,7.09E+01,1973
ARG,7.06E+01,1972
ARG,7.03E+01,1971
ARG,7.00E+01,1970
ARG,7.80E+01,2002
ARG,7.73E+01,1999
ARG,7.75E+01,2000
ARG,7.78E+01,2001
ARG,7.88E+01,2006
ARG,7.90E+01,2007
ARG,7.84E+01,2004
ARG,7.71E+01,1998
ARG,7.91E+01,2008
ARG,7.93E+01,2009
BRA,7.50E+01,2003
BRA,7.32E+01,1997
BRA,6.95E+01,1988
BRA,6.99E+01,1989
BRA,6.86E+01,1986
BRA,6.90E+01,1987
BRA,6.76E+01,1984
BRA,6.81E+01,1985
BRA,6.02E+01,1968
BRA,6.06E+01,1969
BRA,6.55E+01,1980
BRA,6.61E+01,1981
BRA,5.85E+01,1964
BRA,5.89E+01,1965
BRA,5.93E+01,1966
BRA,5.98E+01,1967
BRA,5.66E+01,1960
BRA,5.71E+01,1961
BRA,5.76E+01,1962
BRA,5.80E+01,1963
BRA,7.28E+01,1996
BRA,7.70E+01,2011
BRA,7.68E+01,2010
BRA,,2012
BRA,7.55E+01,2005
BRA,6.66E+01,1982
BRA,6.71E+01,1983
BRA,7.08E+01,1991
BRA,7.04E+01,1990
BRA,7.17E+01,1993
BRA,7.12E+01,1992
BRA,7.24E+01,1995
BRA,7.21E+01,1994
BRA,6.50E+01,1979
BRA,6.45E+01,1978
BRA,6.41E+01,1977
BRA,6.36E+01,1976
BRA,6.32E+01,1975
BRA,6.28E+01,1974
BRA,6.23E+01,1973
BRA,6.19E+01,1972
BRA,6.15E+01,1971
BRA,6.11E+01,1970
BRA,7.48E+01,2002
BRA,7.38E+01,1999
BRA,7.42E+01,2000
BRA,7.45E+01,2001
BRA,7.58E+01,2006
BRA,7.60E+01,2007
BRA,7.53E+01,2004
BRA,7.35E+01,1998
BRA,7.63E+01,2008
BRA,7.65E+01,2009
CHL,8.08E+01,2003
CHL,7.87E+01,1997
CHL,7.61E+01,1988
CHL,7.64E+01,1989
CHL,7.55E+01,1986
CHL,7.58E+01,1987
CHL,7.48E+01,1984
CHL,7.52E+01,1985
CHL,6.40E+01,1968
CHL,6.46E+01,1969
CHL,7.25E+01,1980
CHL,7.32E+01,1981
CHL,6.17E+01,1964
CHL,6.23E+01,1965
CHL,6.28E+01,1966
CHL,6.34E+01,1967
CHL,5.98E+01,1960
CHL,6.02E+01,1961
CHL,6.07E+01,1962
CHL,6.12E+01,1963
CHL,7.83E+01,1996
CHL,8.23E+01,2011
CHL,8.21E+01,2010
CHL,,2012
CHL,8.12E+01,2005
CHL,7.38E+01,1982
CHL,7.43E+01,1983
CHL,7.69E+01,1991
CHL,7.66E+01,1990
CHL,7.75E+01,1993
CHL,7.72E+01,1992
CHL,7.80E+01,1995
CHL,7.77E+01,1994
CHL,7.18E+01,1979
CHL,7.10E+01,1978
CHL,7.02E+01,1977
CHL,6.94E+01,1976
CHL,6.86E+01,1975
CHL,6.79E+01,1974
CHL,6.72E+01,1973
CHL,6.65E+01,1972
CHL,6.58E+01,1971
CHL,6.52E+01,1970
CHL,8.05E+01,2002
CHL,7.94E+01,1999
CHL,7.98E+01,2000
CHL,8.02E+01,2001
CHL,8.14E+01,2006
CHL,8.15E+01,2007
CHL,8.11E+01,2004
CHL,7.91E+01,1998
CHL,8.17E+01,2008
CHL,8.19E+01,2009
CHN,7.48E+01,2003
CHN,7.25E+01,1997
CHN,7.06E+01,1988
CHN,7.09E+01,1989
CHN,7.02E+01,1986
CHN,7.04E+01,1987
CHN,6.97E+01,1984
CHN,6.99E+01,1985
CHN,6.00E+01,1968
CHN,6.20E+01,1969
CHN,6.86E+01,1980
CHN,6.89E+01,1981
CHN,5.02E+01,1964
CHN,5.25E+01,1965
CHN,5.51E+01,1966
CHN,5.76E+01,1967
CHN,4.51E+01,1960
CHN,4.56E+01,1961
CHN,4.66E+01,1962
CHN,4.82E+01,1963
CHN,7.22E+01,1996
CHN,7.64E+01,2011
CHN,7.62E+01,2010
CHN,,2012
CHN,7.53E+01,2005
CHN,6.91E+01,1982
CHN,6.94E+01,1983
CHN,7.13E+01,1991
CHN,7.11E+01,1990
CHN,7.16E+01,1993
CHN,7.15E+01,1992
CHN,7.20E+01,1995
CHN,7.18E+01,1994
CHN,6.83E+01,1979
CHN,6.81E+01,1978
CHN,6.79E+01,1977
CHN,6.77E+01,1976
CHN,6.74E+01,1975
CHN,6.70E+01,1974
CHN,6.64E+01,1973
CHN,6.57E+01,1972
CHN,6.48E+01,1971
CHN,6.36E+01,1970
CHN,7.44E+01,2002
CHN,7.32E+01,1999
CHN,7.36E+01,2000
CHN,7.40E+01,2001
CHN,7.55E+01,2006
CHN,7.57E+01,2007
CHN,7.51E+01,2004
CHN,7.28E+01,1998
CHN,7.59E+01,2008
CHN,7.60E+01,2009
EGY,7.15E+01,2003
EGY,7.01E+01,1997
EGY,6.61E+01,1988
EGY,6.65E+01,1989
EGY,6.49E+01,1986
EGY,6.55E+01,1987
EGY,6.34E+01,1984
EGY,6.42E+01,1985
EGY,5.33E+01,1968
EGY,5.36E+01,1969
EGY,6.05E+01,1980
EGY,6.13E+01,1981
EGY,5.16E+01,1964
EGY,5.21E+01,1965
EGY,5.26E+01,1966
EGY,5.30E+01,1967
EGY,4.93E+01,1960
EGY,4.99E+01,1961
EGY,5.05E+01,1962
EGY,5.11E+01,1963
EGY,6.97E+01,1996
EGY,7.31E+01,2011
EGY,7.29E+01,2010
EGY,,2012
EGY,7.18E+01,2005
EGY,6.20E+01,1982
EGY,6.27E+01,1983
EGY,6.74E+01,1991
EGY,6.70E+01,1990
EGY,6.83E+01,1993
EGY,6.78E+01,1992
EGY,6.92E+01,1995
EGY,6.87E+01,1994
EGY,5.98E+01,1979
EGY,5.91E+01,1978
EGY,5.83E+01,1977
EGY,5.75E+01,1976
EGY,5.67E+01,1975
EGY,5.59E+01,1974
EGY,5.53E+01,1973
EGY,5.47E+01,1972
EGY,5.43E+01,1971
EGY,5.39E+01,1970
EGY,7.14E+01,2002
EGY,7.08E+01,1999
EGY,7.11E+01,2000
