country,value,year
ARG,8.53E+01,2003
ARG,8.96E+01,1997
ARG,7.47E+01,1988
ARG,7.67E+01,1989
ARG,8.32E+01,1986
ARG,7.73E+01,1987
ARG,7.46E+01,1984
ARG,8.02E+01,1985
ARG,7.25E+01,1968
ARG,7.88E+01,1969
ARG,7.98E+01,1980
ARG,8.17E+01,1981
ARG,5.98E+01,1964
ARG,6.02E+01,1965
ARG,6.79E+01,1966
ARG,7.16E+01,1967
ARG,6.15E+01,1960
ARG,6.15E+01,1961
ARG,6.57E+01,1962
ARG,7.09E+01,1963
ARG,8.85E+01,1996
ARG,9.85E+01,2011
ARG,1.00E+02,2010
ARG,9.68E+01,2012
ARG,1.02E+02,2005
ARG,7.44E+01,1982
ARG,7.24E+01,1983
ARG,8.24E+01,1991
ARG,8.43E+01,1990
ARG,8.56E+01,1993
ARG,8.11E+01,1992
ARG,8.99E+01,1995
ARG,8.94E+01,1994
ARG,8.34E+01,1979
ARG,8.59E+01,1978
ARG,8.04E+01,1977
ARG,7.94E+01,1976
ARG,7.19E+01,1975
ARG,6.57E+01,1974
ARG,6.51E+01,1973
ARG,6.67E+01,1972
ARG,6.25E+01,1971
ARG,7.30E+01,1970
ARG,8.29E+01,2002
ARG,9.49E+01,1999
ARG,9.39E+01,2000
ARG,8.73E+01,2001
ARG,1.04E+02,2006
ARG,1.07E+02,2007
ARG,9.37E+01,2004
ARG,8.66E+01,1998
ARG,1.08E+02,2008
ARG,1.14E+02,2009
BRA,8.96E+01,2003
BRA,6.70E+01,1997
BRA,4.28E+01,1988
BRA,4.42E+01,1989
BRA,3.77E+01,1986
BRA,4.04E+01,1987
BRA,3.50E+01,1984
BRA,3.61E+01,1985
BRA,1.79E+01,1968
BRA,1.88E+01,1969
BRA,3.19E+01,1980
BRA,3.29E+01,1981
BRA,1.51E+01,1964
BRA,1.60E+01,1965
BRA,1.61E+01,1966
BRA,1.64E+01,1967
BRA,13.32646552,1960
BRA,13.62,1961
BRA,13.92,1962
BRA,1.41E+01,1963
BRA,6.65E+01,1996
BRA,1.19E+02,2011
BRA,1.17E+02,2010
BRA,,2012
BRA,1.01E+02,2005
BRA,3.33E+01,1982
BRA,3.44E+01,1983
BRA,4.90E+01,1991
BRA,4.49E+01,1990
BRA,5.34E+01,1993
BRA,5.16E+01,1992
BRA,6.22E+01,1995
BRA,5.65E+01,1994
BRA,2.87E+01,1979
BRA,2.70E+01,1978
BRA,2.56E+01,1977
BRA,2.54E+01,1976
BRA,2.34E+01,1975
BRA,2.18E+01,1974
BRA,2.19E+01,1973
BRA,2.09E+01,1972
BRA,1.92E+01,1971
BRA,1.93E+01,1970
BRA,8.57E+01,2002
BRA,7.41E+01,1999
BRA,7.76E+01,2000
BRA,8.04E+01,2001
BRA,1.03E+02,2006
BRA,1.08E+02,2007
BRA,9.63E+01,2004
BRA,6.84E+01,1998
BRA,1.12E+02,2008
BRA,1.14E+02,2009
CHL,8.79E+01,2003
CHL,7.77E+01,1997
CHL,4.68E+01,1988
CHL,5.08E+01,1989
CHL,4.22E+01,1986
CHL,4.39E+01,1987
CHL,4.07E+01,1984
CHL,4.03E+01,1985
CHL,3.45E+01,1968
CHL,3.54E+01,1969
CHL,4.03E+01,1980
CHL,4.48E+01,1981
CHL,2.60E+01,1964
CHL,2.85E+01,1965
CHL,3.05E+01,1966
CHL,3.09E+01,1967
CHL,23.69927979,1960
CHL,25.07,1961
CHL,26.52,1962
CHL,2.80E+01,1963
CHL,7.42E+01,1996
CHL,1.13E+02,2011
CHL,1.09E+02,2010
CHL,,2012
CHL,9.81E+01,2005
CHL,4.40E+01,1982
CHL,4.23E+01,1983
CHL,5.62E+01,1991
CHL,5.56E+01,1990
CHL,6.38E+01,1993
CHL,5.80E+01,1992
CHL,7.24E+01,1995
CHL,6.82E+01,1994
CHL,3.75E+01,1979
CHL,3.57E+01,1978
CHL,3.58E+01,1977
CHL,3.75E+01,1976
CHL,3.95E+01,1975
CHL,3.69E+01,1974
CHL,2.65E+01,1973
CHL,2.67E+01,1972
CHL,3.20E+01,1971
CHL,3.70E+01,1970
CHL,8.75E+01,2002
CHL,8.06E+01,1999
CHL,8.32E+01,2000
CHL,8.85E+01,2001
CHL,1.08E+02,2006
CHL,1.09E+02,2007
CHL,9.42E+01,2004
CHL,8.03E+01,1998
CHL,1.13E+02,2008
CHL,1.08E+02,2009
CHN,9.29E+01,2003
CHN,7.08E+01,1997
CHN,3.52E+01,1988
CHN,3.71E+01,1989
CHN,2.89E+01,1986
CHN,3.15E+01,1987
CHN,2.49E+01,1984
CHN,2.73E+01,1985
CHN,1.00E+01,1968
CHN,9.92E+00,1969
CHN,1.86E+01,1980
CHN,1.93E+01,1981
CHN,8.05E+00,1964
CHN,8.96E+00,1965
CHN,9.61E+00,1966
CHN,1.00E+01,1967
CHN,3.834130879,1960
CHN,4.33,1961
CHN,4.89,1962
CHN,6.64E+00,1963
CHN,6.85E+01,1996
CHN,1.22E+02,2011
CHN,1.19E+02,2010
CHN,,2012
CHN,1.00E+02,2005
CHN,2.06E+01,1982
CHN,2.15E+01,1983
CHN,4.42E+01,1991
CHN,4.01E+01,1990
CHN,5.30E+01,1993
CHN,4.80E+01,1992
CHN,6.50E+01,1995
CHN,5.93E+01,1994
CHN,1.66E+01,1979
CHN,1.42E+01,1978
CHN,1.31E+01,1977
CHN,1.29E+01,1976
CHN,1.29E+01,1975
CHN,1.25E+01,1974
CHN,1.24E+01,1973
CHN,1.22E+01,1972
CHN,1.12E+01,1971
CHN,9.94E+00,1970
CHN,8.80E+01,2002
CHN,7.93E+01,1999
