country,value,year
ARG,2.06E+01,2003
ARG,5.63E+00,1997
ARG,0.00E+00,1988
ARG,7.15E-03,1989
ARG,0.00E+00,1986
ARG,0.00E+00,1987
ARG,0.00E+00,1984
ARG,0.00E+00,1985
ARG,0.00E+00,1968
ARG,0.00E+00,1969
ARG,0.00E+00,1980
ARG,0.00E+00,1981
ARG,0.00E+00,1964
ARG,0.00E+00,1965
ARG,0.00E+00,1966
ARG,0.00E+00,1967
ARG,0.00E+00,1960
ARG,0.00E+00,1961
ARG,0.00E+00,1962
ARG,0.00E+00,1963
ARG,1.89E+00,1996
ARG,1.35E+02,2011
ARG,1.33E+02,2010
ARG,1.43E+02,2012
ARG,5.73E+01,2005
ARG,0.00E+00,1982
ARG,0.00E+00,1983
ARG,7.55E-02,1991
ARG,3.68E-02,1990
ARG,3.30E-01,1993
ARG,1.39E-01,1992
ARG,1.16E+00,1995
ARG,7.01E-01,1994
ARG,0.00E+00,1979
ARG,0.00E+00,1978
ARG,0.00E+00,1977
ARG,0.00E+00,1976
ARG,0.00E+00,1975
ARG,0.00E+00,1974
ARG,0.00E+00,1973
ARG,0.00E+00,1972
ARG,0.00E+00,1971
ARG,0.00E+00,1970
ARG,1.74E+01,2002
ARG,1.05E+01,1999
ARG,1.76E+01,2000
ARG,1.81E+01,2001
ARG,8.07E+01,2006
ARG,1.03E+02,2007
ARG,3.52E+01,2004
ARG,7.39E+00,1998
ARG,1.17E+02,2008
ARG,1.31E+02,2009
BRA,2.55E+01,2003
BRA,2.73E+00,1997
BRA,0.00E+00,1988
BRA,0.00E+00,1989
BRA,0.00E+00,1986
BRA,0.00E+00,1987
BRA,0.00E+00,1984
BRA,0.00E+00,1985
BRA,0.00E+00,1968
BRA,0.00E+00,1969
BRA,0.00E+00,1980
BRA,0.00E+00,1981
BRA,0.00E+00,1964
BRA,0.00E+00,1965
BRA,0.00E+00,1966
BRA,0.00E+00,1967
BRA,0.00E+00,1960
BRA,0.00E+00,1961
BRA,0.00E+00,1962
BRA,0.00E+00,1963
BRA,1.52E+00,1996
BRA,1.19E+02,2011
BRA,1.01E+02,2010
BRA,1.25E+02,2012
BRA,4.64E+01,2005
BRA,0.00E+00,1982
BRA,0.00E+00,1983
BRA,4.40E-03,1991
BRA,4.46E-04,1990
BRA,1.16E-01,1993
BRA,2.07E-02,1992
BRA,7.94E-01,1995
BRA,3.60E-01,1994
BRA,0.00E+00,1979
BRA,0.00E+00,1978
BRA,0.00E+00,1977
BRA,0.00E+00,1976
BRA,0.00E+00,1975
BRA,0.00E+00,1974
BRA,0.00E+00,1973
BRA,0.00E+00,1972
BRA,0.00E+00,1971
BRA,0.00E+00,1970
BRA,1.95E+01,2002
BRA,8.74E+00,1999
BRA,1.33E+01,2000
BRA,1.63E+01,2001
BRA,5.32E+01,2006
BRA,6.37E+01,2007
BRA,3.57E+01,2004
BRA,4.35E+00,1998
BRA,7.86E+01,2008
BRA,8.77E+01,2009
CHL,4.55E+01,2003
CHL,2.76E+00,1997
CHL,0.00E+00,1988
CHL,3.77E-02,1989
CHL,0.00E+00,1986
CHL,0.00E+00,1987
CHL,0.00E+00,1984
CHL,0.00E+00,1985
CHL,0.00E+00,1968
CHL,0.00E+00,1969
CHL,0.00E+00,1980
CHL,0.00E+00,1981
CHL,0.00E+00,1964
CHL,0.00E+00,1965
CHL,0.00E+00,1966
CHL,0.00E+00,1967
CHL,0.00E+00,1960
CHL,0.00E+00,1961
CHL,0.00E+00,1962
CHL,0.00E+00,1963
CHL,2.18E+00,1996
CHL,1.30E+02,2011
CHL,1.16E+02,2010
CHL,1.38E+02,2012
CHL,6.48E+01,2005
CHL,0.00E+00,1982
CHL,0.00E+00,1983
CHL,2.69E-01,1991
CHL,1.06E-01,1990
CHL,6.12E-01,1993
CHL,4.71E-01,1992
CHL,1.37E+00,1995
CHL,8.16E-01,1994
CHL,0.00E+00,1979
CHL,0.00E+00,1978
CHL,0.00E+00,1977
CHL,0.00E+00,1976
CHL,0.00E+00,1975
CHL,0.00E+00,1974
CHL,0.00E+00,1973
CHL,0.00E+00,1972
CHL,0.00E+00,1971
CHL,0.00E+00,1970
CHL,3.96E+01,2002
CHL,1.48E+01,1999
CHL,2.21E+01,2000
CHL,3.27E+01,2001
CHL,7.56E+01,2006
CHL,8.39E+01,2007
CHL,5.74E+01,2004
CHL,6.41E+00,1998
CHL,8.81E+01,2008
CHL,9.70E+01,2009
CHN,2.09E+01,2003
CHN,1.07E+00,1997
CHN,2.91E-04,1988
CHN,8.69E-04,1989
CHN,0.00E+00,1986
CHN,6.41E-05,1987
CHN,0.00E+00,1984
CHN,0.00E+00,1985
CHN,0.00E+00,1968
CHN,0.00E+00,1969
CHN,0.00E+00,1980
CHN,0.00E+00,1981
CHN,0.00E+00,1964
CHN,0.00E+00,1965
CHN,0.00E+00,1966
CHN,0.00E+00,1967
CHN,0.00E+00,1960
