country,value,year
ARG,7.84E+06,2003
ARG,2.01E+06,1997
ARG,0.00E+00,1988
ARG,2.30E+03,1989
ARG,0.00E+00,1986
ARG,0.00E+00,1987
ARG,0.00E+00,1984
ARG,0.00E+00,1985
ARG,0.00E+00,1968
ARG,0.00E+00,1969
ARG,0.00E+00,1980
ARG,0.00E+00,1981
ARG,0.00E+00,1964
ARG,0.00E+00,1965
ARG,0.00E+00,1966
ARG,0.00E+00,1967
ARG,0.00E+00,1960
ARG,0.00E+00,1961
ARG,0.00E+00,1962
ARG,0.00E+00,1963
ARG,6.67E+05,1996
ARG,5.50E+07,2011
ARG,5.37E+07,2010
ARG,5.86E+07,2012
ARG,2.22E+07,2005
ARG,0.00E+00,1982
ARG,0.00E+00,1983
ARG,2.50E+04,1991
ARG,1.20E+04,1990
ARG,1.12E+05,1993
ARG,4.66E+04,1992
ARG,4.05E+05,1995
ARG,2.41E+05,1994
ARG,0.00E+00,1979
ARG,0.00E+00,1978
ARG,0.00E+00,1977
ARG,0.00E+00,1976
ARG,0.00E+00,1975
ARG,0.00E+00,1974
ARG,0.00E+00,1973
ARG,0.00E+00,1972
ARG,0.00E+00,1971
ARG,0.00E+00,1970
ARG,6.57E+06,2002
ARG,3.85E+06,1999
ARG,6.49E+06,2000
ARG,6.74E+06,2001
ARG,3.15E+07,2006
ARG,4.04E+07,2007
ARG,1.35E+07,2004
ARG,2.67E+06,1998
ARG,4.65E+07,2008
ARG,5.25E+07,2009
BRA,4.64E+07,2003
BRA,4.55E+06,1997
BRA,0.00E+00,1988
BRA,0.00E+00,1989
BRA,0.00E+00,1986
BRA,0.00E+00,1987
BRA,0.00E+00,1984
BRA,0.00E+00,1985
BRA,0.00E+00,1968
BRA,0.00E+00,1969
BRA,0.00E+00,1980
BRA,0.00E+00,1981
BRA,0.00E+00,1964
BRA,0.00E+00,1965
BRA,0.00E+00,1966
BRA,0.00E+00,1967
BRA,0.00E+00,1960
BRA,0.00E+00,1961
BRA,0.00E+00,1962
BRA,0.00E+00,1963
BRA,2.50E+06,1996
BRA,2.34E+08,2011
BRA,1.97E+08,2010
BRA,2.48E+08,2012
BRA,8.62E+07,2005
BRA,0.00E+00,1982
BRA,0.00E+00,1983
BRA,6.70E+03,1991
BRA,6.67E+02,1990
BRA,1.82E+05,1993
BRA,3.20E+04,1992
BRA,1.29E+06,1995
BRA,5.74E+05,1994
BRA,0.00E+00,1979
BRA,0.00E+00,1978
BRA,0.00E+00,1977
BRA,0.00E+00,1976
BRA,0.00E+00,1975
BRA,0.00E+00,1974
BRA,0.00E+00,1973
BRA,0.00E+00,1972
BRA,0.00E+00,1971
BRA,0.00E+00,1970
BRA,3.49E+07,2002
BRA,1.50E+07,1999
BRA,2.32E+07,2000
BRA,2.87E+07,2001
BRA,9.99E+07,2006
BRA,1.21E+08,2007
BRA,6.56E+07,2004
BRA,7.37E+06,1998
BRA,1.51E+08,2008
BRA,1.69E+08,2009
CHL,7.27E+06,2003
CHL,4.10E+05,1997
CHL,0.00E+00,1988
CHL,4.89E+03,1989
CHL,0.00E+00,1986
CHL,0.00E+00,1987
CHL,0.00E+00,1984
CHL,0.00E+00,1985
CHL,0.00E+00,1968
CHL,0.00E+00,1969
CHL,0.00E+00,1980
CHL,0.00E+00,1981
CHL,0.00E+00,1964
CHL,0.00E+00,1965
CHL,0.00E+00,1966
CHL,0.00E+00,1967
CHL,0.00E+00,1960
CHL,0.00E+00,1961
CHL,0.00E+00,1962
CHL,0.00E+00,1963
CHL,3.19E+05,1996
CHL,2.24E+07,2011
CHL,1.99E+07,2010
CHL,2.41E+07,2012
CHL,1.06E+07,2005
CHL,0.00E+00,1982
CHL,0.00E+00,1983
CHL,3.61E+04,1991
CHL,1.39E+04,1990
