country,value,year
ARG,3.80E+07,2003
ARG,3.57E+07,1997
ARG,3.17E+07,1988
ARG,3.22E+07,1989
ARG,3.08E+07,1986
ARG,3.13E+07,1987
ARG,2.99E+07,1984
ARG,3.03E+07,1985
ARG,2.33E+07,1968
ARG,2.36E+07,1969
ARG,2.81E+07,1980
ARG,2.86E+07,1981
ARG,2.20E+07,1964
ARG,2.23E+07,1965
ARG,2.26E+07,1966
ARG,2.29E+07,1967
ARG,2.06E+07,1960
ARG,2.10E+07,1961
ARG,2.13E+07,1962
ARG,2.16E+07,1963
ARG,3.53E+07,1996
ARG,4.07E+07,2011
ARG,4.04E+07,2010
ARG,4.11E+07,2012
ARG,3.86E+07,2005
ARG,2.90E+07,1982
ARG,2.94E+07,1983
ARG,3.31E+07,1991
ARG,3.26E+07,1990
ARG,3.40E+07,1993
ARG,3.35E+07,1992
ARG,3.48E+07,1995
ARG,3.44E+07,1994
ARG,2.77E+07,1979
ARG,2.73E+07,1978
ARG,2.69E+07,1977
ARG,2.65E+07,1976
ARG,2.61E+07,1975
ARG,2.56E+07,1974
ARG,2.52E+07,1973
ARG,2.48E+07,1972
ARG,2.44E+07,1971
ARG,2.40E+07,1970
ARG,3.76E+07,2002
ARG,3.65E+07,1999
ARG,3.69E+07,2000
ARG,3.73E+07,2001
ARG,3.90E+07,2006
ARG,3.93E+07,2007
ARG,3.83E+07,2004
ARG,3.61E+07,1998
ARG,3.97E+07,2008
ARG,4.00E+07,2009
BRA,1.82E+08,2003
BRA,1.67E+08,1997
BRA,1.44E+08,1988
BRA,1.47E+08,1989
BRA,1.39E+08,1986
BRA,1.42E+08,1987
BRA,1.33E+08,1984
BRA,1.36E+08,1985
BRA,9.14E+07,1968
BRA,9.37E+07,1969
BRA,1.22E+08,1980
BRA,1.25E+08,1981
BRA,8.20E+07,1964
BRA,8.44E+07,1965
BRA,8.67E+07,1966
BRA,8.91E+07,1967
BRA,7.28E+07,1960
BRA,7.50E+07,1961
BRA,7.73E+07,1962
BRA,7.96E+07,1963
BRA,1.64E+08,1996
BRA,1.97E+08,2011
BRA,1.95E+08,2010
BRA,1.99E+08,2012
BRA,1.86E+08,2005
BRA,1.28E+08,1982
BRA,1.30E+08,1983
BRA,1.52E+08,1991
BRA,1.50E+08,1990
BRA,1.57E+08,1993
BRA,1.55E+08,1992
BRA,1.62E+08,1995
BRA,1.59E+08,1994
BRA,1.19E+08,1979
BRA,1.16E+08,1978
BRA,1.13E+08,1977
BRA,1.11E+08,1976
BRA,1.08E+08,1975
BRA,1.06E+08,1974
BRA,1.03E+08,1973
BRA,1.01E+08,1972
BRA,9.84E+07,1971
BRA,9.61E+07,1970
BRA,1.79E+08,2002
BRA,1.72E+08,1999
BRA,1.75E+08,2000
BRA,1.77E+08,2001
BRA,1.88E+08,2006
BRA,1.90E+08,2007
BRA,1.84E+08,2004
BRA,1.69E+08,1998
BRA,1.92E+08,2008
BRA,1.93E+08,2009
CHL,1.60E+07,2003
CHL,1.49E+07,1997
CHL,1.28E+07,1988
CHL,1.30E+07,1989
CHL,1.23E+07,1986
CHL,1.25E+07,1987
CHL,1.19E+07,1984
CHL,1.21E+07,1985
CHL,9.22E+06,1968
CHL,9.40E+06,1969
CHL,1.12E+07,1980
CHL,1.14E+07,1981
CHL,8.46E+06,1964
CHL,8.65E+06,1965
CHL,8.85E+06,1966
CHL,9.04E+06,1967
CHL,7.65E+06,1960
CHL,7.85E+06,1961
CHL,8.05E+06,1962
CHL,8.25E+06,1963
CHL,1.47E+07,1996
CHL,1.73E+07,2011
CHL,1.72E+07,2010
CHL,1.75E+07,2012
CHL,1.63E+07,2005
CHL,1.15E+07,1982
CHL,1.17E+07,1983
CHL,1.35E+07,1991
CHL,1.32E+07,1990
CHL,1.40E+07,1993
CHL,1.37E+07,1992
CHL,1.44E+07,1995
CHL,1.42E+07,1994
CHL,1.10E+07,1979
CHL,1.09E+07,1978
CHL,1.07E+07,1977
CHL,1.06E+07,1976
CHL,1.04E+07,1975
CHL,1.03E+07,1974
CHL,1.01E+07,1973
CHL,9.93E+06,1972
CHL,9.76E+06,1971
CHL,9.58E+06,1970
