country,value,year
ARG,2.70E+01,2003
ARG,2.86E+01,1997
ARG,3.10E+01,1988
ARG,3.09E+01,1989
ARG,3.10E+01,1986
ARG,3.10E+01,1987
ARG,3.09E+01,1984
ARG,3.10E+01,1985
ARG,2.97E+01,1968
ARG,2.95E+01,1969
ARG,3.05E+01,1980
ARG,3.07E+01,1981
ARG,3.03E+01,1964
ARG,3.02E+01,1965
ARG,3.00E+01,1966
ARG,2.98E+01,1967
ARG,3.08E+01,1960
ARG,3.07E+01,1961
ARG,3.06E+01,1962
ARG,3.05E+01,1963
ARG,2.89E+01,1996
ARG,2.46E+01,2011
ARG,2.49E+01,2010
ARG,2.44E+01,2012
ARG,2.63E+01,2005
ARG,3.08E+01,1982
ARG,3.09E+01,1983
ARG,3.04E+01,1991
ARG,3.07E+01,1990
ARG,2.98E+01,1993
ARG,3.01E+01,1992
ARG,2.91E+01,1995
ARG,2.94E+01,1994
ARG,3.02E+01,1979
ARG,3.00E+01,1978
ARG,2.97E+01,1977
ARG,2.94E+01,1976
ARG,2.92E+01,1975
ARG,2.91E+01,1974
ARG,2.91E+01,1973
ARG,2.91E+01,1972
ARG,2.92E+01,1971
ARG,2.93E+01,1970
ARG,2.73E+01,2002
ARG,2.82E+01,1999
ARG,2.79E+01,2000
ARG,2.76E+01,2001
ARG,2.60E+01,2006
ARG,2.57E+01,2007
ARG,2.66E+01,2004
ARG,2.84E+01,1998
ARG,2.54E+01,2008
ARG,2.51E+01,2009
BRA,2.83E+01,2003
BRA,3.13E+01,1997
BRA,3.61E+01,1988
BRA,3.57E+01,1989
BRA,3.67E+01,1986
BRA,3.64E+01,1987
BRA,3.72E+01,1984
BRA,3.70E+01,1985
BRA,4.30E+01,1968
BRA,4.27E+01,1969
BRA,3.80E+01,1980
BRA,3.78E+01,1981
BRA,4.37E+01,1964
BRA,4.37E+01,1965
BRA,4.35E+01,1966
BRA,4.33E+01,1967
BRA,4.33E+01,1960
BRA,4.34E+01,1961
BRA,4.36E+01,1962
BRA,4.37E+01,1963
BRA,3.19E+01,1996
BRA,2.50E+01,2011
BRA,2.55E+01,2010
BRA,2.46E+01,2012
BRA,2.76E+01,2005
BRA,3.76E+01,1982
BRA,3.74E+01,1983
BRA,3.48E+01,1991
BRA,3.53E+01,1990
BRA,3.37E+01,1993
BRA,3.43E+01,1992
BRA,3.25E+01,1995
BRA,3.31E+01,1994
BRA,3.84E+01,1979
BRA,3.88E+01,1978
BRA,3.93E+01,1977
BRA,3.98E+01,1976
BRA,4.03E+01,1975
BRA,4.07E+01,1974
BRA,4.12E+01,1973
BRA,4.16E+01,1972
BRA,4.20E+01,1971
BRA,4.23E+01,1970
BRA,2.87E+01,2002
BRA,3.01E+01,1999
BRA,2.96E+01,2000
BRA,2.91E+01,2001
BRA,2.72E+01,2006
BRA,2.68E+01,2007
BRA,2.80E+01,2004
BRA,3.07E+01,1998
BRA,2.64E+01,2008
BRA,2.59E+01,2009
CHL,2.61E+01,2003
CHL,2.91E+01,1997
CHL,3.02E+01,1988
CHL,3.01E+01,1989
CHL,3.07E+01,1986
CHL,3.04E+01,1987
CHL,3.12E+01,1984
CHL,3.09E+01,1985
CHL,4.03E+01,1968
CHL,4.00E+01,1969
CHL,3.31E+01,1980
CHL,3.25E+01,1981
CHL,4.04E+01,1964
CHL,4.05E+01,1965
CHL,4.05E+01,1966
CHL,4.04E+01,1967
CHL,3.95E+01,1960
CHL,3.98E+01,1961
CHL,4.01E+01,1962
CHL,4.03E+01,1963
CHL,2.94E+01,1996
CHL,2.17E+01,2011
CHL,2.21E+01,2010
CHL,2.14E+01,2012
CHL,2.49E+01,2005
CHL,3.20E+01,1982
CHL,3.16E+01,1983
CHL,2.99E+01,1991
CHL,3.00E+01,1990
CHL,2.99E+01,1993
CHL,2.99E+01,1992
CHL,2.97E+01,1995
CHL,2.98E+01,1994
CHL,3.38E+01,1979
CHL,3.46E+01,1978
CHL,3.54E+01,1977
CHL,3.62E+01,1976
CHL,3.70E+01,1975
CHL,3.77E+01,1974
CHL,3.83E+01,1973
CHL,3.88E+01,1972
CHL,3.93E+01,1971
CHL,3.97E+01,1970
CHL,2.67E+01,2002
CHL,2.83E+01,1999
CHL,2.78E+01,2000
CHL,2.73E+01,2001
CHL,2.43E+01,2006
CHL,2.37E+01,2007
CHL,2.55E+01,2004
CHL,2.87E+01,1998
CHL,2.31E+01,2008
CHL,2.26E+01,2009
CHN,2.25E+01,2003
CHN,2.77E+01,1997
CHN,2.97E+01,1988
CHN,2.95E+01,1989
CHN,3.04E+01,1986
CHN,3.00E+01,1987
CHN,3.16E+01,1984
CHN,3.09E+01,1985
CHN,4.07E+01,1968
CHN,4.04E+01,1969
CHN,3.54E+01,1980
CHN,3.44E+01,1981
