country,value,year
ARG,1.01E+01,2003
ARG,9.73E+00,1997
ARG,8.87E+00,1988
ARG,8.96E+00,1989
ARG,8.70E+00,1986
ARG,8.78E+00,1987
ARG,8.53E+00,1984
ARG,8.61E+00,1985
ARG,6.72E+00,1968
ARG,6.87E+00,1969
ARG,8.20E+00,1980
ARG,8.29E+00,1981
ARG,6.13E+00,1964
ARG,6.27E+00,1965
ARG,6.42E+00,1966
ARG,6.57E+00,1967
ARG,5.58E+00,1960
ARG,5.72E+00,1961
ARG,5.86E+00,1962
ARG,5.99E+00,1963
ARG,9.65E+00,1996
ARG,1.07E+01,2011
ARG,1.06E+01,2010
ARG,1.08E+01,2012
ARG,1.02E+01,2005
ARG,8.37E+00,1982
ARG,8.45E+00,1983
ARG,9.16E+00,1991
ARG,9.06E+00,1990
ARG,9.37E+00,1993
ARG,9.27E+00,1992
ARG,9.57E+00,1995
ARG,9.47E+00,1994
ARG,8.10E+00,1979
ARG,8.00E+00,1978
ARG,7.89E+00,1977
ARG,7.77E+00,1976
ARG,7.65E+00,1975
ARG,7.53E+00,1974
ARG,7.41E+00,1973
ARG,7.29E+00,1972
ARG,7.15E+00,1971
ARG,7.02E+00,1970
ARG,1.01E+01,2002
ARG,9.87E+00,1999
ARG,9.94E+00,2000
ARG,1.00E+01,2001
ARG,1.03E+01,2006
ARG,1.04E+01,2007
ARG,1.02E+01,2004
ARG,9.81E+00,1998
ARG,1.04E+01,2008
ARG,1.05E+01,2009
BRA,5.89E+00,2003
BRA,5.19E+00,1997
BRA,4.31E+00,1988
BRA,4.38E+00,1989
BRA,4.22E+00,1986
BRA,4.26E+00,1987
BRA,4.18E+00,1984
BRA,4.19E+00,1985
BRA,3.64E+00,1968
BRA,3.68E+00,1969
BRA,4.21E+00,1980
BRA,4.21E+00,1981
BRA,3.50E+00,1964
BRA,3.54E+00,1965
BRA,3.58E+00,1966
BRA,3.61E+00,1967
BRA,3.30E+00,1960
BRA,3.35E+00,1961
BRA,3.40E+00,1962
BRA,3.45E+00,1963
BRA,5.10E+00,1996
BRA,7.10E+00,2011
BRA,6.91E+00,2010
BRA,7.30E+00,2012
BRA,6.17E+00,2005
BRA,4.20E+00,1982
BRA,4.19E+00,1983
BRA,4.56E+00,1991
BRA,4.46E+00,1990
BRA,4.78E+00,1993
BRA,4.67E+00,1992
BRA,5.01E+00,1995
BRA,4.90E+00,1994
BRA,4.18E+00,1979
BRA,4.14E+00,1978
BRA,4.09E+00,1977
BRA,4.03E+00,1976
BRA,3.97E+00,1975
BRA,3.92E+00,1974
BRA,3.86E+00,1973
BRA,3.81E+00,1972
BRA,3.76E+00,1971
BRA,3.72E+00,1970
BRA,5.75E+00,2002
BRA,5.38E+00,1999
BRA,5.49E+00,2000
BRA,5.61E+00,2001
BRA,6.31E+00,2006
BRA,6.44E+00,2007
BRA,6.03E+00,2004
BRA,5.28E+00,1998
BRA,6.59E+00,2008
BRA,6.74E+00,2009
CHL,7.69E+00,2003
CHL,6.84E+00,1997
CHL,5.99E+00,1988
CHL,6.05E+00,1989
CHL,5.89E+00,1986
CHL,5.94E+00,1987
CHL,5.79E+00,1984
CHL,5.84E+00,1985
CHL,5.02E+00,1968
