country,value,year
ARG,1.39E+01,2003
ARG,1.30E+01,1997
ARG,1.16E+01,1988
ARG,1.18E+01,1989
ARG,1.13E+01,1986
ARG,1.14E+01,1987
ARG,1.09E+01,1984
ARG,1.11E+01,1985
ARG,8.50E+00,1968
ARG,8.63E+00,1969
ARG,1.03E+01,1980
ARG,1.04E+01,1981
ARG,8.03E+00,1964
ARG,8.15E+00,1965
ARG,8.27E+00,1966
ARG,8.38E+00,1967
ARG,7.535815894,1960
ARG,7.658609854,1961
ARG,7.781403813,1962
ARG,7.90E+00,1963
ARG,1.29E+01,1996
ARG,1.49E+01,2011
ARG,1.48E+01,2010
ARG,1.59E+01,2012
ARG,1.41E+01,2005
ARG,1.06E+01,1982
ARG,1.08E+01,1983
ARG,1.21E+01,1991
ARG,1.19E+01,1990
ARG,1.24E+01,1993
ARG,1.22E+01,1992
ARG,1.27E+01,1995
ARG,1.26E+01,1994
ARG,1.01E+01,1979
ARG,9.97E+00,1978
ARG,9.83E+00,1977
ARG,9.68E+00,1976
ARG,9.53E+00,1975
ARG,9.37E+00,1974
ARG,9.21E+00,1973
ARG,9.06E+00,1972
ARG,8.91E+00,1971
ARG,8.76E+00,1970
ARG,1.37E+01,2002
ARG,1.33E+01,1999
ARG,1.35E+01,2000
ARG,1.36E+01,2001
ARG,1.42E+01,2006
ARG,1.44E+01,2007
ARG,1.40E+01,2004
ARG,1.32E+01,1998
ARG,1.45E+01,2008
ARG,1.46E+01,2009
BRA,2.15E+01,2003
BRA,1.97E+01,1997
BRA,1.71E+01,1988
BRA,1.74E+01,1989
BRA,1.64E+01,1986
BRA,1.68E+01,1987
BRA,1.58E+01,1984
BRA,1.61E+01,1985
BRA,1.08E+01,1968
BRA,1.11E+01,1969
BRA,1.44E+01,1980
BRA,1.47E+01,1981
BRA,9.70E+00,1964
BRA,9.97E+00,1965
BRA,1.03E+01,1966
BRA,1.05E+01,1967
BRA,8.600803333,1960
BRA,8.864441888,1961
BRA,9.136161699,1962
BRA,9.41E+00,1963
BRA,1.94E+01,1996
BRA,2.33E+01,2011
BRA,2.31E+01,2010
BRA,,2012
BRA,2.20E+01,2005
BRA,1.51E+01,1982
BRA,1.54E+01,1983
BRA,1.80E+01,1991
BRA,1.77E+01,1990
BRA,1.86E+01,1993
BRA,1.83E+01,1992
BRA,1.91E+01,1995
BRA,1.88E+01,1994
BRA,1.41E+01,1979
BRA,1.37E+01,1978
BRA,1.34E+01,1977
BRA,1.31E+01,1976
BRA,1.28E+01,1975
BRA,1.25E+01,1974
BRA,1.22E+01,1973
BRA,1.19E+01,1972
BRA,1.16E+01,1971
BRA,1.14E+01,1970
BRA,2.12E+01,2002
BRA,2.03E+01,1999
BRA,2.06E+01,2000
BRA,2.09E+01,2001
BRA,2.22E+01,2006
BRA,2.25E+01,2007
BRA,2.18E+01,2004
BRA,2.00E+01,1998
BRA,2.27E+01,2008
BRA,2.29E+01,2009
CHL,2.15E+01,2003
CHL,2.00E+01,1997
CHL,1.72E+01,1988
CHL,1.75E+01,1989
CHL,1.66E+01,1986
CHL,1.69E+01,1987
CHL,1.60E+01,1984
CHL,1.63E+01,1985
CHL,1.24E+01,1968
CHL,1.26E+01,1969
CHL,1.51E+01,1980
CHL,1.53E+01,1981
CHL,1.14E+01,1964
CHL,1.16E+01,1965
CHL,1.19E+01,1966
CHL,1.22E+01,1967
CHL,10.28720951,1960
CHL,10.55199507,1961
CHL,10.82359603,1962
CHL,1.11E+01,1963
CHL,1.97E+01,1996
CHL,2.33E+01,2011
CHL,2.31E+01,2010
CHL,,2012
CHL,2.20E+01,2005
CHL,1.55E+01,1982
CHL,1.58E+01,1983
CHL,1.81E+01,1991
CHL,1.78E+01,1990
CHL,1.88E+01,1993
CHL,1.84E+01,1992
CHL,1.94E+01,1995
CHL,1.91E+01,1994
CHL,1.48E+01,1979
CHL,1.46E+01,1978
CHL,1.44E+01,1977
CHL,1.42E+01,1976
CHL,1.40E+01,1975
CHL,1.38E+01,1974
CHL,1.36E+01,1973
CHL,1.34E+01,1972
CHL,1.31E+01,1971
CHL,1.29E+01,1970
CHL,2.13E+01,2002
CHL,2.05E+01,1999
CHL,2.08E+01,2000
CHL,2.10E+01,2001
CHL,2.22E+01,2006
CHL,2.24E+01,2007
CHL,2.17E+01,2004
CHL,2.03E+01,1998
CHL,2.26E+01,2008
CHL,2.29E+01,2009
CHN,1.38E+02,2003
CHN,1.32E+02,1997
CHN,1.18E+02,1988
CHN,1.20E+02,1989
CHN,1.14E+02,1986
CHN,1.16E+02,1987
CHN,1.11E+02,1984
CHN,1.13E+02,1985
CHN,8.30E+01,1968
CHN,8.53E+01,1969
CHN,1.05E+02,1980
CHN,1.07E+02,1981
CHN,7.49E+01,1964
CHN,7.67E+01,1965
CHN,7.88E+01,1966
CHN,8.09E+01,1967
CHN,70.21580927,1960
