country,value,year
ARG,9.07E-01,2003
ARG,1.20E+00,1997
ARG,1.46E+00,1988
ARG,1.43E+00,1989
ARG,1.49E+00,1986
ARG,1.48E+00,1987
ARG,1.52E+00,1984
ARG,1.51E+00,1985
ARG,1.42E+00,1968
ARG,1.46E+00,1969
ARG,1.50E+00,1980
ARG,1.52E+00,1981
ARG,1.53E+00,1964
ARG,1.49E+00,1965
ARG,1.45E+00,1966
ARG,1.42E+00,1967
ARG,1.64E+00,1960
ARG,1.61E+00,1961
ARG,1.59E+00,1962
ARG,1.56E+00,1963
ARG,1.23E+00,1996
ARG,8.74E-01,2011
ARG,8.72E-01,2010
ARG,8.76E-01,2012
ARG,8.81E-01,2005
ARG,1.53E+00,1982
ARG,1.53E+00,1983
ARG,1.37E+00,1991
ARG,1.40E+00,1990
ARG,1.31E+00,1993
ARG,1.34E+00,1992
ARG,1.25E+00,1995
ARG,1.28E+00,1994
ARG,1.48E+00,1979
ARG,1.49E+00,1978
ARG,1.52E+00,1977
ARG,1.57E+00,1976
ARG,1.64E+00,1975
ARG,1.70E+00,1974
ARG,1.72E+00,1973
ARG,1.69E+00,1972
ARG,1.62E+00,1971
ARG,1.54E+00,1970
ARG,9.46E-01,2002
ARG,1.12E+00,1999
ARG,1.06E+00,2000
ARG,9.98E-01,2001
ARG,8.79E-01,2006
ARG,8.74E-01,2007
ARG,8.87E-01,2004
ARG,1.17E+00,1998
ARG,8.73E-01,2008
ARG,8.72E-01,2009
BRA,1.31E+00,2003
BRA,1.53E+00,1997
BRA,1.88E+00,1988
BRA,1.80E+00,1989
BRA,2.03E+00,1986
BRA,1.95E+00,1987
BRA,2.21E+00,1984
BRA,2.12E+00,1985
BRA,2.58E+00,1968
BRA,2.52E+00,1969
BRA,2.34E+00,1980
BRA,2.33E+00,1981
BRA,2.94E+00,1964
BRA,2.84E+00,1965
BRA,2.74E+00,1966
BRA,2.65E+00,1967
BRA,2.95E+00,1960
BRA,2.99E+00,1961
BRA,3.02E+00,1962
BRA,3.00E+00,1963
BRA,1.53E+00,1996
BRA,8.80E-01,2011
BRA,8.85E-01,2010
BRA,8.70E-01,2012
BRA,1.15E+00,2005
BRA,2.31E+00,1982
BRA,2.27E+00,1983
BRA,1.66E+00,1991
BRA,1.73E+00,1990
BRA,1.55E+00,1993
BRA,1.59E+00,1992
BRA,1.53E+00,1995
BRA,1.53E+00,1994
BRA,2.35E+00,1979
BRA,2.36E+00,1978
BRA,2.36E+00,1977
BRA,2.36E+00,1976
BRA,2.36E+00,1975
BRA,2.36E+00,1974
BRA,2.37E+00,1973
BRA,2.39E+00,1972
BRA,2.43E+00,1971
BRA,2.48E+00,1970
BRA,1.36E+00,2002
BRA,1.48E+00,1999
BRA,1.44E+00,2000
BRA,1.40E+00,2001
BRA,1.06E+00,2006
BRA,9.85E-01,2007
BRA,1.23E+00,2004
BRA,1.51E+00,1998
BRA,9.27E-01,2008
BRA,8.96E-01,2009
CHL,1.11E+00,2003
CHL,1.42E+00,1997
CHL,1.71E+00,1988
CHL,1.74E+00,1989
CHL,1.67E+00,1986
CHL,1.69E+00,1987
CHL,1.65E+00,1984
CHL,1.67E+00,1985
CHL,2.01E+00,1968
CHL,1.94E+00,1969
