country,value,year
ARG,1.23E+07,2003
ARG,1.14E+07,1997
ARG,1.03E+07,1988
ARG,1.04E+07,1989
ARG,1.01E+07,1986
ARG,1.02E+07,1987
ARG,9.85E+06,1984
ARG,9.96E+06,1985
ARG,7.78E+06,1968
ARG,7.94E+06,1969
ARG,9.42E+06,1980
ARG,9.54E+06,1981
ARG,7.17E+06,1964
ARG,7.32E+06,1965
ARG,7.47E+06,1966
ARG,7.62E+06,1967
ARG,6.60E+06,1960
ARG,6.74E+06,1961
ARG,6.88E+06,1962
ARG,7.02E+06,1963
ARG,1.13E+07,1996
ARG,1.32E+07,2011
ARG,1.31E+07,2010
ARG,1.32E+07,2012
ARG,1.26E+07,2005
ARG,9.64E+06,1982
ARG,9.75E+06,1983
ARG,1.06E+07,1991
ARG,1.05E+07,1990
ARG,1.09E+07,1993
ARG,1.08E+07,1992
ARG,1.12E+07,1995
ARG,1.10E+07,1994
ARG,9.28E+06,1979
ARG,9.15E+06,1978
ARG,9.01E+06,1977
ARG,8.88E+06,1976
ARG,8.74E+06,1975
ARG,8.62E+06,1974
ARG,8.49E+06,1973
ARG,8.36E+06,1972
ARG,8.24E+06,1971
ARG,8.10E+06,1970
ARG,1.21E+07,2002
ARG,1.17E+07,1999
ARG,1.18E+07,2000
ARG,1.20E+07,2001
ARG,1.27E+07,2006
ARG,1.28E+07,2007
ARG,1.24E+07,2004
ARG,1.16E+07,1998
ARG,1.29E+07,2008
ARG,1.30E+07,2009
BRA,1.80E+07,2003
BRA,1.64E+07,1997
BRA,1.42E+07,1988
BRA,1.45E+07,1989
BRA,1.37E+07,1986
BRA,1.39E+07,1987
BRA,1.31E+07,1984
BRA,1.34E+07,1985
BRA,6.69E+06,1968
BRA,7.14E+06,1969
BRA,1.21E+07,1980
BRA,1.24E+07,1981
BRA,5.15E+06,1964
BRA,5.49E+06,1965
BRA,5.87E+06,1966
BRA,6.26E+06,1967
BRA,3.97E+06,1960
BRA,4.23E+06,1961
BRA,4.51E+06,1962
BRA,4.82E+06,1963
BRA,1.62E+07,1996
BRA,2.05E+07,2011
BRA,2.03E+07,2010
BRA,2.08E+07,2012
BRA,1.86E+07,2005
BRA,1.26E+07,1982
BRA,1.29E+07,1983
BRA,1.51E+07,1991
BRA,1.48E+07,1990
BRA,1.55E+07,1993
BRA,1.53E+07,1992
BRA,1.59E+07,1995
BRA,1.57E+07,1994
BRA,1.15E+07,1979
BRA,1.10E+07,1978
BRA,1.05E+07,1977
BRA,1.01E+07,1976
BRA,9.61E+06,1975
BRA,9.18E+06,1974
BRA,8.77E+06,1973
BRA,8.38E+06,1972
BRA,8.00E+06,1971
BRA,7.62E+06,1970
BRA,1.77E+07,2002
BRA,1.69E+07,1999
BRA,1.71E+07,2000
BRA,1.74E+07,2001
BRA,1.90E+07,2006
BRA,1.93E+07,2007
BRA,1.83E+07,2004
BRA,1.66E+07,1998
BRA,1.96E+07,2008
BRA,2.00E+07,2009
CHL,5.47E+06,2003
CHL,5.09E+06,1997
CHL,4.45E+06,1988
CHL,4.53E+06,1989
CHL,4.28E+06,1986
CHL,4.36E+06,1987
CHL,4.12E+06,1984
CHL,4.20E+06,1985
CHL,2.50E+06,1968
CHL,2.57E+06,1969
CHL,3.72E+06,1980
CHL,3.85E+06,1981
CHL,2.23E+06,1964
CHL,2.29E+06,1965
CHL,2.36E+06,1966
CHL,2.43E+06,1967
CHL,1.98E+06,1960
CHL,2.05E+06,1961
CHL,2.11E+06,1962
CHL,2.17E+06,1963
CHL,5.03E+06,1996
CHL,6.02E+06,2011
CHL,5.95E+06,2010
CHL,6.08E+06,2012
CHL,5.61E+06,2005
CHL,3.97E+06,1982
CHL,4.05E+06,1983
CHL,4.70E+06,1991
CHL,4.62E+06,1990
CHL,4.85E+06,1993
CHL,4.79E+06,1992
CHL,4.96E+06,1995
CHL,4.90E+06,1994
CHL,3.60E+06,1979
CHL,3.48E+06,1978
CHL,3.36E+06,1977
CHL,3.25E+06,1976
CHL,3.14E+06,1975
CHL,3.03E+06,1974
CHL,2.93E+06,1973
CHL,2.83E+06,1972
CHL,2.74E+06,1971
CHL,2.65E+06,1970
CHL,5.40E+06,2002
CHL,5.21E+06,1999
CHL,5.28E+06,2000
CHL,5.34E+06,2001
CHL,5.67E+06,2006
CHL,5.74E+06,2007
CHL,5.54E+06,2004
CHL,5.15E+06,1998
CHL,5.81E+06,2008
CHL,5.88E+06,2009
CHN,1.44E+07,2003
CHN,1.13E+07,1997
CHN,7.42E+06,1988
CHN,7.62E+06,1989
CHN,7.03E+06,1986
CHN,7.22E+06,1987
CHN,6.67E+06,1984
CHN,6.85E+06,1985
CHN,6.21E+06,1968
CHN,6.12E+06,1969
CHN,5.97E+06,1980
CHN,6.14E+06,1981
CHN,6.42E+06,1964
CHN,6.43E+06,1965
CHN,6.39E+06,1966
CHN,6.30E+06,1967
CHN,6.82E+06,1960
CHN,6.72E+06,1961
CHN,6.62E+06,1962
CHN,6.52E+06,1963
CHN,1.07E+07,1996
CHN,1.68E+07,2011
CHN,1.66E+07,2010
CHN,1.71E+07,2012
CHN,1.52E+07,2005
CHN,6.32E+06,1982
CHN,6.49E+06,1983
CHN,8.24E+06,1991
CHN,7.82E+06,1990
CHN,9.16E+06,1993
