country,value,year
ARG,3.56E+01,2003
ARG,3.59E+01,1997
ARG,3.76E+01,1988
ARG,3.73E+01,1989
ARG,3.83E+01,1986
ARG,3.79E+01,1987
ARG,3.90E+01,1984
ARG,3.86E+01,1985
ARG,4.29E+01,1968
ARG,4.29E+01,1969
ARG,4.04E+01,1980
ARG,4.01E+01,1981
ARG,4.31E+01,1964
ARG,4.30E+01,1965
ARG,4.30E+01,1966
ARG,4.29E+01,1967
ARG,4.35E+01,1960
ARG,4.34E+01,1961
ARG,4.33E+01,1962
ARG,4.31E+01,1963
ARG,3.60E+01,1996
ARG,3.49E+01,2011
ARG,3.51E+01,2010
ARG,3.47E+01,2012
ARG,3.55E+01,2005
ARG,3.97E+01,1982
ARG,3.93E+01,1983
ARG,3.68E+01,1991
ARG,3.70E+01,1990
ARG,3.64E+01,1993
ARG,3.66E+01,1992
ARG,3.61E+01,1995
ARG,3.63E+01,1994
ARG,4.06E+01,1979
ARG,4.08E+01,1978
ARG,4.10E+01,1977
ARG,4.12E+01,1976
ARG,4.14E+01,1975
ARG,4.17E+01,1974
ARG,4.20E+01,1973
ARG,4.23E+01,1972
ARG,4.26E+01,1971
ARG,4.28E+01,1970
ARG,3.56E+01,2002
ARG,3.57E+01,1999
ARG,3.56E+01,2000
ARG,3.56E+01,2001
ARG,3.55E+01,2006
ARG,3.54E+01,2007
ARG,3.56E+01,2004
ARG,3.58E+01,1998
ARG,3.53E+01,2008
ARG,3.52E+01,2009
BRA,1.21E+01,2003
BRA,1.24E+01,1997
BRA,1.36E+01,1988
BRA,1.35E+01,1989
BRA,1.39E+01,1986
BRA,1.37E+01,1987
BRA,1.43E+01,1984
BRA,1.41E+01,1985
BRA,1.36E+01,1968
BRA,1.39E+01,1969
BRA,1.52E+01,1980
BRA,1.50E+01,1981
BRA,1.25E+01,1964
BRA,1.28E+01,1965
BRA,1.30E+01,1966
BRA,1.33E+01,1967
BRA,1.18E+01,1960
BRA,1.20E+01,1961
BRA,1.21E+01,1962
BRA,1.23E+01,1963
BRA,1.26E+01,1996
BRA,1.23E+01,2011
BRA,1.23E+01,2010
BRA,1.23E+01,2012
BRA,1.21E+01,2005
BRA,1.47E+01,1982
BRA,1.45E+01,1983
BRA,1.33E+01,1991
BRA,1.34E+01,1990
BRA,1.30E+01,1993
BRA,1.31E+01,1992
BRA,1.27E+01,1995
BRA,1.28E+01,1994
BRA,1.50E+01,1979
BRA,1.49E+01,1978
BRA,1.48E+01,1977
BRA,1.47E+01,1976
BRA,1.46E+01,1975
BRA,1.45E+01,1974
BRA,1.44E+01,1973
BRA,1.44E+01,1972
BRA,1.43E+01,1971
BRA,1.42E+01,1970
BRA,1.21E+01,2002
BRA,1.22E+01,1999
BRA,1.21E+01,2000
BRA,1.21E+01,2001
BRA,1.21E+01,2006
BRA,1.22E+01,2007
BRA,1.21E+01,2004
BRA,1.23E+01,1998
BRA,1.22E+01,2008
BRA,1.23E+01,2009
CHL,3.93E+01,2003
CHL,4.02E+01,1997
CHL,4.20E+01,1988
CHL,4.20E+01,1989
CHL,4.20E+01,1986
CHL,4.20E+01,1987
CHL,4.20E+01,1984
CHL,4.19E+01,1985
CHL,3.67E+01,1968
CHL,3.67E+01,1969
CHL,4.09E+01,1980
CHL,4.16E+01,1981
CHL,3.72E+01,1964
CHL,3.70E+01,1965
CHL,3.68E+01,1966
CHL,3.67E+01,1967
CHL,3.82E+01,1960
CHL,3.80E+01,1961
CHL,3.77E+01,1962
CHL,3.74E+01,1963
CHL,4.05E+01,1996
CHL,3.90E+01,2011
CHL,3.90E+01,2010
CHL,3.90E+01,2012
CHL,3.92E+01,2005
CHL,4.21E+01,1982
CHL,4.20E+01,1983
CHL,4.19E+01,1991
CHL,4.20E+01,1990
CHL,4.14E+01,1993
CHL,4.17E+01,1992
CHL,4.07E+01,1995
CHL,4.10E+01,1994
CHL,4.04E+01,1979
CHL,3.99E+01,1978
CHL,3.94E+01,1977
CHL,3.89E+01,1976
CHL,3.84E+01,1975
CHL,3.80E+01,1974
CHL,3.76E+01,1973
CHL,3.73E+01,1972
CHL,3.70E+01,1971
CHL,3.67E+01,1970
CHL,3.94E+01,2002
CHL,3.99E+01,1999
CHL,3.97E+01,2000
CHL,3.96E+01,2001
CHL,3.91E+01,2006
CHL,3.91E+01,2007
CHL,3.92E+01,2004
CHL,4.00E+01,1998
CHL,3.91E+01,2008
CHL,3.90E+01,2009
CHN,2.81E+00,2003
CHN,2.79E+00,1997
CHN,2.69E+00,1988
CHN,2.65E+00,1989
CHN,2.79E+00,1986
CHN,2.74E+00,1987
CHN,2.90E+00,1984
CHN,2.85E+00,1985
CHN,4.54E+00,1968
CHN,4.39E+00,1969
CHN,3.14E+00,1980
CHN,3.08E+00,1981
CHN,5.19E+00,1964
CHN,4.97E+00,1965
CHN,4.84E+00,1966
CHN,4.69E+00,1967
CHN,6.31E+00,1960
CHN,6.14E+00,1961
CHN,5.86E+00,1962
CHN,5.51E+00,1963
CHN,2.76E+00,1996
CHN,2.48E+00,2011
CHN,2.52E+00,2010
CHN,2.44E+00,2012
CHN,2.74E+00,2005
CHN,3.02E+00,1982
CHN,2.95E+00,1983
CHN,2.62E+00,1991
CHN,2.61E+00,1990
CHN,2.67E+00,1993
CHN,2.64E+00,1992
CHN,2.73E+00,1995
CHN,2.69E+00,1994
CHN,3.15E+00,1979
CHN,3.17E+00,1978
CHN,3.19E+00,1977
CHN,3.35E+00,1976
CHN,3.53E+00,1975
CHN,3.64E+00,1974
CHN,3.77E+00,1973
CHN,3.91E+00,1972
CHN,4.07E+00,1971
CHN,4.24E+00,1970
CHN,2.85E+00,2002
CHN,2.87E+00,1999
CHN,2.92E+00,2000
CHN,2.89E+00,2001
CHN,2.71E+00,2006
CHN,2.67E+00,2007
CHN,2.77E+00,2004
CHN,2.83E+00,1998
CHN,2.61E+00,2008
CHN,2.56E+00,2009
EGY,3.49E+01,2003
EGY,3.68E+01,1997
EGY,3.74E+01,1988
EGY,3.72E+01,1989
EGY,3.78E+01,1986
EGY,3.77E+01,1987
EGY,3.76E+01,1984
EGY,3.76E+01,1985
EGY,3.66E+01,1968
EGY,3.65E+01,1969
EGY,3.73E+01,1980
EGY,3.74E+01,1981
EGY,3.59E+01,1964
EGY,3.63E+01,1965
EGY,3.69E+01,1966
EGY,3.67E+01,1967
EGY,3.47E+01,1960
EGY,3.49E+01,1961
EGY,3.52E+01,1962
EGY,3.56E+01,1963
EGY,3.70E+01,1996
EGY,3.21E+01,2011
EGY,3.25E+01,2010
EGY,3.18E+01,2012
EGY,3.42E+01,2005
EGY,3.75E+01,1982
EGY,3.75E+01,1983
EGY,3.69E+01,1991
EGY,3.70E+01,1990
EGY,3.70E+01,1993
EGY,3.69E+01,1992
EGY,3.71E+01,1995
EGY,3.70E+01,1994
EGY,3.72E+01,1979
EGY,3.72E+01,1978
EGY,3.71E+01,1977
EGY,3.70E+01,1976
EGY,3.68E+01,1975
EGY,3.67E+01,1974
EGY,3.66E+01,1973
EGY,3.65E+01,1972
EGY,3.64E+01,1971
EGY,3.64E+01,1970
EGY,3.52E+01,2002
EGY,3.62E+01,1999
EGY,3.59E+01,2000
EGY,3.56E+01,2001
EGY,3.38E+01,2006
EGY,3.35E+01,2007
EGY,3.46E+01,2004
EGY,3.65E+01,1998
EGY,3.31E+01,2008
EGY,3.28E+01,2009
DEU,5.61E+00,2003
DEU,5.73E+00,1997
DEU,5.71E+00,1988
DEU,5.88E+00,1989
DEU,5.47E+00,1986
DEU,5.77E+00,1987
DEU,5.37E+00,1984
DEU,5.42E+00,1985
DEU,5.77E+00,1968
DEU,5.71E+00,1969
DEU,5.36E+00,1980
DEU,5.34E+00,1981
DEU,5.98E+00,1964
DEU,5.91E+00,1965
DEU,5.85E+00,1966
DEU,5.81E+00,1967
DEU,6.27E+00,1960
DEU,6.20E+00,1961
DEU,6.13E+00,1962
DEU,6.05E+00,1963
DEU,5.77E+00,1996
DEU,5.72E+00,2011
DEU,5.71E+00,2010
DEU,5.72E+00,2012
DEU,5.61E+00,2005
DEU,5.35E+00,1982
DEU,5.35E+00,1983
DEU,5.88E+00,1991
DEU,5.89E+00,1990
DEU,5.84E+00,1993
DEU,5.86E+00,1992
DEU,5.80E+00,1995
DEU,5.82E+00,1994
DEU,5.40E+00,1979
DEU,5.43E+00,1978
DEU,5.46E+00,1977
DEU,5.48E+00,1976
DEU,5.48E+00,1975
DEU,5.49E+00,1974
DEU,5.53E+00,1973
DEU,5.58E+00,1972
DEU,5.63E+00,1971
DEU,5.68E+00,1970
DEU,5.62E+00,2002
DEU,5.65E+00,1999
DEU,5.63E+00,2000
DEU,5.63E+00,2001
DEU,5.62E+00,2006
DEU,5.64E+00,2007
DEU,5.60E+00,2004
DEU,5.69E+00,1998
DEU,5.67E+00,2008
DEU,5.69E+00,2009
HKG,1.00E+02,2003
HKG,9.89E+01,1997
HKG,1.00E+02,1988
HKG,1.00E+02,1989
HKG,9.97E+01,1986
HKG,1.00E+02,1987
HKG,9.99E+01,1984
HKG,1.00E+02,1985
HKG,1.00E+02,1968
HKG,1.00E+02,1969
HKG,9.95E+01,1980
HKG,9.93E+01,1981
HKG,1.00E+02,1964
HKG,1.00E+02,1965
HKG,1.00E+02,1966
HKG,1.00E+02,1967
HKG,1.00E+02,1960
HKG,1.00E+02,1961
HKG,1.00E+02,1962
HKG,1.00E+02,1963
HKG,9.82E+01,1996
HKG,1.00E+02,2011
HKG,1.00E+02,2010
HKG,1.00E+02,2012
HKG,1.00E+02,2005
HKG,9.96E+01,1982
HKG,9.96E+01,1983
HKG,1.00E+02,1991
HKG,1.00E+02,1990
HKG,1.00E+02,1993
HKG,1.00E+02,1992
HKG,1.00E+02,1995
HKG,1.00E+02,1994
HKG,9.98E+01,1979
HKG,1.00E+02,1978
HKG,1.00E+02,1977
HKG,1.00E+02,1976
HKG,9.85E+01,1975
HKG,9.88E+01,1974
HKG,9.85E+01,1973
HKG,9.91E+01,1972
HKG,9.90E+01,1971
HKG,9.96E+01,1970
HKG,1.00E+02,2002
HKG,9.98E+01,1999
HKG,1.00E+02,2000
HKG,1.00E+02,2001
HKG,1.00E+02,2006
HKG,1.00E+02,2007
HKG,1.00E+02,2004
HKG,9.95E+01,1998
HKG,1.00E+02,2008
HKG,1.00E+02,2009
IND,5.77E+00,2003
IND,5.10E+00,1997
IND,4.15E+00,1988
IND,4.27E+00,1989
IND,3.95E+00,1986
IND,4.05E+00,1987
IND,3.76E+00,1984
IND,3.85E+00,1985
IND,3.15E+00,1968
IND,3.18E+00,1969
IND,3.44E+00,1980
IND,3.50E+00,1981
IND,3.00E+00,1964
IND,3.04E+00,1965
IND,3.08E+00,1966
IND,3.11E+00,1967
IND,2.83E+00,1960
IND,2.88E+00,1961
IND,2.92E+00,1962
IND,2.96E+00,1963
IND,4.99E+00,1996
IND,5.91E+00,2011
IND,5.94E+00,2010
IND,5.87E+00,2012
IND,5.92E+00,2005
IND,3.58E+00,1982
IND,3.67E+00,1983
IND,4.49E+00,1991
IND,4.38E+00,1990
IND,4.68E+00,1993
IND,4.58E+00,1992
IND,4.88E+00,1995
IND,4.78E+00,1994
IND,3.42E+00,1979
IND,3.40E+00,1978
IND,3.37E+00,1977
IND,3.35E+00,1976
IND,3.33E+00,1975
IND,3.31E+00,1974
IND,3.28E+00,1973
IND,3.26E+00,1972
IND,3.24E+00,1971
IND,3.22E+00,1970
IND,5.67E+00,2002
IND,5.33E+00,1999
IND,5.46E+00,2000
IND,5.56E+00,2001
IND,5.96E+00,2006
IND,5.98E+00,2007
IND,5.85E+00,2004
IND,5.21E+00,1998
IND,5.98E+00,2008
IND,5.97E+00,2009
IDN,8.93E+00,2003
IDN,1.09E+01,1997
IDN,1.55E+01,1988
IDN,1.52E+01,1989
IDN,1.62E+01,1986
IDN,1.58E+01,1987
IDN,1.69E+01,1984
IDN,1.65E+01,1985
IDN,2.04E+01,1968
IDN,2.02E+01,1969
IDN,1.86E+01,1980
IDN,1.82E+01,1981
IDN,2.09E+01,1964
IDN,2.08E+01,1965
IDN,2.07E+01,1966
IDN,2.05E+01,1967
IDN,2.07E+01,1960
IDN,2.11E+01,1961
IDN,2.12E+01,1962
IDN,2.11E+01,1963
IDN,1.15E+01,1996
IDN,7.53E+00,2011
IDN,7.67E+00,2010
IDN,7.40E+00,2012
IDN,8.53E+00,2005
IDN,1.77E+01,1982
IDN,1.73E+01,1983
IDN,1.44E+01,1991
IDN,1.50E+01,1990
IDN,1.31E+01,1993
IDN,1.37E+01,1992
IDN,1.21E+01,1995
IDN,1.26E+01,1994
IDN,1.87E+01,1979
IDN,1.88E+01,1978
IDN,1.90E+01,1977
IDN,1.91E+01,1976
IDN,1.93E+01,1975
IDN,1.94E+01,1974
IDN,1.95E+01,1973
IDN,1.96E+01,1972
IDN,1.98E+01,1971
IDN,2.01E+01,1970
IDN,9.13E+00,2002
IDN,9.99E+00,1999
IDN,9.56E+00,2000
IDN,9.34E+00,2001
IDN,8.34E+00,2006
IDN,8.15E+00,2007
IDN,8.72E+00,2004
IDN,1.04E+01,1998
IDN,7.98E+00,2008
IDN,7.82E+00,2009
JPN,3.31E+01,2003
JPN,3.44E+01,1997
JPN,3.34E+01,1988
JPN,3.37E+01,1989
JPN,3.29E+01,1986
JPN,3.32E+01,1987
JPN,3.26E+01,1984
JPN,3.27E+01,1985
JPN,3.11E+01,1968
JPN,3.09E+01,1969
