country,value,year
ARG,5.11E+01,2003
ARG,5.10E+01,1997
ARG,5.09E+01,1988
ARG,5.09E+01,1989
ARG,5.08E+01,1986
ARG,5.09E+01,1987
ARG,5.08E+01,1984
ARG,5.08E+01,1985
ARG,4.97E+01,1968
ARG,4.98E+01,1969
ARG,5.07E+01,1980
ARG,5.07E+01,1981
ARG,4.95E+01,1964
ARG,4.95E+01,1965
ARG,4.96E+01,1966
ARG,4.97E+01,1967
ARG,4.92E+01,1960
ARG,4.93E+01,1961
ARG,4.93E+01,1962
ARG,4.94E+01,1963
ARG,5.10E+01,1996
ARG,5.11E+01,2011
ARG,5.11E+01,2010
ARG,5.11E+01,2012
ARG,5.11E+01,2005
ARG,5.08E+01,1982
ARG,5.08E+01,1983
ARG,5.09E+01,1991
ARG,5.09E+01,1990
ARG,5.10E+01,1993
ARG,5.10E+01,1992
ARG,5.10E+01,1995
ARG,5.10E+01,1994
ARG,5.06E+01,1979
ARG,5.05E+01,1978
ARG,5.03E+01,1977
ARG,5.02E+01,1976
ARG,5.01E+01,1975
ARG,5.00E+01,1974
ARG,5.00E+01,1973
ARG,4.99E+01,1972
ARG,4.99E+01,1971
ARG,4.99E+01,1970
ARG,5.10E+01,2002
ARG,5.10E+01,1999
ARG,5.10E+01,2000
ARG,5.10E+01,2001
ARG,5.11E+01,2006
ARG,5.11E+01,2007
ARG,5.11E+01,2004
ARG,5.10E+01,1998
ARG,5.11E+01,2008
ARG,5.11E+01,2009
BRA,5.06E+01,2003
BRA,5.05E+01,1997
BRA,5.03E+01,1988
BRA,5.03E+01,1989
BRA,5.02E+01,1986
BRA,5.03E+01,1987
BRA,5.02E+01,1984
BRA,5.02E+01,1985
BRA,5.01E+01,1968
BRA,5.01E+01,1969
BRA,5.01E+01,1980
BRA,5.01E+01,1981
BRA,5.01E+01,1964
BRA,5.01E+01,1965
BRA,5.01E+01,1966
BRA,5.01E+01,1967
BRA,5.02E+01,1960
BRA,5.01E+01,1961
BRA,5.01E+01,1962
BRA,5.01E+01,1963
BRA,5.05E+01,1996
BRA,5.08E+01,2011
BRA,5.08E+01,2010
BRA,5.08E+01,2012
BRA,5.07E+01,2005
BRA,5.01E+01,1982
BRA,5.02E+01,1983
BRA,5.03E+01,1991
BRA,5.03E+01,1990
BRA,5.04E+01,1993
BRA,5.04E+01,1992
BRA,5.05E+01,1995
BRA,5.04E+01,1994
BRA,5.01E+01,1979
BRA,5.01E+01,1978
BRA,5.01E+01,1977
BRA,5.01E+01,1976
BRA,5.01E+01,1975
BRA,5.01E+01,1974
BRA,5.01E+01,1973
BRA,5.01E+01,1972
BRA,5.01E+01,1971
BRA,5.01E+01,1970
BRA,5.06E+01,2002
BRA,5.05E+01,1999
BRA,5.06E+01,2000
BRA,5.06E+01,2001
BRA,5.07E+01,2006
BRA,5.07E+01,2007
BRA,5.06E+01,2004
BRA,5.05E+01,1998
BRA,5.07E+01,2008
BRA,5.08E+01,2009
CHL,5.05E+01,2003
CHL,5.05E+01,1997
CHL,5.06E+01,1988
CHL,5.06E+01,1989
CHL,5.06E+01,1986
CHL,5.06E+01,1987
CHL,5.07E+01,1984
CHL,5.06E+01,1985
CHL,5.06E+01,1968
CHL,5.06E+01,1969
CHL,5.07E+01,1980
CHL,5.07E+01,1981
CHL,5.06E+01,1964
CHL,5.06E+01,1965
CHL,5.06E+01,1966
CHL,5.06E+01,1967
CHL,5.06E+01,1960
CHL,5.06E+01,1961
CHL,5.06E+01,1962
CHL,5.06E+01,1963
CHL,5.05E+01,1996
CHL,5.05E+01,2011
CHL,5.05E+01,2010
CHL,5.05E+01,2012
CHL,5.05E+01,2005
CHL,5.07E+01,1982
CHL,5.07E+01,1983
CHL,5.06E+01,1991
CHL,5.06E+01,1990
CHL,5.06E+01,1993
CHL,5.06E+01,1992
CHL,5.05E+01,1995
CHL,5.06E+01,1994
CHL,5.07E+01,1979
CHL,5.07E+01,1978
CHL,5.07E+01,1977
CHL,5.07E+01,1976
CHL,5.07E+01,1975
CHL,5.07E+01,1974
CHL,5.07E+01,1973
CHL,5.07E+01,1972
CHL,5.07E+01,1971
CHL,5.06E+01,1970
CHL,5.05E+01,2002
CHL,5.05E+01,1999
CHL,5.05E+01,2000
CHL,5.05E+01,2001
CHL,5.05E+01,2006
CHL,5.05E+01,2007
CHL,5.05E+01,2004
CHL,5.05E+01,1998
CHL,5.05E+01,2008
CHL,5.05E+01,2009
CHN,4.83E+01,2003
CHN,4.84E+01,1997
CHN,4.84E+01,1988
CHN,4.84E+01,1989
CHN,4.84E+01,1986
CHN,4.84E+01,1987
