country,value,year
ARG,9.12E+00,2003
ARG,1.08E+01,1997
ARG,1.38E+01,1988
ARG,1.34E+01,1989
ARG,1.46E+01,1986
ARG,1.42E+01,1987
ARG,1.54E+01,1984
ARG,1.50E+01,1985
ARG,2.21E+01,1968
ARG,2.16E+01,1969
ARG,1.71E+01,1980
ARG,1.67E+01,1981
ARG,2.42E+01,1964
ARG,2.36E+01,1965
ARG,2.31E+01,1966
ARG,2.26E+01,1967
ARG,2.64E+01,1960
ARG,2.58E+01,1961
ARG,2.53E+01,1962
ARG,2.47E+01,1963
ARG,1.11E+01,1996
ARG,7.51E+00,2011
ARG,7.65E+00,2010
ARG,7.36E+00,2012
ARG,8.62E+00,2005
ARG,1.63E+01,1982
ARG,1.58E+01,1983
ARG,1.27E+01,1991
ARG,1.30E+01,1990
ARG,1.20E+01,1993
ARG,1.23E+01,1992
ARG,1.13E+01,1995
ARG,1.17E+01,1994
ARG,1.75E+01,1979
ARG,1.79E+01,1978
ARG,1.83E+01,1977
ARG,1.86E+01,1976
ARG,1.90E+01,1975
ARG,1.94E+01,1974
ARG,1.99E+01,1973
ARG,2.03E+01,1972
ARG,2.07E+01,1971
ARG,2.11E+01,1970
ARG,9.37E+00,2002
ARG,1.02E+01,1999
ARG,9.88E+00,2000
ARG,9.62E+00,2001
ARG,8.42E+00,2006
ARG,8.23E+00,2007
ARG,8.87E+00,2004
ARG,1.05E+01,1998
ARG,8.04E+00,2008
ARG,7.84E+00,2009
BRA,1.78E+01,2003
BRA,2.10E+01,1997
BRA,2.77E+01,1988
BRA,2.69E+01,1989
BRA,2.93E+01,1986
BRA,2.85E+01,1987
BRA,3.10E+01,1984
BRA,3.01E+01,1985
BRA,4.60E+01,1968
BRA,4.51E+01,1969
BRA,3.45E+01,1980
BRA,3.37E+01,1981
BRA,4.99E+01,1964
BRA,4.90E+01,1965
BRA,4.80E+01,1966
BRA,4.70E+01,1967
BRA,5.39E+01,1960
BRA,5.29E+01,1961
BRA,5.19E+01,1962
BRA,5.09E+01,1963
BRA,2.17E+01,1996
BRA,1.54E+01,2011
BRA,1.57E+01,2010
BRA,1.51E+01,2012
BRA,1.72E+01,2005
BRA,3.28E+01,1982
BRA,3.19E+01,1983
BRA,2.53E+01,1991
BRA,2.61E+01,1990
BRA,2.39E+01,1993
BRA,2.46E+01,1992
BRA,2.24E+01,1995
BRA,2.31E+01,1994
BRA,3.55E+01,1979
BRA,3.64E+01,1978
BRA,3.73E+01,1977
BRA,3.83E+01,1976
BRA,3.92E+01,1975
BRA,4.02E+01,1974
BRA,4.12E+01,1973
BRA,4.21E+01,1972
BRA,4.31E+01,1971
BRA,4.41E+01,1970
BRA,1.82E+01,2002
BRA,1.95E+01,1999
BRA,1.88E+01,2000
BRA,1.85E+01,2001
BRA,1.69E+01,2006
BRA,1.66E+01,2007
BRA,1.75E+01,2004
BRA,2.02E+01,1998
BRA,1.63E+01,2008
BRA,1.60E+01,2009
CHL,1.30E+01,2003
CHL,1.50E+01,1997
CHL,1.70E+01,1988
CHL,1.69E+01,1989
CHL,1.72E+01,1986
CHL,1.71E+01,1987
CHL,1.77E+01,1984
CHL,1.74E+01,1985
CHL,2.62E+01,1968
