country,value,year
ARG,3.46E+06,2003
ARG,3.84E+06,1997
ARG,4.37E+06,1988
ARG,4.31E+06,1989
ARG,4.49E+06,1986
ARG,4.43E+06,1987
ARG,4.60E+06,1984
ARG,4.54E+06,1985
ARG,5.15E+06,1968
ARG,5.11E+06,1969
ARG,4.81E+06,1980
ARG,4.76E+06,1981
ARG,5.31E+06,1964
ARG,5.27E+06,1965
ARG,5.23E+06,1966
ARG,5.19E+06,1967
ARG,5.44E+06,1960
ARG,5.42E+06,1961
ARG,5.38E+06,1962
ARG,5.35E+06,1963
ARG,3.90E+06,1996
ARG,3.06E+06,2011
ARG,3.09E+06,2010
ARG,3.02E+06,2012
ARG,3.33E+06,2005
ARG,4.71E+06,1982
ARG,4.66E+06,1983
ARG,4.19E+06,1991
ARG,4.25E+06,1990
ARG,4.08E+06,1993
ARG,4.14E+06,1992
ARG,3.95E+06,1995
ARG,4.02E+06,1994
ARG,4.85E+06,1979
ARG,4.88E+06,1978
ARG,4.91E+06,1977
ARG,4.94E+06,1976
ARG,4.96E+06,1975
ARG,4.99E+06,1974
ARG,5.01E+06,1973
ARG,5.03E+06,1972
ARG,5.05E+06,1971
ARG,5.06E+06,1970
ARG,3.53E+06,2002
ARG,3.71E+06,1999
ARG,3.64E+06,2000
ARG,3.59E+06,2001
ARG,3.28E+06,2006
ARG,3.24E+06,2007
ARG,3.40E+06,2004
ARG,3.78E+06,1998
ARG,3.19E+06,2008
ARG,3.14E+06,2009
BRA,3.24E+07,2003
BRA,3.50E+07,1997
BRA,4.00E+07,1988
BRA,3.95E+07,1989
BRA,4.08E+07,1986
BRA,4.04E+07,1987
BRA,4.14E+07,1984
BRA,4.11E+07,1985
BRA,4.21E+07,1968
BRA,4.22E+07,1969
BRA,4.20E+07,1980
BRA,4.19E+07,1981
BRA,4.10E+07,1964
BRA,4.13E+07,1965
BRA,4.16E+07,1966
BRA,4.19E+07,1967
BRA,3.92E+07,1960
BRA,3.97E+07,1961
BRA,4.01E+07,1962
BRA,4.06E+07,1963
BRA,3.56E+07,1996
BRA,3.03E+07,2011
BRA,3.06E+07,2010
BRA,3.01E+07,2012
BRA,3.20E+07,2005
BRA,4.18E+07,1982
BRA,4.16E+07,1983
BRA,3.86E+07,1991
BRA,3.90E+07,1990
BRA,3.75E+07,1993
BRA,3.80E+07,1992
BRA,3.62E+07,1995
BRA,3.69E+07,1994
BRA,4.22E+07,1979
BRA,4.23E+07,1978
BRA,4.24E+07,1977
BRA,4.24E+07,1976
BRA,4.24E+07,1975
BRA,4.25E+07,1974
BRA,4.25E+07,1973
BRA,4.25E+07,1972
BRA,4.24E+07,1971
BRA,4.24E+07,1970
BRA,3.26E+07,2002
BRA,3.36E+07,1999
BRA,3.28E+07,2000
BRA,3.27E+07,2001
BRA,3.17E+07,2006
BRA,3.15E+07,2007
BRA,3.22E+07,2004
BRA,3.43E+07,1998
BRA,3.12E+07,2008
BRA,3.09E+07,2009
CHL,2.09E+06,2003
CHL,2.23E+06,1997
CHL,2.17E+06,1988
CHL,2.19E+06,1989
CHL,2.13E+06,1986
CHL,2.15E+06,1987
CHL,2.11E+06,1984
CHL,2.11E+06,1985
CHL,2.41E+06,1968
CHL,2.40E+06,1969
CHL,2.10E+06,1980
CHL,2.10E+06,1981
CHL,2.46E+06,1964
CHL,2.45E+06,1965
CHL,2.44E+06,1966
CHL,2.43E+06,1967
CHL,2.46E+06,1960
CHL,2.46E+06,1961
CHL,2.46E+06,1962
CHL,2.46E+06,1963
CHL,2.25E+06,1996
CHL,1.88E+06,2011
CHL,1.90E+06,2010
CHL,1.86E+06,2012
CHL,2.02E+06,2005
CHL,2.10E+06,1982
CHL,2.10E+06,1983
CHL,2.22E+06,1991
CHL,2.21E+06,1990
CHL,2.24E+06,1993
CHL,2.23E+06,1992
CHL,2.26E+06,1995
CHL,2.25E+06,1994
CHL,2.13E+06,1979
CHL,2.16E+06,1978
CHL,2.20E+06,1977
CHL,2.23E+06,1976
CHL,2.25E+06,1975
CHL,2.28E+06,1974
CHL,2.31E+06,1973
CHL,2.33E+06,1972
CHL,2.36E+06,1971
CHL,2.37E+06,1970
CHL,2.12E+06,2002
CHL,2.19E+06,1999
CHL,2.17E+06,2000
CHL,2.15E+06,2001
CHL,2.00E+06,2006
CHL,1.98E+06,2007
CHL,2.06E+06,2004
CHL,2.21E+06,1998
CHL,1.95E+06,2008
CHL,1.92E+06,2009
CHN,7.75E+08,2003
CHN,8.25E+08,1997
CHN,8.26E+08,1988
CHN,8.31E+08,1989
CHN,8.15E+08,1986
CHN,8.21E+08,1987
CHN,8.07E+08,1984
CHN,8.11E+08,1985
CHN,6.38E+08,1968
CHN,6.56E+08,1969
CHN,7.91E+08,1980
CHN,7.94E+08,1981
CHN,5.75E+08,1964
CHN,5.86E+08,1965
CHN,6.03E+08,1966
CHN,6.20E+08,1967
CHN,5.59E+08,1960
CHN,5.51E+08,1961
CHN,5.53E+08,1962
CHN,5.64E+08,1963
CHN,8.29E+08,1996
CHN,6.65E+08,2011
CHN,6.79E+08,2010
CHN,6.51E+08,2012
CHN,7.49E+08,2005
CHN,7.99E+08,1982
CHN,8.04E+08,1983
CHN,8.36E+08,1991
CHN,8.35E+08,1990
CHN,8.35E+08,1993
CHN,8.36E+08,1992
CHN,8.32E+08,1995
CHN,8.34E+08,1994
CHN,7.85E+08,1979
CHN,7.79E+08,1978
CHN,7.72E+08,1977
CHN,7.65E+08,1976
CHN,7.57E+08,1975
CHN,7.44E+08,1974
CHN,7.28E+08,1973
CHN,7.12E+08,1972
CHN,6.95E+08,1971
CHN,6.76E+08,1970
CHN,7.87E+08,2002
CHN,8.16E+08,1999
CHN,8.10E+08,2000
CHN,7.99E+08,2001
CHN,7.36E+08,2006
CHN,7.22E+08,2007
CHN,7.62E+08,2004
CHN,8.21E+08,1998
CHN,7.08E+08,2008
CHN,6.94E+08,2009
EGY,3.96E+07,2003
EGY,3.61E+07,1997
EGY,3.04E+07,1988
EGY,3.12E+07,1989
EGY,2.89E+07,1986
EGY,2.97E+07,1987
EGY,2.76E+07,1984
EGY,2.82E+07,1985
