country,value,year
ARG,6.00E+00,2003
ARG,5.00E+00,1997
ARG,5.00E+00,1988
ARG,5.00E+00,1989
ARG,5.00E+00,1986
ARG,5.00E+00,1987
ARG,5.00E+00,1984
ARG,5.00E+00,1985
ARG,5.00E+00,1968
ARG,5.00E+00,1969
ARG,5.00E+00,1980
ARG,5.00E+00,1981
ARG,5.00E+00,1964
ARG,5.00E+00,1965
ARG,5.00E+00,1966
ARG,5.00E+00,1967
ARG,5.00E+00,1960
ARG,5.00E+00,1961
ARG,5.00E+00,1962
ARG,5.00E+00,1963
ARG,5.00E+00,1996
ARG,6.00E+00,2011
ARG,6.00E+00,2010
ARG,6.00E+00,2012
ARG,6.00E+00,2005
ARG,5.00E+00,1982
ARG,5.00E+00,1983
ARG,5.00E+00,1991
ARG,5.00E+00,1990
ARG,5.00E+00,1993
ARG,5.00E+00,1992
ARG,5.00E+00,1995
ARG,5.00E+00,1994
ARG,5.00E+00,1979
ARG,5.00E+00,1978
ARG,5.00E+00,1977
ARG,5.00E+00,1976
ARG,5.00E+00,1975
ARG,5.00E+00,1974
ARG,5.00E+00,1973
ARG,5.00E+00,1972
ARG,5.00E+00,1971
ARG,5.00E+00,1970
ARG,6.00E+00,2002
ARG,6.00E+00,1999
ARG,6.00E+00,2000
ARG,6.00E+00,2001
ARG,6.00E+00,2006
ARG,6.00E+00,2007
ARG,6.00E+00,2004
ARG,6.00E+00,1998
ARG,6.00E+00,2008
ARG,6.00E+00,2009
BRA,7.00E+00,2003
BRA,7.00E+00,1997
BRA,7.00E+00,1988
BRA,7.00E+00,1989
BRA,7.00E+00,1986
BRA,7.00E+00,1987
BRA,7.00E+00,1984
BRA,7.00E+00,1985
BRA,7.00E+00,1968
BRA,7.00E+00,1969
BRA,7.00E+00,1980
BRA,7.00E+00,1981
BRA,7.00E+00,1964
BRA,7.00E+00,1965
BRA,7.00E+00,1966
BRA,7.00E+00,1967
BRA,7.00E+00,1960
BRA,7.00E+00,1961
BRA,7.00E+00,1962
BRA,7.00E+00,1963
BRA,7.00E+00,1996
BRA,7.00E+00,2011
BRA,7.00E+00,2010
BRA,7.00E+00,2012
BRA,7.00E+00,2005
BRA,7.00E+00,1982
BRA,7.00E+00,1983
BRA,7.00E+00,1991
BRA,7.00E+00,1990
BRA,7.00E+00,1993
BRA,7.00E+00,1992
BRA,7.00E+00,1995
BRA,7.00E+00,1994
BRA,7.00E+00,1979
BRA,7.00E+00,1978
BRA,7.00E+00,1977
BRA,7.00E+00,1976
BRA,7.00E+00,1975
BRA,7.00E+00,1974
BRA,7.00E+00,1973
BRA,7.00E+00,1972
BRA,7.00E+00,1971
BRA,7.00E+00,1970
BRA,7.00E+00,2002
BRA,7.00E+00,1999
BRA,7.00E+00,2000
BRA,7.00E+00,2001
BRA,7.00E+00,2006
BRA,7.00E+00,2007
BRA,7.00E+00,2004
BRA,7.00E+00,1998
BRA,7.00E+00,2008
BRA,7.00E+00,2009
CHL,6.00E+00,2003
CHL,6.00E+00,1997
CHL,6.00E+00,1988
CHL,6.00E+00,1989
CHL,6.00E+00,1986
CHL,6.00E+00,1987
CHL,6.00E+00,1984
CHL,6.00E+00,1985
CHL,6.00E+00,1968
CHL,6.00E+00,1969
CHL,6.00E+00,1980
CHL,6.00E+00,1981
CHL,6.00E+00,1964
CHL,6.00E+00,1965
CHL,6.00E+00,1966
CHL,6.00E+00,1967
CHL,6.00E+00,1960
CHL,6.00E+00,1961
CHL,6.00E+00,1962
CHL,6.00E+00,1963
CHL,6.00E+00,1996
CHL,6.00E+00,2011
CHL,6.00E+00,2010
CHL,6.00E+00,2012
CHL,6.00E+00,2005
CHL,6.00E+00,1982
CHL,6.00E+00,1983
CHL,6.00E+00,1991
CHL,6.00E+00,1990
CHL,6.00E+00,1993
CHL,6.00E+00,1992
CHL,6.00E+00,1995
CHL,6.00E+00,1994
CHL,6.00E+00,1979
CHL,6.00E+00,1978
CHL,6.00E+00,1977
CHL,6.00E+00,1976
CHL,6.00E+00,1975
CHL,6.00E+00,1974
CHL,6.00E+00,1973
CHL,6.00E+00,1972
CHL,6.00E+00,1971
CHL,6.00E+00,1970
CHL,6.00E+00,2002
CHL,6.00E+00,1999
CHL,6.00E+00,2000
CHL,6.00E+00,2001
CHL,6.00E+00,2006
CHL,6.00E+00,2007
CHL,6.00E+00,2004
CHL,6.00E+00,1998
CHL,6.00E+00,2008
CHL,6.00E+00,2009
CHN,6.00E+00,2003
CHN,6.00E+00,1997
CHN,6.00E+00,1988
CHN,6.00E+00,1989
CHN,6.00E+00,1986
CHN,6.00E+00,1987
CHN,6.00E+00,1984
CHN,6.00E+00,1985
CHN,4.00E+00,1968
CHN,4.00E+00,1969
CHN,6.00E+00,1980
CHN,6.00E+00,1981
CHN,4.00E+00,1964
CHN,4.00E+00,1965
CHN,4.00E+00,1966
CHN,4.00E+00,1967
CHN,4.00E+00,1960
CHN,4.00E+00,1961
CHN,4.00E+00,1962
CHN,4.00E+00,1963
CHN,6.00E+00,1996
CHN,6.00E+00,2011
CHN,6.00E+00,2010
CHN,6.00E+00,2012
CHN,6.00E+00,2005
CHN,6.00E+00,1982
CHN,6.00E+00,1983
CHN,6.00E+00,1991
CHN,6.00E+00,1990
CHN,6.00E+00,1993
CHN,6.00E+00,1992
CHN,6.00E+00,1995
CHN,6.00E+00,1994
CHN,6.00E+00,1979
CHN,6.00E+00,1978
CHN,5.00E+00,1977
CHN,4.00E+00,1976
CHN,4.00E+00,1975
CHN,4.00E+00,1974
CHN,4.00E+00,1973
CHN,4.00E+00,1972
CHN,4.00E+00,1971
CHN,4.00E+00,1970
CHN,6.00E+00,2002
CHN,6.00E+00,1999
CHN,6.00E+00,2000
CHN,6.00E+00,2001
CHN,6.00E+00,2006
CHN,6.00E+00,2007
CHN,6.00E+00,2004
CHN,6.00E+00,1998
CHN,6.00E+00,2008
CHN,6.00E+00,2009
EGY,6.00E+00,2003
EGY,6.00E+00,1997
EGY,6.00E+00,1988
EGY,6.00E+00,1989
EGY,6.00E+00,1986
EGY,6.00E+00,1987
EGY,6.00E+00,1984
EGY,6.00E+00,1985
EGY,6.00E+00,1968
EGY,6.00E+00,1969
EGY,6.00E+00,1980
EGY,6.00E+00,1981
EGY,6.00E+00,1964
EGY,6.00E+00,1965
EGY,6.00E+00,1966
EGY,6.00E+00,1967
EGY,6.00E+00,1960
EGY,6.00E+00,1961
EGY,6.00E+00,1962
EGY,6.00E+00,1963
EGY,6.00E+00,1996
EGY,6.00E+00,2011
EGY,6.00E+00,2010
EGY,6.00E+00,2012
EGY,6.00E+00,2005
EGY,6.00E+00,1982
EGY,6.00E+00,1983
EGY,6.00E+00,1991
EGY,6.00E+00,1990
EGY,6.00E+00,1993
EGY,6.00E+00,1992
EGY,6.00E+00,1995
EGY,6.00E+00,1994
EGY,6.00E+00,1979
EGY,6.00E+00,1978
EGY,6.00E+00,1977
EGY,6.00E+00,1976
EGY,6.00E+00,1975
EGY,6.00E+00,1974
EGY,6.00E+00,1973
EGY,6.00E+00,1972
EGY,6.00E+00,1971
EGY,6.00E+00,1970
EGY,6.00E+00,2002
EGY,6.00E+00,1999
EGY,6.00E+00,2000
EGY,6.00E+00,2001
EGY,6.00E+00,2006
EGY,6.00E+00,2007
EGY,6.00E+00,2004
EGY,6.00E+00,1998
EGY,6.00E+00,2008
EGY,6.00E+00,2009
DEU,9.00E+00,2003
DEU,9.00E+00,1997
DEU,9.00E+00,1988
DEU,9.00E+00,1989
DEU,9.00E+00,1986
DEU,9.00E+00,1987
DEU,9.00E+00,1984
DEU,9.00E+00,1985
DEU,9.00E+00,1968
DEU,9.00E+00,1969
DEU,9.00E+00,1980
DEU,9.00E+00,1981
DEU,9.00E+00,1964
DEU,9.00E+00,1965
DEU,9.00E+00,1966
DEU,9.00E+00,1967
DEU,9.00E+00,1960
DEU,9.00E+00,1961
DEU,9.00E+00,1962
DEU,9.00E+00,1963
DEU,9.00E+00,1996
DEU,9.00E+00,2011
DEU,9.00E+00,2010
DEU,9.00E+00,2012
DEU,9.00E+00,2005
DEU,9.00E+00,1982
DEU,9.00E+00,1983
DEU,9.00E+00,1991
DEU,9.00E+00,1990
DEU,9.00E+00,1993
DEU,9.00E+00,1992
DEU,9.00E+00,1995
DEU,9.00E+00,1994
DEU,9.00E+00,1979
DEU,9.00E+00,1978
DEU,9.00E+00,1977
DEU,9.00E+00,1976
DEU,9.00E+00,1975
DEU,9.00E+00,1974
DEU,9.00E+00,1973
DEU,9.00E+00,1972
DEU,9.00E+00,1971
DEU,9.00E+00,1970
DEU,9.00E+00,2002
DEU,9.00E+00,1999
DEU,9.00E+00,2000
DEU,9.00E+00,2001
DEU,9.00E+00,2006
DEU,9.00E+00,2007
DEU,9.00E+00,2004
DEU,9.00E+00,1998
DEU,9.00E+00,2008
DEU,9.00E+00,2009
HKG,7.00E+00,2003
HKG,7.00E+00,1997
HKG,7.00E+00,1988
HKG,7.00E+00,1989
HKG,7.00E+00,1986
HKG,7.00E+00,1987
HKG,7.00E+00,1984
HKG,7.00E+00,1985
HKG,7.00E+00,1968
HKG,7.00E+00,1969
HKG,7.00E+00,1980
HKG,7.00E+00,1981
HKG,7.00E+00,1964
HKG,7.00E+00,1965
HKG,7.00E+00,1966
HKG,7.00E+00,1967
HKG,7.00E+00,1960
HKG,7.00E+00,1961
HKG,7.00E+00,1962
