country,value,year
ARG,1.20E+01,2003
ARG,1.30E+01,1997
ARG,1.30E+01,1988
ARG,1.30E+01,1989
ARG,1.30E+01,1986
ARG,1.30E+01,1987
ARG,1.30E+01,1984
ARG,1.30E+01,1985
ARG,1.30E+01,1968
ARG,1.30E+01,1969
ARG,1.30E+01,1980
ARG,1.30E+01,1981
ARG,1.30E+01,1964
ARG,1.30E+01,1965
ARG,1.30E+01,1966
ARG,1.30E+01,1967
ARG,1.30E+01,1960
ARG,1.30E+01,1961
ARG,1.30E+01,1962
ARG,1.30E+01,1963
ARG,1.30E+01,1996
ARG,1.20E+01,2011
ARG,1.20E+01,2010
ARG,1.20E+01,2012
ARG,1.20E+01,2005
ARG,1.30E+01,1982
ARG,1.30E+01,1983
ARG,1.30E+01,1991
ARG,1.30E+01,1990
ARG,1.30E+01,1993
ARG,1.30E+01,1992
ARG,1.30E+01,1995
ARG,1.30E+01,1994
ARG,1.30E+01,1979
ARG,1.30E+01,1978
ARG,1.30E+01,1977
ARG,1.30E+01,1976
ARG,1.30E+01,1975
ARG,1.30E+01,1974
ARG,1.30E+01,1973
ARG,1.30E+01,1972
ARG,1.30E+01,1971
ARG,1.30E+01,1970
ARG,1.20E+01,2002
ARG,1.20E+01,1999
ARG,1.20E+01,2000
ARG,1.20E+01,2001
ARG,1.20E+01,2006
ARG,1.20E+01,2007
ARG,1.20E+01,2004
ARG,1.30E+01,1998
ARG,1.20E+01,2008
ARG,1.20E+01,2009
BRA,1.10E+01,2003
BRA,1.10E+01,1997
BRA,1.10E+01,1988
BRA,1.10E+01,1989
BRA,1.10E+01,1986
BRA,1.10E+01,1987
BRA,1.10E+01,1984
BRA,1.10E+01,1985
BRA,1.10E+01,1968
BRA,1.10E+01,1969
BRA,1.10E+01,1980
BRA,1.10E+01,1981
BRA,1.10E+01,1964
BRA,1.10E+01,1965
BRA,1.10E+01,1966
BRA,1.10E+01,1967
BRA,1.10E+01,1960
BRA,1.10E+01,1961
BRA,1.10E+01,1962
BRA,1.10E+01,1963
BRA,1.10E+01,1996
BRA,1.10E+01,2011
BRA,1.10E+01,2010
BRA,1.10E+01,2012
BRA,1.10E+01,2005
BRA,1.10E+01,1982
BRA,1.10E+01,1983
BRA,1.10E+01,1991
BRA,1.10E+01,1990
BRA,1.10E+01,1993
BRA,1.10E+01,1992
BRA,1.10E+01,1995
BRA,1.10E+01,1994
BRA,1.10E+01,1979
BRA,1.10E+01,1978
BRA,1.10E+01,1977
BRA,1.10E+01,1976
BRA,1.10E+01,1975
BRA,1.10E+01,1974
BRA,1.10E+01,1973
BRA,1.10E+01,1972
BRA,1.10E+01,1971
BRA,1.10E+01,1970
BRA,1.10E+01,2002
BRA,1.10E+01,1999
BRA,1.10E+01,2000
BRA,1.10E+01,2001
BRA,1.10E+01,2006
BRA,1.10E+01,2007
BRA,1.10E+01,2004
BRA,1.10E+01,1998
BRA,1.10E+01,2008
BRA,1.10E+01,2009
CHL,1.20E+01,2003
CHL,1.20E+01,1997
CHL,1.20E+01,1988
CHL,1.20E+01,1989
CHL,1.20E+01,1986
CHL,1.20E+01,1987
CHL,1.20E+01,1984
CHL,1.20E+01,1985
CHL,1.20E+01,1968
CHL,1.20E+01,1969
CHL,1.20E+01,1980
CHL,1.20E+01,1981
CHL,1.20E+01,1964
CHL,1.20E+01,1965
CHL,1.20E+01,1966
CHL,1.20E+01,1967
CHL,1.20E+01,1960
CHL,1.20E+01,1961
CHL,1.20E+01,1962
CHL,1.20E+01,1963
CHL,1.20E+01,1996
CHL,1.20E+01,2011
CHL,1.20E+01,2010
CHL,1.20E+01,2012
CHL,1.20E+01,2005
CHL,1.20E+01,1982
CHL,1.20E+01,1983
CHL,1.20E+01,1991
CHL,1.20E+01,1990
CHL,1.20E+01,1993
CHL,1.20E+01,1992
CHL,1.20E+01,1995
CHL,1.20E+01,1994
CHL,1.20E+01,1979
CHL,1.20E+01,1978
CHL,1.20E+01,1977
CHL,1.20E+01,1976
CHL,1.20E+01,1975
CHL,1.20E+01,1974
CHL,1.20E+01,1973
CHL,1.20E+01,1972
CHL,1.20E+01,1971
CHL,1.20E+01,1970
CHL,1.20E+01,2002
CHL,1.20E+01,1999
CHL,1.20E+01,2000
CHL,1.20E+01,2001
CHL,1.20E+01,2006
CHL,1.20E+01,2007
CHL,1.20E+01,2004
CHL,1.40E+01,1998
CHL,1.20E+01,2008
CHL,1.20E+01,2009
CHN,1.20E+01,2003
CHN,1.20E+01,1997
CHN,1.20E+01,1988
CHN,1.20E+01,1989
CHN,1.20E+01,1986
CHN,1.20E+01,1987
CHN,1.20E+01,1984
CHN,1.20E+01,1985
CHN,1.20E+01,1968
CHN,1.20E+01,1969
CHN,1.20E+01,1980
CHN,1.20E+01,1981
CHN,1.20E+01,1964
CHN,1.20E+01,1965
CHN,1.20E+01,1966
CHN,1.20E+01,1967
CHN,1.20E+01,1960
CHN,1.20E+01,1961
CHN,1.20E+01,1962
CHN,1.20E+01,1963
CHN,1.20E+01,1996
CHN,1.20E+01,2011
CHN,1.20E+01,2010
CHN,1.20E+01,2012
CHN,1.20E+01,2005
CHN,1.20E+01,1982
CHN,1.20E+01,1983
CHN,1.20E+01,1991
CHN,1.20E+01,1990
CHN,1.20E+01,1993
CHN,1.20E+01,1992
CHN,1.20E+01,1995
CHN,1.20E+01,1994
CHN,1.20E+01,1979
CHN,1.20E+01,1978
CHN,1.20E+01,1977
CHN,1.20E+01,1976
CHN,1.20E+01,1975
CHN,1.20E+01,1974
CHN,1.20E+01,1973
CHN,1.20E+01,1972
CHN,1.20E+01,1971
CHN,1.20E+01,1970
CHN,1.20E+01,2002
CHN,1.20E+01,1999
CHN,1.20E+01,2000
CHN,1.20E+01,2001
CHN,1.20E+01,2006
CHN,1.20E+01,2007
CHN,1.20E+01,2004
CHN,1.20E+01,1998
CHN,1.20E+01,2008
CHN,1.20E+01,2009
EGY,1.10E+01,2003
EGY,1.10E+01,1997
EGY,1.20E+01,1988
EGY,1.20E+01,1989
EGY,1.20E+01,1986
EGY,1.20E+01,1987
EGY,1.20E+01,1984
EGY,1.20E+01,1985
EGY,1.20E+01,1968
EGY,1.20E+01,1969
EGY,1.20E+01,1980
EGY,1.20E+01,1981
EGY,1.20E+01,1964
EGY,1.20E+01,1965
EGY,1.20E+01,1966
EGY,1.20E+01,1967
EGY,1.20E+01,1960
EGY,1.20E+01,1961
EGY,1.20E+01,1962
EGY,1.20E+01,1963
EGY,1.10E+01,1996
EGY,1.20E+01,2011
EGY,1.20E+01,2010
EGY,1.20E+01,2012
EGY,1.20E+01,2005
EGY,1.20E+01,1982
EGY,1.20E+01,1983
EGY,1.10E+01,1991
EGY,1.10E+01,1990
EGY,1.10E+01,1993
EGY,1.10E+01,1992
EGY,1.10E+01,1995
EGY,1.10E+01,1994
EGY,1.20E+01,1979
EGY,1.20E+01,1978
EGY,1.20E+01,1977
EGY,1.20E+01,1976
EGY,1.20E+01,1975
EGY,1.20E+01,1974
EGY,1.20E+01,1973
EGY,1.20E+01,1972
EGY,1.20E+01,1971
EGY,1.20E+01,1970
EGY,1.10E+01,2002
EGY,1.10E+01,1999
EGY,1.10E+01,2000
EGY,1.10E+01,2001
EGY,1.20E+01,2006
EGY,1.20E+01,2007
EGY,1.10E+01,2004
EGY,1.10E+01,1998
EGY,1.20E+01,2008
EGY,1.20E+01,2009
DEU,1.00E+01,2003
DEU,1.00E+01,1997
DEU,1.00E+01,1988
DEU,1.00E+01,1989
DEU,1.00E+01,1986
DEU,1.00E+01,1987
DEU,1.00E+01,1984
DEU,1.00E+01,1985
DEU,1.00E+01,1968
DEU,1.00E+01,1969
DEU,1.00E+01,1980
DEU,1.00E+01,1981
DEU,1.00E+01,1964
DEU,1.00E+01,1965
DEU,1.00E+01,1966
DEU,1.00E+01,1967
DEU,1.00E+01,1960
DEU,1.00E+01,1961
DEU,1.00E+01,1962
DEU,1.00E+01,1963
DEU,1.00E+01,1996
DEU,1.00E+01,2011
DEU,1.00E+01,2010
DEU,1.00E+01,2012
DEU,1.00E+01,2005
DEU,1.00E+01,1982
DEU,1.00E+01,1983
DEU,1.00E+01,1991
DEU,1.00E+01,1990
DEU,1.00E+01,1993
DEU,1.00E+01,1992
DEU,1.00E+01,1995
DEU,1.00E+01,1994
DEU,1.00E+01,1979
DEU,1.00E+01,1978
DEU,1.00E+01,1977
DEU,1.00E+01,1976
DEU,1.00E+01,1975
DEU,1.00E+01,1974
DEU,1.00E+01,1973
DEU,1.00E+01,1972
DEU,1.00E+01,1971
DEU,1.00E+01,1970
DEU,1.00E+01,2002
DEU,1.00E+01,1999
DEU,1.00E+01,2000
DEU,1.00E+01,2001
DEU,1.00E+01,2006
DEU,1.00E+01,2007
DEU,1.00E+01,2004
DEU,1.00E+01,1998
DEU,1.00E+01,2008
DEU,1.00E+01,2009
HKG,1.20E+01,2003
HKG,1.20E+01,1997
HKG,1.20E+01,1988
HKG,1.20E+01,1989
HKG,1.20E+01,1986
HKG,1.20E+01,1987
HKG,1.20E+01,1984
HKG,1.20E+01,1985
HKG,1.20E+01,1968
HKG,1.20E+01,1969
HKG,1.20E+01,1980
HKG,1.20E+01,1981
HKG,1.20E+01,1964
HKG,1.20E+01,1965
HKG,1.20E+01,1966
HKG,1.20E+01,1967
HKG,1.20E+01,1960
