country,value,year
ARG,2.78E+06,2003
ARG,2.78E+06,1997
ARG,2.78E+06,1988
ARG,2.78E+06,1989
ARG,2.78E+06,1986
ARG,2.78E+06,1987
ARG,2.78E+06,1984
ARG,2.78E+06,1985
ARG,2.78E+06,1968
ARG,2.78E+06,1969
ARG,2.78E+06,1980
ARG,2.78E+06,1981
ARG,2.78E+06,1964
ARG,2.78E+06,1965
ARG,2.78E+06,1966
ARG,2.78E+06,1967
ARG,2.78E+06,1960
ARG,2.78E+06,1961
ARG,2.78E+06,1962
ARG,2.78E+06,1963
ARG,2.78E+06,1996
ARG,2.78E+06,2011
ARG,2.78E+06,2010
ARG,2.78E+06,2012
ARG,2.78E+06,2005
ARG,2.78E+06,1982
ARG,2.78E+06,1983
ARG,2.78E+06,1991
ARG,2.78E+06,1990
ARG,2.78E+06,1993
ARG,2.78E+06,1992
ARG,2.78E+06,1995
ARG,2.78E+06,1994
ARG,2.78E+06,1979
ARG,2.78E+06,1978
ARG,2.78E+06,1977
ARG,2.78E+06,1976
ARG,2.78E+06,1975
ARG,2.78E+06,1974
ARG,2.78E+06,1973
ARG,2.78E+06,1972
ARG,2.78E+06,1971
ARG,2.78E+06,1970
ARG,2.78E+06,2002
ARG,2.78E+06,1999
ARG,2.78E+06,2000
ARG,2.78E+06,2001
ARG,2.78E+06,2006
ARG,2.78E+06,2007
ARG,2.78E+06,2004
ARG,2.78E+06,1998
ARG,2.78E+06,2008
ARG,2.78E+06,2009
BRA,8.51E+06,2003
BRA,8.51E+06,1997
BRA,8.51E+06,1988
BRA,8.51E+06,1989
BRA,8.51E+06,1986
BRA,8.51E+06,1987
BRA,8.51E+06,1984
BRA,8.51E+06,1985
BRA,8.51E+06,1968
BRA,8.51E+06,1969
BRA,8.51E+06,1980
BRA,8.51E+06,1981
BRA,8.51E+06,1964
BRA,8.51E+06,1965
BRA,8.51E+06,1966
BRA,8.51E+06,1967
BRA,8514880,1960
BRA,8514880,1961
BRA,8514880,1962
BRA,8.51E+06,1963
BRA,8.51E+06,1996
BRA,8.51E+06,2011
BRA,8.51E+06,2010
BRA,,2012
BRA,8.51E+06,2005
BRA,8.51E+06,1982
BRA,8.51E+06,1983
BRA,8.51E+06,1991
BRA,8.51E+06,1990
BRA,8.51E+06,1993
BRA,8.51E+06,1992
BRA,8.51E+06,1995
BRA,8.51E+06,1994
BRA,8.51E+06,1979
BRA,8.51E+06,1978
BRA,8.51E+06,1977
BRA,8.51E+06,1976
BRA,8.51E+06,1975
BRA,8.51E+06,1974
BRA,8.51E+06,1973
BRA,8.51E+06,1972
BRA,8.51E+06,1971
BRA,8.51E+06,1970
BRA,8.51E+06,2002
BRA,8.51E+06,1999
BRA,8.51E+06,2000
BRA,8.51E+06,2001
BRA,8.51E+06,2006
BRA,8.51E+06,2007
BRA,8.51E+06,2004
BRA,8.51E+06,1998
BRA,8.51E+06,2008
BRA,8.51E+06,2009
CHL,7.56E+05,2003
CHL,7.56E+05,1997
CHL,7.56E+05,1988
CHL,7.56E+05,1989
CHL,7.56E+05,1986
CHL,7.56E+05,1987
CHL,7.56E+05,1984
CHL,7.56E+05,1985
CHL,7.56E+05,1968
CHL,7.56E+05,1969
CHL,7.56E+05,1980
CHL,7.56E+05,1981
CHL,7.56E+05,1964
CHL,7.56E+05,1965
CHL,7.56E+05,1966
CHL,7.56E+05,1967
CHL,756096,1960
CHL,756096,1961
CHL,756096,1962
CHL,7.56E+05,1963
CHL,7.56E+05,1996
CHL,7.56E+05,2011
CHL,7.56E+05,2010
CHL,,2012
CHL,7.56E+05,2005
CHL,7.56E+05,1982
CHL,7.56E+05,1983
CHL,7.56E+05,1991
CHL,7.56E+05,1990
CHL,7.56E+05,1993
CHL,7.56E+05,1992
CHL,7.56E+05,1995
CHL,7.56E+05,1994
CHL,7.56E+05,1979
CHL,7.56E+05,1978
CHL,7.56E+05,1977
CHL,7.56E+05,1976
CHL,7.56E+05,1975
CHL,7.56E+05,1974
CHL,7.56E+05,1973
CHL,7.56E+05,1972
CHL,7.56E+05,1971
CHL,7.56E+05,1970
CHL,7.56E+05,2002
CHL,7.56E+05,1999
CHL,7.56E+05,2000
CHL,7.56E+05,2001
CHL,7.56E+05,2006
CHL,7.56E+05,2007
CHL,7.56E+05,2004
CHL,7.56E+05,1998
CHL,7.56E+05,2008
CHL,7.56E+05,2009
CHN,9.60E+06,2003
CHN,9.60E+06,1997
CHN,9.60E+06,1988
CHN,9.60E+06,1989
CHN,9.60E+06,1986
CHN,9.60E+06,1987
CHN,9.60E+06,1984
CHN,9.60E+06,1985
CHN,9.60E+06,1968
CHN,9.60E+06,1969
CHN,9.60E+06,1980
CHN,9.60E+06,1981
CHN,9.60E+06,1964
CHN,9.60E+06,1965
CHN,9.60E+06,1966
CHN,9.60E+06,1967
CHN,9.60E+06,1960
CHN,9.60E+06,1961
CHN,9.60E+06,1962
CHN,9.60E+06,1963
CHN,9.60E+06,1996
CHN,9.60E+06,2011
CHN,9.60E+06,2010
CHN,,2012
CHN,9.60E+06,2005
CHN,9.60E+06,1982
CHN,9.60E+06,1983
CHN,9.60E+06,1991
CHN,9.60E+06,1990
CHN,9.60E+06,1993
CHN,9.60E+06,1992
CHN,9.60E+06,1995
CHN,9.60E+06,1994
CHN,9.60E+06,1979
CHN,9.60E+06,1978
CHN,9.60E+06,1977
CHN,9.60E+06,1976
CHN,9.60E+06,1975
CHN,9.60E+06,1974
CHN,9.60E+06,1973
CHN,9.60E+06,1972
CHN,9.60E+06,1971
CHN,9.60E+06,1970
CHN,9.60E+06,2002
CHN,9.60E+06,1999
CHN,9.60E+06,2000
CHN,9.60E+06,2001
CHN,9.60E+06,2006
CHN,9.60E+06,2007
CHN,9.60E+06,2004
CHN,9.60E+06,1998
CHN,9.60E+06,2008
CHN,9.60E+06,2009
EGY,1.00E+06,2003
EGY,1.00E+06,1997
EGY,1.00E+06,1988
EGY,1.00E+06,1989
EGY,1.00E+06,1986
EGY,1.00E+06,1987
EGY,1.00E+06,1984
EGY,1.00E+06,1985
EGY,1.00E+06,1968
EGY,1.00E+06,1969
EGY,1.00E+06,1980
EGY,1.00E+06,1981
EGY,1.00E+06,1964
EGY,1.00E+06,1965
EGY,1.00E+06,1966
EGY,1.00E+06,1967
EGY,1.00E+06,1960
EGY,1.00E+06,1961
EGY,1.00E+06,1962
EGY,1.00E+06,1963
EGY,1.00E+06,1996
EGY,1.00E+06,2011
EGY,1.00E+06,2010
EGY,,2012
EGY,1.00E+06,2005
EGY,1.00E+06,1982
EGY,1.00E+06,1983
EGY,1.00E+06,1991
EGY,1.00E+06,1990
EGY,1.00E+06,1993
EGY,1.00E+06,1992
EGY,1.00E+06,1995
EGY,1.00E+06,1994
EGY,1.00E+06,1979
EGY,1.00E+06,1978
EGY,1.00E+06,1977
EGY,1.00E+06,1976
EGY,1.00E+06,1975
EGY,1.00E+06,1974
EGY,1.00E+06,1973
EGY,1.00E+06,1972
EGY,1.00E+06,1971
EGY,1.00E+06,1970
EGY,1.00E+06,2002
EGY,1.00E+06,1999
EGY,1.00E+06,2000
EGY,1.00E+06,2001
EGY,1.00E+06,2006
EGY,1.00E+06,2007
EGY,1.00E+06,2004
EGY,1.00E+06,1998
EGY,1.00E+06,2008
EGY,1.00E+06,2009
DEU,3.57E+05,2003
DEU,3.57E+05,1997
DEU,3.57E+05,1988
DEU,3.57E+05,1989
DEU,3.57E+05,1986
DEU,3.57E+05,1987
DEU,3.57E+05,1984
DEU,3.57E+05,1985
DEU,3.57E+05,1968
DEU,3.57E+05,1969
DEU,3.57E+05,1980
DEU,3.57E+05,1981
DEU,3.57E+05,1964
DEU,3.57E+05,1965
DEU,3.57E+05,1966
DEU,3.57E+05,1967
DEU,3.57E+05,1960
DEU,3.57E+05,1961
DEU,3.57E+05,1962
