country,value,year
ARG,7.27E+01,2003
ARG,7.11E+01,1997
ARG,6.72E+01,1988
ARG,6.76E+01,1989
ARG,6.66E+01,1986
ARG,6.68E+01,1987
ARG,6.61E+01,1984
ARG,6.63E+01,1985
ARG,5.94E+01,1968
ARG,5.98E+01,1969
ARG,6.47E+01,1980
ARG,6.52E+01,1981
ARG,5.90E+01,1964
ARG,5.90E+01,1965
ARG,5.90E+01,1966
ARG,5.90E+01,1967
ARG,5.86E+01,1960
ARG,5.88E+01,1961
ARG,5.90E+01,1962
ARG,5.90E+01,1963
ARG,7.06E+01,1996
ARG,7.53E+01,2011
ARG,7.50E+01,2010
ARG,7.56E+01,2012
ARG,7.34E+01,2005
ARG,6.57E+01,1982
ARG,6.59E+01,1983
ARG,6.84E+01,1991
ARG,6.80E+01,1990
ARG,6.92E+01,1993
ARG,6.88E+01,1992
ARG,7.02E+01,1995
ARG,6.97E+01,1994
ARG,6.42E+01,1979
ARG,6.38E+01,1978
ARG,6.33E+01,1977
ARG,6.28E+01,1976
ARG,6.24E+01,1975
ARG,6.20E+01,1974
ARG,6.16E+01,1973
ARG,6.11E+01,1972
ARG,6.07E+01,1971
ARG,6.03E+01,1970
ARG,7.24E+01,2002
ARG,7.16E+01,1999
ARG,7.18E+01,2000
ARG,7.21E+01,2001
ARG,7.37E+01,2006
ARG,7.40E+01,2007
ARG,7.30E+01,2004
ARG,7.13E+01,1998
ARG,7.43E+01,2008
ARG,7.46E+01,2009
BRA,6.49E+01,2003
BRA,6.20E+01,1997
BRA,5.75E+01,1988
BRA,5.80E+01,1989
BRA,5.67E+01,1986
BRA,5.71E+01,1987
BRA,5.59E+01,1984
BRA,5.63E+01,1985
BRA,5.26E+01,1968
BRA,5.31E+01,1969
BRA,5.58E+01,1980
BRA,5.54E+01,1981
BRA,5.01E+01,1964
BRA,5.08E+01,1965
BRA,5.14E+01,1966
BRA,5.20E+01,1967
BRA,4.73E+01,1960
BRA,4.81E+01,1961
BRA,4.89E+01,1962
BRA,4.95E+01,1963
BRA,6.14E+01,1996
BRA,6.88E+01,2011
BRA,6.84E+01,2010
BRA,,2012
BRA,6.60E+01,2005
BRA,5.51E+01,1982
BRA,5.55E+01,1983
BRA,5.88E+01,1991
BRA,5.84E+01,1990
BRA,5.98E+01,1993
BRA,5.93E+01,1992
BRA,6.09E+01,1995
BRA,6.04E+01,1994
BRA,5.62E+01,1979
BRA,5.66E+01,1978
BRA,5.70E+01,1977
BRA,5.65E+01,1976
BRA,5.61E+01,1975
BRA,5.56E+01,1974
BRA,5.52E+01,1973
BRA,5.47E+01,1972
BRA,5.42E+01,1971
BRA,5.36E+01,1970
BRA,6.44E+01,2002
BRA,6.29E+01,1999
BRA,6.34E+01,2000
BRA,6.39E+01,2001
BRA,6.66E+01,2006
BRA,6.71E+01,2007
BRA,6.55E+01,2004
BRA,6.25E+01,1998
BRA,6.75E+01,2008
BRA,6.80E+01,2009
CHL,7.95E+01,2003
CHL,7.63E+01,1997
CHL,7.13E+01,1988
CHL,7.21E+01,1989
CHL,6.95E+01,1986
CHL,7.05E+01,1987
CHL,6.76E+01,1984
CHL,6.86E+01,1985
CHL,5.12E+01,1968
CHL,5.20E+01,1969
CHL,6.34E+01,1980
CHL,6.46E+01,1981
CHL,4.89E+01,1964
CHL,4.94E+01,1965
CHL,4.99E+01,1966
CHL,5.04E+01,1967
CHL,4.73E+01,1960
CHL,4.77E+01,1961
CHL,4.80E+01,1962
CHL,4.84E+01,1963
CHL,7.60E+01,1996
CHL,8.21E+01,2011
CHL,8.16E+01,2010
CHL,,2012
CHL,7.99E+01,2005
CHL,6.57E+01,1982
CHL,6.67E+01,1983
CHL,7.37E+01,1991
CHL,7.29E+01,1990
CHL,7.48E+01,1993
CHL,7.44E+01,1992
CHL,7.56E+01,1995
CHL,7.52E+01,1994
CHL,6.23E+01,1979
CHL,6.12E+01,1978
CHL,6.00E+01,1977
CHL,5.89E+01,1976
CHL,5.78E+01,1975
CHL,5.67E+01,1974
CHL,5.55E+01,1973
CHL,5.44E+01,1972
CHL,5.36E+01,1971
CHL,5.28E+01,1970
CHL,7.93E+01,2002
CHL,7.75E+01,1999
CHL,7.81E+01,2000
CHL,7.87E+01,2001
CHL,8.01E+01,2006
CHL,8.03E+01,2007
CHL,7.97E+01,2004
CHL,7.69E+01,1998
CHL,8.08E+01,2008
CHL,8.12E+01,2009
CHN,7.86E+01,2003
CHN,7.28E+01,1997
CHN,6.98E+01,1988
CHN,7.02E+01,1989
CHN,6.91E+01,1986
CHN,6.95E+01,1987
CHN,6.83E+01,1984
CHN,6.87E+01,1985
CHN,5.77E+01,1968
CHN,5.90E+01,1969
CHN,6.67E+01,1980
CHN,6.71E+01,1981
CHN,3.68E+01,1964
CHN,4.33E+01,1965
CHN,4.98E+01,1966
CHN,5.64E+01,1967
CHN,2.57E+01,1960
CHN,2.47E+01,1961
CHN,2.37E+01,1962
CHN,3.02E+01,1963
CHN,7.25E+01,1996
CHN,8.12E+01,2011
CHN,8.09E+01,2010
CHN,,2012
CHN,7.93E+01,2005
CHN,6.75E+01,1982
CHN,6.79E+01,1983
CHN,7.09E+01,1991
CHN,7.05E+01,1990
CHN,7.15E+01,1993
CHN,7.12E+01,1992
CHN,7.21E+01,1995
CHN,7.18E+01,1994
CHN,6.62E+01,1979
CHN,6.58E+01,1978
CHN,6.54E+01,1977
CHN,6.49E+01,1976
CHN,6.44E+01,1975
CHN,6.39E+01,1974
CHN,6.34E+01,1973
CHN,6.29E+01,1972
CHN,6.16E+01,1971
CHN,6.03E+01,1970
CHN,7.82E+01,2002
CHN,7.49E+01,1999
CHN,7.60E+01,2000
CHN,7.71E+01,2001
CHN,7.97E+01,2006
CHN,8.00E+01,2007
CHN,7.89E+01,2004
CHN,7.39E+01,1998
CHN,8.03E+01,2008
CHN,8.06E+01,2009
EGY,6.61E+01,2003
EGY,6.45E+01,1997
EGY,5.99E+01,1988
EGY,6.03E+01,1989
EGY,5.86E+01,1986
EGY,5.95E+01,1987
EGY,5.70E+01,1984
EGY,5.78E+01,1985
EGY,4.69E+01,1968
EGY,4.72E+01,1969
EGY,5.41E+01,1980
EGY,5.48E+01,1981
EGY,4.52E+01,1964
EGY,4.57E+01,1965
EGY,4.61E+01,1966
EGY,4.66E+01,1967
EGY,4.32E+01,1960
EGY,4.37E+01,1961
EGY,4.43E+01,1962
EGY,4.47E+01,1963
EGY,6.39E+01,1996
EGY,6.89E+01,2011
EGY,6.85E+01,2010
EGY,,2012
EGY,6.67E+01,2005
EGY,5.54E+01,1982
EGY,5.62E+01,1983
EGY,6.12E+01,1991
EGY,6.08E+01,1990
EGY,6.22E+01,1993
EGY,6.16E+01,1992
EGY,6.34E+01,1995
EGY,6.28E+01,1994
EGY,5.34E+01,1979
EGY,5.27E+01,1978
EGY,5.20E+01,1977
EGY,5.13E+01,1976
EGY,5.05E+01,1975
EGY,4.97E+01,1974
EGY,4.89E+01,1973
EGY,4.82E+01,1972
EGY,4.78E+01,1971
EGY,4.75E+01,1970
EGY,6.58E+01,2002
EGY,6.50E+01,1999
EGY,6.53E+01,2000
EGY,6.55E+01,2001
EGY,6.71E+01,2006
EGY,6.74E+01,2007
EGY,6.64E+01,2004
EGY,6.48E+01,1998
