country,value,year
ARG,2.26E+01,2003
ARG,1.91E+01,1997
ARG,1.00E+01,1988
ARG,9.58E+00,1989
ARG,9.28E+00,1986
ARG,9.49E+00,1987
ARG,8.69E+00,1984
ARG,8.93E+00,1985
ARG,5.19E+00,1968
ARG,5.28E+00,1969
ARG,6.68E+00,1980
ARG,7.70E+00,1981
ARG,4.83E+00,1964
ARG,4.93E+00,1965
ARG,5.02E+00,1966
ARG,5.11E+00,1967
ARG,4.43E+00,1960
ARG,4.53E+00,1961
ARG,4.63E+00,1962
ARG,4.73E+00,1963
ARG,1.77E+01,1996
ARG,2.43E+01,2011
ARG,2.42E+01,2010
ARG,2.43E+01,2012
ARG,2.44E+01,2005
ARG,8.14E+00,1982
ARG,7.71E+00,1983
ARG,9.46E+00,1991
ARG,9.27E+00,1990
ARG,1.17E+01,1993
ARG,1.07E+01,1992
ARG,1.64E+01,1995
ARG,1.45E+01,1994
ARG,6.48E+00,1979
ARG,6.33E+00,1978
ARG,6.29E+00,1977
ARG,6.33E+00,1976
ARG,6.33E+00,1975
ARG,6.14E+00,1974
ARG,5.94E+00,1973
ARG,5.75E+00,1972
ARG,5.56E+00,1971
ARG,5.37E+00,1970
ARG,2.05E+01,2002
ARG,1.98E+01,1999
ARG,2.14E+01,2000
ARG,2.18E+01,2001
ARG,2.42E+01,2006
ARG,2.41E+01,2007
ARG,2.28E+01,2004
ARG,1.96E+01,1998
ARG,2.45E+01,2008
ARG,2.44E+01,2009
BRA,2.16E+01,2003
BRA,1.02E+01,1997
BRA,5.72E+00,1988
BRA,5.98E+00,1989
BRA,5.36E+00,1986
BRA,5.51E+00,1987
BRA,5.02E+00,1984
BRA,5.29E+00,1985
BRA,1.17E+00,1968
BRA,1.24E+00,1969
BRA,4.07E+00,1980
BRA,4.28E+00,1981
BRA,9.83E-01,1964
BRA,1.01E+00,1965
BRA,1.06E+00,1966
BRA,1.12E+00,1967
BRA,8.93E-01,1960
BRA,9.15E-01,1961
BRA,9.37E-01,1962
BRA,9.60E-01,1963
BRA,9.19E+00,1996
BRA,2.19E+01,2011
BRA,2.16E+01,2010
BRA,2.23E+01,2012
BRA,2.14E+01,2005
BRA,4.57E+00,1982
BRA,4.83E+00,1983
BRA,6.62E+00,1991
BRA,6.29E+00,1990
BRA,7.20E+00,1993
BRA,7.01E+00,1992
BRA,8.19E+00,1995
BRA,7.70E+00,1994
BRA,3.61E+00,1979
BRA,3.20E+00,1978
BRA,2.70E+00,1977
BRA,2.27E+00,1976
BRA,2.03E+00,1975
BRA,1.86E+00,1974
BRA,1.70E+00,1973
BRA,1.56E+00,1972
BRA,1.42E+00,1971
BRA,1.30E+00,1970
BRA,2.16E+01,2002
BRA,1.45E+01,1999
BRA,1.77E+01,2000
BRA,2.12E+01,2001
BRA,2.06E+01,2006
BRA,2.08E+01,2007
BRA,2.15E+01,2004
BRA,1.18E+01,1998
BRA,2.15E+01,2008
BRA,2.15E+01,2009
CHL,2.04E+01,2003
CHL,1.81E+01,1997
CHL,4.91E+00,1988
CHL,4.99E+00,1989
CHL,4.53E+00,1986
CHL,4.64E+00,1987
CHL,4.04E+00,1984
CHL,4.44E+00,1985
CHL,2.22E+00,1968
CHL,2.34E+00,1969
CHL,3.25E+00,1980
CHL,3.41E+00,1981
CHL,1.85E+00,1964
CHL,1.88E+00,1965
CHL,1.99E+00,1966
CHL,2.10E+00,1967
CHL,1.72E+00,1960
CHL,1.75E+00,1961
CHL,1.79E+00,1962
CHL,1.82E+00,1963
CHL,1.47E+01,1996
CHL,1.95E+01,2011
CHL,2.02E+01,2010
CHL,1.88E+01,2012
CHL,2.11E+01,2005
CHL,3.51E+00,1982
CHL,3.73E+00,1983
CHL,7.86E+00,1991
CHL,6.55E+00,1990
CHL,1.09E+01,1993
CHL,9.38E+00,1992
CHL,1.26E+01,1995
CHL,1.12E+01,1994
CHL,3.19E+00,1979
CHL,3.17E+00,1978
CHL,3.03E+00,1977
CHL,2.91E+00,1976
CHL,2.85E+00,1975
CHL,2.77E+00,1974
CHL,2.69E+00,1973
CHL,2.62E+00,1972
CHL,2.55E+00,1971
CHL,2.47E+00,1970
CHL,2.20E+01,2002
CHL,2.04E+01,1999
CHL,2.14E+01,2000
CHL,2.22E+01,2001
CHL,2.05E+01,2006
CHL,2.08E+01,2007
CHL,2.06E+01,2004
CHL,2.03E+01,1998
CHL,2.10E+01,2008
CHL,2.10E+01,2009
CHN,2.03E+01,2003
CHN,5.68E+00,1997
CHN,4.26E-01,1988
CHN,5.03E-01,1989
CHN,3.26E-01,1986
CHN,3.58E-01,1987
CHN,2.67E-01,1984
CHN,2.95E-01,1985
CHN,0.157462493,1968
CHN,0.161118748,1969
CHN,2.18E-01,1980
CHN,2.23E-01,1981
CHN,0.143648564,1964
CHN,0.146984063,1965
CHN,0.150397011,1966
CHN,0.153889208,1967
CHN,0.13104651,1960
CHN,0.134089391,1961
CHN,0.137202926,1962
CHN,0.140388758,1963
CHN,4.48E+00,1996
CHN,2.12E+01,2011
CHN,2.19E+01,2010
CHN,2.06E+01,2012
CHN,2.68E+01,2005
CHN,2.32E-01,1982
CHN,2.45E-01,1983
CHN,7.28E-01,1991
CHN,5.98E-01,1990
CHN,1.46E+00,1993
CHN,9.76E-01,1992
CHN,3.35E+00,1995
CHN,2.27E+00,1994
CHN,2.10E-01,1979
CHN,2.01E-01,1978
CHN,1.94E-01,1977
CHN,0.189203334,1976
CHN,0.184909757,1975
CHN,0.180713613,1974
CHN,0.176612692,1973
CHN,0.172604833,1972
CHN,0.168687925,1971
CHN,0.164859902,1970
CHN,1.67E+01,2002
CHN,8.63E+00,1999
CHN,1.14E+01,2000
CHN,1.41E+01,2001
CHN,2.80E+01,2006
CHN,2.77E+01,2007
CHN,2.40E+01,2004
CHN,7.00E+00,1998
CHN,2.56E+01,2008
CHN,2.35E+01,2009
EGY,1.22E+01,2003
EGY,5.38E+00,1997
EGY,2.21E+00,1988
EGY,2.50E+00,1989
EGY,2.07E+00,1986
EGY,2.10E+00,1987
EGY,1.30E+00,1984
EGY,1.76E+00,1985
EGY,8.05E-01,1968
EGY,8.07E-01,1969
EGY,9.13E-01,1980
EGY,9.34E-01,1981
EGY,7.98E-01,1964
EGY,7.99E-01,1965
EGY,8.01E-01,1966
EGY,8.03E-01,1967
EGY,7.90E-01,1960
EGY,7.92E-01,1961
EGY,7.94E-01,1962
EGY,7.96E-01,1963
EGY,4.79E+00,1996
EGY,1.06E+01,2011
EGY,1.19E+01,2010
EGY,1.02E+01,2012
EGY,1.40E+01,2005
EGY,1.01E+00,1982
EGY,1.21E+00,1983
EGY,3.13E+00,1991
EGY,2.82E+00,1990
EGY,3.72E+00,1993
EGY,3.44E+00,1992
EGY,4.38E+00,1995
EGY,4.02E+00,1994
EGY,8.93E-01,1979
EGY,8.71E-01,1978
EGY,8.63E-01,1977
EGY,8.60E-01,1976
EGY,8.60E-01,1975
EGY,8.49E-01,1974
EGY,8.39E-01,1973
EGY,8.29E-01,1972
EGY,8.19E-01,1971
EGY,8.09E-01,1970
EGY,1.11E+01,2002
EGY,7.05E+00,1999
EGY,8.11E+00,2000
EGY,9.72E+00,2001
EGY,1.43E+01,2006
EGY,1.46E+01,2007
EGY,1.30E+01,2004
EGY,6.08E+00,1998
EGY,1.51E+01,2008
EGY,1.29E+01,2009
DEU,6.57E+01,2003
DEU,5.49E+01,1997
DEU,3.56E+01,1988
DEU,3.67E+01,1989
DEU,3.37E+01,1986
DEU,3.46E+01,1987
DEU,3.14E+01,1984
DEU,3.27E+01,1985
DEU,8.76E+00,1968
DEU,9.79E+00,1969
DEU,2.61E+01,1980
DEU,2.77E+01,1981
DEU,5.93E+00,1964
DEU,6.27E+00,1965
DEU,7.01E+00,1966
DEU,7.83E+00,1967
DEU,4.42E+00,1960
DEU,4.76E+00,1961
DEU,5.12E+00,1962
DEU,5.51E+00,1963
DEU,5.36E+01,1996
DEU,6.30E+01,2011
DEU,6.43E+01,2010
DEU,6.18E+01,2012
DEU,6.64E+01,2005
DEU,2.90E+01,1982
DEU,3.01E+01,1983
DEU,4.21E+01,1991
DEU,4.03E+01,1990
DEU,4.57E+01,1993
DEU,4.41E+01,1992
DEU,5.13E+01,1995
DEU,4.76E+01,1994
DEU,2.41E+01,1979
DEU,2.20E+01,1978
DEU,2.00E+01,1977
DEU,1.81E+01,1976
DEU,1.63E+01,1975
DEU,1.51E+01,1974
DEU,1.39E+01,1973
DEU,1.28E+01,1972
DEU,1.18E+01,1971
DEU,1.09E+01,1970
DEU,6.51E+01,2002
DEU,5.85E+01,1999
DEU,6.10E+01,2000
DEU,6.35E+01,2001
DEU,6.59E+01,2006
DEU,6.44E+01,2007
DEU,6.61E+01,2004
DEU,5.65E+01,1998
DEU,6.10E+01,2008
DEU,6.52E+01,2009
HKG,5.58E+01,2003
HKG,5.69E+01,1997
HKG,3.88E+01,1988
HKG,4.10E+01,1989
HKG,3.42E+01,1986
HKG,3.63E+01,1987
HKG,3.11E+01,1984
HKG,3.26E+01,1985
HKG,8.79E+00,1968
HKG,1.02E+01,1969
HKG,2.53E+01,1980
HKG,2.69E+01,1981
HKG,4.76E+00,1964
HKG,5.55E+00,1965
HKG,6.47E+00,1966
HKG,7.54E+00,1967
HKG,2.57E+00,1960
HKG,3.00E+00,1961
HKG,3.50E+00,1962
HKG,4.08E+00,1963
HKG,5.51E+01,1996
HKG,6.10E+01,2011
HKG,6.18E+01,2010
HKG,6.06E+01,2012
HKG,5.57E+01,2005
HKG,2.82E+01,1982
HKG,2.97E+01,1983
HKG,4.51E+01,1991
HKG,4.27E+01,1990
HKG,5.01E+01,1993
HKG,4.77E+01,1992
HKG,5.33E+01,1995
HKG,5.21E+01,1994
HKG,2.38E+01,1979
HKG,2.26E+01,1978
HKG,2.15E+01,1977
HKG,2.03E+01,1976
HKG,1.92E+01,1975
HKG,1.75E+01,1974
HKG,1.59E+01,1973
HKG,1.45E+01,1972
HKG,1.31E+01,1971
HKG,1.20E+01,1970
HKG,5.60E+01,2002
HKG,5.78E+01,1999
HKG,5.79E+01,2000
HKG,5.71E+01,2001
HKG,5.61E+01,2006
HKG,6.12E+01,2007
HKG,5.53E+01,2004
HKG,5.68E+01,1998
HKG,6.04E+01,2008
HKG,6.12E+01,2009
IND,3.80E+00,2003
IND,1.78E+00,1997
IND,4.98E-01,1988
IND,5.36E-01,1989
IND,4.35E-01,1986
IND,4.64E-01,1987
IND,3.78E-01,1984
IND,4.03E-01,1985
IND,1.54E-01,1968
IND,1.65E-01,1969
IND,3.07E-01,1980
IND,3.20E-01,1981
IND,1.13E-01,1964
IND,1.26E-01,1965
IND,1.35E-01,1966
IND,1.44E-01,1967
IND,7.42E-02,1960
IND,8.25E-02,1961
IND,9.16E-02,1962
IND,1.02E-01,1963
IND,1.48E+00,1996
IND,2.63E+00,2011
IND,2.87E+00,2010
IND,2.47E+00,2012
IND,4.40E+00,2005
IND,3.36E-01,1982
IND,3.56E-01,1983
IND,6.51E-01,1991
IND,5.81E-01,1990
IND,8.65E-01,1993
IND,7.47E-01,1992
IND,1.24E+00,1995
IND,1.04E+00,1994
IND,2.95E-01,1979
IND,2.80E-01,1978
IND,2.65E-01,1977
IND,2.53E-01,1976
IND,2.36E-01,1975
IND,2.23E-01,1974
IND,2.10E-01,1973
IND,1.99E-01,1972
IND,1.88E-01,1971
IND,1.77E-01,1970
IND,3.80E+00,2002
IND,2.56E+00,1999
IND,3.08E+00,2000
IND,3.60E+00,2001
IND,3.52E+00,2006
IND,3.34E+00,2007
IND,4.11E+00,2004
IND,2.12E+00,1998
IND,3.18E+00,2008
IND,3.07E+00,2009
IDN,3.63E+00,2003
IDN,2.43E+00,1997
IDN,4.66E-01,1988
IDN,4.77E-01,1989
IDN,3.95E-01,1986
IDN,4.34E-01,1987
IDN,3.25E-01,1984
IDN,3.58E-01,1985
IDN,1.19E-01,1968
IDN,1.20E-01,1969
IDN,2.49E-01,1980
IDN,2.77E-01,1981
IDN,1.10E-01,1964
IDN,1.16E-01,1965
IDN,1.17E-01,1966
IDN,1.18E-01,1967
IDN,9.01E-02,1960
IDN,9.48E-02,1961
IDN,9.98E-02,1962
IDN,1.05E-01,1963
IDN,2.07E+00,1996
IDN,1.58E+01,2011
IDN,1.71E+01,2010
IDN,1.55E+01,2012
IDN,5.94E+00,2005
IDN,3.01E-01,1982
IDN,3.12E-01,1983
IDN,6.91E-01,1991
IDN,5.78E-01,1990
IDN,9.63E-01,1993
IDN,8.67E-01,1992
IDN,1.65E+00,1995
IDN,1.25E+00,1994
IDN,2.15E-01,1979
IDN,1.91E-01,1978
IDN,1.71E-01,1977
IDN,1.60E-01,1976
IDN,1.55E-01,1975
IDN,1.47E-01,1974
IDN,1.40E-01,1973
IDN,1.33E-01,1972
IDN,1.27E-01,1971
IDN,1.21E-01,1970
IDN,3.54E+00,2002
IDN,2.89E+00,1999
IDN,3.12E+00,2000
IDN,3.34E+00,2001
IDN,6.45E+00,2006
IDN,8.40E+00,2007
IDN,4.62E+00,2004
IDN,2.68E+00,1998
IDN,1.29E+01,2008
IDN,1.47E+01,2009
JPN,4.77E+01,2003
JPN,5.25E+01,1997
JPN,4.15E+01,1988
JPN,4.31E+01,1989
JPN,3.88E+01,1986
JPN,4.00E+01,1987
JPN,3.68E+01,1984
JPN,3.78E+01,1985
JPN,1.18E+01,1968
JPN,1.37E+01,1969
JPN,3.45E+01,1980
JPN,3.45E+01,1981
JPN,6.66E+00,1964
JPN,7.60E+00,1965
JPN,8.80E+00,1966
JPN,1.02E+01,1967
JPN,3.93E+00,1960
JPN,4.48E+00,1961
JPN,5.11E+00,1962
JPN,5.84E+00,1963
JPN,5.13E+01,1996
JPN,5.11E+01,2011
JPN,5.19E+01,2010
JPN,5.08E+01,2012
JPN,4.59E+01,2005
JPN,3.53E+01,1982
JPN,3.62E+01,1983
JPN,4.59E+01,1991
JPN,4.46E+01,1990
JPN,4.76E+01,1993
JPN,4.68E+01,1992
JPN,5.00E+01,1995
JPN,4.89E+01,1994
JPN,3.36E+01,1979
JPN,3.26E+01,1978
JPN,3.17E+01,1977
JPN,3.08E+01,1976
JPN,2.92E+01,1975
JPN,2.58E+01,1974
JPN,2.29E+01,1973
JPN,2.02E+01,1972
JPN,1.79E+01,1971
JPN,1.58E+01,1970
JPN,4.82E+01,2002
JPN,4.94E+01,1999
JPN,4.93E+01,2000
JPN,4.87E+01,2001
JPN,4.43E+01,2006
JPN,4.05E+01,2007
JPN,4.72E+01,2004
JPN,4.98E+01,1998
JPN,3.83E+01,2008
JPN,5.28E+01,2009
KOR,5.39E+01,2003
KOR,4.52E+01,1997
KOR,2.45E+01,1988
KOR,2.77E+01,1989
KOR,1.83E+01,1986
KOR,2.07E+01,1987
KOR,1.40E+01,1984
KOR,1.61E+01,1985
KOR,1.17E+00,1968
KOR,1.34E+00,1969
KOR,7.22E+00,1980
KOR,8.58E+00,1981
KOR,0.678507979,1964
KOR,0.777016771,1965
KOR,0.889827506,1966
KOR,1.02E+00,1967
KOR,0.394505648,1960
KOR,0.451781725,1961
KOR,0.517373395,1962
KOR,0.592487955,1963
KOR,4.36E+01,1996
KOR,6.09E+01,2011
KOR,5.92E+01,2010
KOR,6.19E+01,2012
KOR,5.08E+01,2005
KOR,1.05E+01,1982
KOR,1.22E+01,1983
KOR,3.36E+01,1991
KOR,3.09E+01,1990
KOR,3.79E+01,1993
KOR,3.57E+01,1992
KOR,4.16E+01,1995
KOR,3.98E+01,1994
KOR,6.21E+00,1979
KOR,5.17E+00,1978
KOR,4.29E+00,1977
KOR,3.60E+00,1976
KOR,3.05E+00,1975
KOR,2.66E+00,1974
KOR,2.31E+00,1973
KOR,2.02E+00,1972
KOR,1.76E+00,1971
KOR,1.53E+00,1970
KOR,5.54E+01,2002
KOR,5.60E+01,1999
KOR,5.62E+01,2000
KOR,5.58E+01,2001
KOR,4.75E+01,2006
KOR,4.84E+01,2007
KOR,5.03E+01,2004
KOR,4.42E+01,1998
KOR,5.10E+01,2008
KOR,5.61E+01,2009
MYS,1.82E+01,2003
MYS,1.94E+01,1997
MYS,7.25E+00,1988
MYS,7.84E+00,1989
MYS,6.43E+00,1986
MYS,6.78E+00,1987
MYS,5.54E+00,1984
MYS,6.08E+00,1985
MYS,9.00E-01,1968
MYS,9.26E-01,1969
MYS,2.86E+00,1980
MYS,3.45E+00,1981
MYS,7.72E-01,1964
MYS,8.26E-01,1965
MYS,8.50E-01,1966
MYS,8.74E-01,1967
MYS,5.88E-01,1960
MYS,6.30E-01,1961
MYS,6.74E-01,1962
MYS,7.21E-01,1963
MYS,1.77E+01,1996
MYS,1.57E+01,2011
MYS,1.62E+01,2010
MYS,1.57E+01,2012
MYS,1.67E+01,2005
MYS,4.03E+00,1982
MYS,4.69E+00,1983
MYS,9.71E+00,1991
MYS,8.71E+00,1990
MYS,1.22E+01,1993
MYS,1.09E+01,1992
MYS,1.61E+01,1995
MYS,1.42E+01,1994
MYS,2.41E+00,1979
MYS,2.05E+00,1978
MYS,1.77E+00,1977
MYS,1.54E+00,1976
MYS,1.37E+00,1975
