country,value,year
ARG,8.60E+06,2003
ARG,6.83E+06,1997
ARG,3.18E+06,1988
ARG,3.08E+06,1989
ARG,2.86E+06,1986
ARG,2.97E+06,1987
ARG,2.60E+06,1984
ARG,2.71E+06,1985
ARG,1.21E+06,1968
ARG,1.25E+06,1969
ARG,1.88E+06,1980
ARG,2.20E+06,1981
ARG,1.06E+06,1964
ARG,1.10E+06,1965
ARG,1.14E+06,1966
ARG,1.17E+06,1967
ARG,9.15E+05,1960
ARG,9.52E+05,1961
ARG,9.89E+05,1962
ARG,1.03E+06,1963
ARG,6.26E+06,1996
ARG,9.90E+06,2011
ARG,9.80E+06,2010
ARG,1.00E+07,2012
ARG,9.44E+06,2005
ARG,2.36E+06,1982
ARG,2.27E+06,1983
ARG,3.13E+06,1991
ARG,3.03E+06,1990
ARG,3.98E+06,1993
ARG,3.59E+06,1992
ARG,5.71E+06,1995
ARG,4.99E+06,1994
ARG,1.80E+06,1979
ARG,1.73E+06,1978
ARG,1.69E+06,1977
ARG,1.68E+06,1976
ARG,1.65E+06,1975
ARG,1.58E+06,1974
ARG,1.51E+06,1973
ARG,1.43E+06,1972
ARG,1.36E+06,1971
ARG,1.29E+06,1970
ARG,7.71E+06,2002
ARG,7.22E+06,1999
ARG,7.89E+06,2000
ARG,8.13E+06,2001
ARG,9.46E+06,2006
ARG,9.50E+06,2007
ARG,8.76E+06,2004
ARG,7.10E+06,1998
ARG,9.74E+06,2008
ARG,9.77E+06,2009
BRA,3.92E+07,2003
BRA,1.70E+07,1997
BRA,8.27E+06,1988
BRA,8.79E+06,1989
BRA,7.45E+06,1986
BRA,7.81E+06,1987
BRA,6.70E+06,1984
BRA,7.20E+06,1985
BRA,1.07E+06,1968
BRA,1.16E+06,1969
BRA,4.95E+06,1980
BRA,5.33E+06,1981
BRA,8.06E+05,1964
BRA,8.50E+05,1965
BRA,9.18E+05,1966
BRA,9.92E+05,1967
BRA,6.50E+05,1960
BRA,6.86E+05,1961
BRA,7.24E+05,1962
BRA,7.64E+05,1963
BRA,1.51E+07,1996
BRA,4.30E+07,2011
BRA,4.21E+07,2010
