country,value,year
ARG,9.09E+01,2003
ARG,8.92E+01,1997
ARG,8.62E+01,1988
ARG,8.66E+01,1989
ARG,8.54E+01,1986
ARG,8.58E+01,1987
ARG,8.46E+01,1984
ARG,8.50E+01,1985
ARG,7.79E+01,1968
ARG,7.84E+01,1969
ARG,8.29E+01,1980
ARG,8.33E+01,1981
ARG,7.58E+01,1964
ARG,7.64E+01,1965
ARG,7.69E+01,1966
ARG,7.74E+01,1967
ARG,7.36E+01,1960
ARG,7.42E+01,1961
ARG,7.47E+01,1962
ARG,7.53E+01,1963
ARG,8.89E+01,1996
ARG,9.25E+01,2011
ARG,9.23E+01,2010
ARG,9.26E+01,2012
ARG,9.14E+01,2005
ARG,8.37E+01,1982
ARG,8.42E+01,1983
ARG,8.73E+01,1991
ARG,8.70E+01,1990
ARG,8.80E+01,1993
ARG,8.77E+01,1992
ARG,8.87E+01,1995
ARG,8.83E+01,1994
ARG,8.25E+01,1979
ARG,8.21E+01,1978
ARG,8.17E+01,1977
ARG,8.14E+01,1976
ARG,8.10E+01,1975
ARG,8.06E+01,1974
ARG,8.01E+01,1973
ARG,7.97E+01,1972
ARG,7.93E+01,1971
ARG,7.89E+01,1970
ARG,9.06E+01,2002
ARG,8.98E+01,1999
ARG,9.01E+01,2000
ARG,9.04E+01,2001
ARG,9.16E+01,2006
ARG,9.18E+01,2007
ARG,9.11E+01,2004
ARG,8.95E+01,1998
ARG,9.20E+01,2008
ARG,9.22E+01,2009
BRA,8.22E+01,2003
BRA,7.90E+01,1997
BRA,7.23E+01,1988
BRA,7.31E+01,1989
BRA,7.07E+01,1986
BRA,7.15E+01,1987
BRA,6.90E+01,1984
BRA,6.99E+01,1985
BRA,5.40E+01,1968
BRA,5.49E+01,1969
BRA,6.55E+01,1980
BRA,6.63E+01,1981
BRA,5.01E+01,1964
BRA,5.10E+01,1965
BRA,5.20E+01,1966
BRA,5.30E+01,1967
BRA,4.61E+01,1960
BRA,4.71E+01,1961
BRA,4.81E+01,1962
BRA,4.91E+01,1963
BRA,7.83E+01,1996
BRA,8.46E+01,2011
BRA,8.43E+01,2010
BRA,8.49E+01,2012
BRA,8.28E+01,2005
BRA,6.72E+01,1982
BRA,6.81E+01,1983
BRA,7.47E+01,1991
BRA,7.39E+01,1990
BRA,7.61E+01,1993
BRA,7.54E+01,1992
BRA,7.76E+01,1995
BRA,7.69E+01,1994
BRA,6.45E+01,1979
BRA,6.36E+01,1978
BRA,6.27E+01,1977
BRA,6.17E+01,1976
BRA,6.08E+01,1975
BRA,5.98E+01,1974
BRA,5.88E+01,1973
BRA,5.79E+01,1972
BRA,5.69E+01,1971
BRA,5.59E+01,1970
BRA,8.18E+01,2002
BRA,8.05E+01,1999
BRA,8.12E+01,2000
BRA,8.15E+01,2001
BRA,8.31E+01,2006
BRA,8.34E+01,2007
BRA,8.25E+01,2004
BRA,7.98E+01,1998
BRA,8.37E+01,2008
BRA,8.40E+01,2009
CHL,8.70E+01,2003
CHL,8.50E+01,1997
CHL,8.30E+01,1988
CHL,8.31E+01,1989
CHL,8.28E+01,1986
CHL,8.29E+01,1987
CHL,8.23E+01,1984
CHL,8.26E+01,1985
CHL,7.38E+01,1968
CHL,7.45E+01,1969
CHL,8.12E+01,1980
CHL,8.15E+01,1981
CHL,7.09E+01,1964
CHL,7.17E+01,1965
CHL,7.24E+01,1966
CHL,7.31E+01,1967
CHL,6.78E+01,1960
CHL,6.86E+01,1961
CHL,6.94E+01,1962
CHL,7.02E+01,1963
CHL,8.47E+01,1996
CHL,8.91E+01,2011
CHL,8.89E+01,2010
CHL,8.93E+01,2012
CHL,8.76E+01,2005
CHL,8.18E+01,1982
CHL,8.21E+01,1983
CHL,8.35E+01,1991
CHL,8.33E+01,1990
CHL,8.39E+01,1993
CHL,8.37E+01,1992
CHL,8.44E+01,1995
CHL,8.42E+01,1994
CHL,8.07E+01,1979
CHL,8.01E+01,1978
CHL,7.95E+01,1977
CHL,7.90E+01,1976
CHL,7.84E+01,1975
CHL,7.78E+01,1974
CHL,7.71E+01,1973
CHL,7.65E+01,1972
CHL,7.59E+01,1971
CHL,7.52E+01,1970
CHL,8.66E+01,2002
CHL,8.56E+01,1999
CHL,8.59E+01,2000
CHL,8.63E+01,2001
CHL,8.79E+01,2006
CHL,8.82E+01,2007
CHL,8.73E+01,2004
CHL,8.53E+01,1998
CHL,8.84E+01,2008
CHL,8.87E+01,2009
CHN,3.99E+01,2003
CHN,3.29E+01,1997
CHN,2.50E+01,1988
CHN,2.57E+01,1989
CHN,2.36E+01,1986
CHN,2.43E+01,1987
CHN,2.22E+01,1984
CHN,2.29E+01,1985
CHN,1.77E+01,1968
CHN,1.75E+01,1969
CHN,1.94E+01,1980
CHN,2.01E+01,1981
CHN,1.77E+01,1964
CHN,1.81E+01,1965
CHN,1.79E+01,1966
CHN,1.78E+01,1967
CHN,1.62E+01,1960
CHN,1.66E+01,1961
CHN,1.70E+01,1962
CHN,1.73E+01,1963
CHN,3.19E+01,1996
CHN,5.05E+01,2011
CHN,4.92E+01,2010
CHN,5.18E+01,2012
CHN,4.25E+01,2005
CHN,2.08E+01,1982
CHN,2.15E+01,1983
CHN,2.73E+01,1991
CHN,2.64E+01,1990
CHN,2.92E+01,1993
