country,value,year
ARG,1.18E+00,2003
ARG,1.53E+00,1997
ARG,1.91E+00,1988
ARG,1.88E+00,1989
ARG,1.95E+00,1986
ARG,1.93E+00,1987
ARG,2.03E+00,1984
ARG,2.01E+00,1985
ARG,2.07E+00,1968
ARG,2.11E+00,1969
ARG,1.96E+00,1980
ARG,2.04E+00,1981
ARG,2.26E+00,1964
ARG,2.22E+00,1965
ARG,2.10E+00,1966
ARG,2.07E+00,1967
ARG,2.72E+00,1960
ARG,2.36E+00,1961
ARG,2.33E+00,1962
ARG,2.30E+00,1963
ARG,1.56E+00,1996
ARG,1.03E+00,2011
ARG,1.08E+00,2010
ARG,1.03E+00,2012
ARG,1.16E+00,2005
ARG,2.04E+00,1982
ARG,2.04E+00,1983
ARG,1.75E+00,1991
ARG,1.85E+00,1990
ARG,1.69E+00,1993
ARG,1.72E+00,1992
ARG,1.63E+00,1995
ARG,1.66E+00,1994
ARG,1.95E+00,1979
ARG,1.96E+00,1978
ARG,1.99E+00,1977
ARG,2.05E+00,1976
ARG,2.16E+00,1975
ARG,2.22E+00,1974
ARG,2.24E+00,1973
ARG,2.21E+00,1972
ARG,2.15E+00,1971
ARG,2.18E+00,1970
ARG,1.22E+00,2002
ARG,1.44E+00,1999
ARG,1.39E+00,2000
ARG,1.28E+00,2001
ARG,1.09E+00,2006
ARG,1.09E+00,2007
ARG,1.16E+00,2004
ARG,1.50E+00,1998
ARG,1.08E+00,2008
ARG,1.08E+00,2009
BRA,1.71E+00,2003
BRA,2.44E+00,1997
BRA,3.01E+00,1988
BRA,2.92E+00,1989
BRA,3.19E+00,1986
BRA,3.10E+00,1987
BRA,3.49E+00,1984
BRA,3.39E+00,1985
BRA,4.40E+00,1968
BRA,4.31E+00,1969
BRA,3.78E+00,1980
BRA,3.66E+00,1981
BRA,4.91E+00,1964
BRA,4.78E+00,1965
BRA,4.63E+00,1966
BRA,4.51E+00,1967
BRA,5.18E+00,1960
BRA,5.10E+00,1961
BRA,5.08E+00,1962
BRA,5.02E+00,1963
BRA,2.45E+00,1996
BRA,1.20E+00,2011
BRA,1.24E+00,2010
BRA,1.19E+00,2012
BRA,1.55E+00,2005
BRA,3.63E+00,1982
BRA,3.57E+00,1983
BRA,2.65E+00,1991
BRA,2.84E+00,1990
BRA,2.52E+00,1993
BRA,2.58E+00,1992
BRA,2.48E+00,1995
BRA,2.49E+00,1994
BRA,3.81E+00,1979
BRA,3.84E+00,1978
BRA,3.87E+00,1977
BRA,3.89E+00,1976
BRA,3.98E+00,1975
BRA,4.00E+00,1974
BRA,4.04E+00,1973
BRA,4.10E+00,1972
BRA,4.17E+00,1971
BRA,4.24E+00,1970
BRA,1.76E+00,2002
BRA,2.38E+00,1999
BRA,2.33E+00,2000
BRA,1.81E+00,2001
BRA,1.43E+00,2006
BRA,1.35E+00,2007
BRA,1.63E+00,2004
BRA,2.42E+00,1998
BRA,1.29E+00,2008
BRA,1.25E+00,2009
CHL,1.49E+00,2003
CHL,1.79E+00,1997
CHL,1.86E+00,1988
CHL,1.90E+00,1989
CHL,1.83E+00,1986
CHL,1.84E+00,1987
CHL,1.98E+00,1984
CHL,2.00E+00,1985
CHL,2.98E+00,1968
CHL,2.89E+00,1969
CHL,2.16E+00,1980
CHL,1.85E+00,1981
CHL,3.53E+00,1964
CHL,3.41E+00,1965
CHL,3.19E+00,1966
CHL,3.08E+00,1967
CHL,3.88E+00,1960
CHL,3.67E+00,1961
CHL,3.66E+00,1962
CHL,3.61E+00,1963
CHL,1.90E+00,1996
CHL,1.14E+00,2011
CHL,1.23E+00,2010
CHL,1.13E+00,2012
CHL,1.43E+00,2005
CHL,1.91E+00,1982
CHL,1.96E+00,1983
CHL,2.08E+00,1991
CHL,1.93E+00,1990
CHL,2.08E+00,1993
CHL,2.10E+00,1992
CHL,1.90E+00,1995
CHL,2.01E+00,1994
CHL,2.11E+00,1979
CHL,2.09E+00,1978
CHL,2.12E+00,1977
CHL,2.19E+00,1976
CHL,2.36E+00,1975
CHL,2.44E+00,1974
CHL,2.53E+00,1973
CHL,2.60E+00,1972
CHL,2.66E+00,1971
CHL,2.82E+00,1970
CHL,1.53E+00,2002
CHL,1.64E+00,1999
CHL,1.60E+00,2000
CHL,1.58E+00,2001
CHL,1.32E+00,2006
CHL,1.29E+00,2007
CHL,1.46E+00,2004
CHL,1.71E+00,1998
CHL,1.27E+00,2008
CHL,1.25E+00,2009
CHN,4.01E+00,2003
CHN,4.05E+00,1997
CHN,4.50E+00,1988
CHN,4.35E+00,1989
CHN,4.56E+00,1986
CHN,4.58E+00,1987
CHN,4.54E+00,1984
CHN,4.48E+00,1985
CHN,1.84E+00,1968
CHN,1.96E+00,1969
CHN,3.30E+00,1980
CHN,4.85E+00,1981
CHN,4.47E+00,1964
CHN,4.49E+00,1965
CHN,2.03E+00,1966
CHN,1.80E+00,1967
CHN,4.77E+00,1960
CHN,1.28E+00,1961
CHN,3.07E+00,1962
CHN,4.65E+00,1963
CHN,4.17E+00,1996
CHN,3.04E+00,2011
CHN,3.24E+00,2010
CHN,2.98E+00,2012
CHN,3.76E+00,2005
CHN,4.92E+00,1982
CHN,4.78E+00,1983
CHN,4.73E+00,1991
CHN,4.20E+00,1990
CHN,4.30E+00,1993
CHN,4.48E+00,1992
CHN,4.05E+00,1995
CHN,4.18E+00,1994
CHN,3.42E+00,1979
CHN,3.47E+00,1978
CHN,3.54E+00,1977
CHN,3.77E+00,1976
CHN,1.77E+00,1975
CHN,2.07E+00,1974
CHN,2.28E+00,1973
CHN,2.46E+00,1972
CHN,2.75E+00,1971
CHN,1.98E+00,1970
CHN,4.18E+00,2002
CHN,3.72E+00,1999
CHN,3.57E+00,2000
CHN,4.36E+00,2001
CHN,3.66E+00,2006
CHN,3.53E+00,2007
CHN,3.87E+00,2004
CHN,3.90E+00,1998
CHN,3.44E+00,2008
CHN,3.34E+00,2009
EGY,1.75E+00,2003
EGY,1.54E+00,1997
EGY,2.10E+00,1988
EGY,1.98E+00,1989
EGY,2.14E+00,1986
EGY,2.15E+00,1987
EGY,2.34E+00,1984
EGY,2.36E+00,1985
EGY,3.25E+00,1968
EGY,3.16E+00,1969
EGY,2.39E+00,1980
EGY,2.27E+00,1981
EGY,4.11E+00,1964
EGY,4.05E+00,1965
EGY,3.37E+00,1966
EGY,3.33E+00,1967
EGY,4.40E+00,1960
EGY,4.25E+00,1961
EGY,4.21E+00,1962
EGY,4.17E+00,1963
EGY,1.54E+00,1996
EGY,2.05E+00,2011
EGY,1.84E+00,2010
EGY,2.04E+00,2012
EGY,1.77E+00,2005
EGY,2.29E+00,1982
EGY,2.31E+00,1983
