country,value,year
ARG,3.45E+07,2003
ARG,3.19E+07,1997
ARG,2.73E+07,1988
ARG,2.79E+07,1989
ARG,2.63E+07,1986
ARG,2.68E+07,1987
ARG,2.53E+07,1984
ARG,2.58E+07,1985
ARG,1.81E+07,1968
ARG,1.85E+07,1969
ARG,2.33E+07,1980
ARG,2.38E+07,1981
ARG,1.67E+07,1964
ARG,1.70E+07,1965
ARG,1.74E+07,1966
ARG,1.78E+07,1967
ARG,1.52E+07,1960
ARG,1.55E+07,1961
ARG,1.59E+07,1962
ARG,1.63E+07,1963
ARG,3.14E+07,1996
ARG,3.77E+07,2011
ARG,3.73E+07,2010
ARG,3.81E+07,2012
ARG,3.53E+07,2005
ARG,2.43E+07,1982
ARG,2.48E+07,1983
ARG,2.89E+07,1991
ARG,2.84E+07,1990
ARG,2.99E+07,1993
ARG,2.94E+07,1992
ARG,3.09E+07,1995
ARG,3.04E+07,1994
ARG,2.29E+07,1979
ARG,2.24E+07,1978
ARG,2.20E+07,1977
ARG,2.15E+07,1976
ARG,2.11E+07,1975
ARG,2.07E+07,1974
ARG,2.02E+07,1973
ARG,1.98E+07,1972
ARG,1.93E+07,1971
ARG,1.89E+07,1970
ARG,3.41E+07,2002
ARG,3.28E+07,1999
ARG,3.33E+07,2000
ARG,3.37E+07,2001
ARG,3.57E+07,2006
ARG,3.61E+07,2007
ARG,3.49E+07,2004
ARG,3.23E+07,1998
ARG,3.65E+07,2008
ARG,3.69E+07,2009
BRA,1.49E+08,2003
BRA,1.32E+08,1997
BRA,1.04E+08,1988
BRA,1.08E+08,1989
BRA,9.83E+07,1986
BRA,1.01E+08,1987
BRA,9.20E+07,1984
BRA,9.52E+07,1985
BRA,4.93E+07,1968
BRA,5.15E+07,1969
BRA,7.97E+07,1980
BRA,8.27E+07,1981
BRA,4.11E+07,1964
BRA,4.31E+07,1965
BRA,4.51E+07,1966
BRA,4.72E+07,1967
BRA,3.36E+07,1960
BRA,3.53E+07,1961
BRA,3.72E+07,1962
BRA,3.91E+07,1963
BRA,1.29E+08,1996
BRA,1.67E+08,2011
BRA,1.65E+08,2010
BRA,1.69E+08,2012
BRA,1.54E+08,2005
BRA,8.57E+07,1982
BRA,8.88E+07,1983
BRA,1.14E+08,1991
BRA,1.11E+08,1990
BRA,1.20E+08,1993
BRA,1.17E+08,1992
BRA,1.26E+08,1995
BRA,1.23E+08,1994
BRA,7.67E+07,1979
BRA,7.39E+07,1978
BRA,7.11E+07,1977
BRA,6.84E+07,1976
BRA,6.58E+07,1975
BRA,6.32E+07,1974
BRA,6.07E+07,1973
BRA,5.83E+07,1972
BRA,5.60E+07,1971
BRA,5.37E+07,1970
BRA,1.47E+08,2002
BRA,1.38E+08,1999
BRA,1.42E+08,2000
BRA,1.44E+08,2001
BRA,1.56E+08,2006
BRA,1.59E+08,2007
BRA,1.52E+08,2004
BRA,1.35E+08,1998
BRA,1.61E+08,2008
BRA,1.63E+08,2009
CHL,1.39E+07,2003
CHL,1.26E+07,1997
CHL,1.06E+07,1988
CHL,1.08E+07,1989
CHL,1.02E+07,1986
CHL,1.04E+07,1987
CHL,9.82E+06,1984
CHL,1.00E+07,1985
CHL,6.81E+06,1968
CHL,7.01E+06,1969
CHL,9.09E+06,1980
CHL,9.26E+06,1981
CHL,6.00E+06,1964
CHL,6.20E+06,1965
CHL,6.41E+06,1966
CHL,6.61E+06,1967
CHL,5.19E+06,1960
CHL,5.38E+06,1961
CHL,5.58E+06,1962
CHL,5.79E+06,1963
CHL,1.24E+07,1996
CHL,1.54E+07,2011
CHL,1.53E+07,2010
CHL,1.56E+07,2012
CHL,1.43E+07,2005
CHL,9.44E+06,1982
CHL,9.63E+06,1983
CHL,1.12E+07,1991
CHL,1.10E+07,1990
CHL,1.17E+07,1993
CHL,1.15E+07,1992
CHL,1.22E+07,1995
CHL,1.20E+07,1994
CHL,8.90E+06,1979
CHL,8.71E+06,1978
CHL,8.53E+06,1977
CHL,8.35E+06,1976
CHL,8.17E+06,1975
CHL,7.98E+06,1974
CHL,7.79E+06,1973
CHL,7.60E+06,1972
CHL,7.40E+06,1971
CHL,7.21E+06,1970
CHL,1.37E+07,2002
CHL,1.31E+07,1999
CHL,1.33E+07,2000
CHL,1.35E+07,2001
CHL,1.45E+07,2006
CHL,1.47E+07,2007
CHL,1.41E+07,2004
CHL,1.29E+07,1998
CHL,1.49E+07,2008
CHL,1.51E+07,2009
CHN,5.14E+08,2003
CHN,4.05E+08,1997
CHN,2.76E+08,1988
CHN,2.88E+08,1989
CHN,2.52E+08,1986
CHN,2.63E+08,1987
CHN,2.30E+08,1984
CHN,2.40E+08,1985
CHN,1.37E+08,1968
CHN,1.40E+08,1969
CHN,1.90E+08,1980
CHN,1.99E+08,1981
CHN,1.24E+08,1964
CHN,1.29E+08,1965
CHN,1.32E+08,1966
CHN,1.34E+08,1967
CHN,1.08E+08,1960
CHN,1.09E+08,1961
CHN,1.13E+08,1962
CHN,1.18E+08,1963
CHN,3.89E+08,1996
CHN,6.79E+08,2011
CHN,6.58E+08,2010
CHN,6.99E+08,2012
CHN,5.54E+08,2005
CHN,2.09E+08,1982
CHN,2.20E+08,1983
CHN,3.15E+08,1991
CHN,3.00E+08,1990
CHN,3.44E+08,1993
CHN,3.29E+08,1992
CHN,3.73E+08,1995
CHN,3.58E+08,1994
CHN,1.84E+08,1979
CHN,1.78E+08,1978
CHN,1.72E+08,1977
CHN,1.66E+08,1976
CHN,1.59E+08,1975
CHN,1.57E+08,1974
CHN,1.53E+08,1973
CHN,1.50E+08,1972
CHN,1.46E+08,1971
CHN,1.42E+08,1970
CHN,4.93E+08,2002
CHN,4.37E+08,1999
CHN,4.53E+08,2000
CHN,4.73E+08,2001
CHN,5.75E+08,2006
CHN,5.96E+08,2007
CHN,5.34E+08,2004
CHN,4.21E+08,1998
CHN,6.17E+08,2008
CHN,6.37E+08,2009
EGY,2.98E+07,2003
EGY,2.70E+07,1997
EGY,2.36E+07,1988
EGY,2.41E+07,1989
EGY,2.26E+07,1986
EGY,2.31E+07,1987
EGY,2.16E+07,1984
EGY,2.21E+07,1985
EGY,1.44E+07,1968
EGY,1.49E+07,1969
EGY,1.97E+07,1980
EGY,2.02E+07,1981
EGY,1.25E+07,1964
EGY,1.31E+07,1965
EGY,1.35E+07,1966
EGY,1.40E+07,1967
EGY,1.06E+07,1960
EGY,1.11E+07,1961
EGY,1.15E+07,1962
EGY,1.20E+07,1963
EGY,2.66E+07,1996
EGY,3.46E+07,2011
EGY,3.39E+07,2010
EGY,3.53E+07,2012
EGY,3.09E+07,2005
EGY,2.06E+07,1982
EGY,2.11E+07,1983
EGY,2.49E+07,1991
EGY,2.45E+07,1990
EGY,2.55E+07,1993
EGY,2.52E+07,1992
EGY,2.62E+07,1995
EGY,2.59E+07,1994
EGY,1.92E+07,1979
EGY,1.88E+07,1978
EGY,1.84E+07,1977
EGY,1.79E+07,1976
EGY,1.75E+07,1975
EGY,1.71E+07,1974
EGY,1.66E+07,1973
EGY,1.62E+07,1972
EGY,1.58E+07,1971
EGY,1.53E+07,1970
EGY,2.93E+07,2002
EGY,2.79E+07,1999
EGY,2.83E+07,2000
EGY,2.88E+07,2001
EGY,3.15E+07,2006
EGY,3.20E+07,2007
EGY,3.03E+07,2004
EGY,2.74E+07,1998
EGY,3.26E+07,2008
EGY,3.32E+07,2009
DEU,6.04E+07,2003
DEU,6.00E+07,1997
DEU,5.70E+07,1988
DEU,5.75E+07,1989
DEU,5.66E+07,1986
DEU,5.67E+07,1987
DEU,5.66E+07,1984
DEU,5.65E+07,1985
DEU,5.58E+07,1968
DEU,5.63E+07,1969
DEU,5.70E+07,1980
DEU,5.71E+07,1981
DEU,5.41E+07,1964
DEU,5.47E+07,1965
DEU,5.52E+07,1966
DEU,5.55E+07,1967
DEU,5.20E+07,1960
DEU,5.25E+07,1961
DEU,5.30E+07,1962
DEU,5.36E+07,1963
DEU,6.00E+07,1996
DEU,6.05E+07,2011
DEU,6.04E+07,2010
DEU,6.07E+07,2012
DEU,6.05E+07,2005
DEU,5.70E+07,1982
DEU,5.68E+07,1983
DEU,5.85E+07,1991
DEU,5.81E+07,1990
DEU,5.94E+07,1993
DEU,5.90E+07,1992
DEU,5.99E+07,1995
DEU,5.97E+07,1994
DEU,5.69E+07,1979
DEU,5.68E+07,1978
DEU,5.68E+07,1977
DEU,5.69E+07,1976
DEU,5.71E+07,1975
DEU,5.73E+07,1974
DEU,5.72E+07,1973
DEU,5.70E+07,1972
DEU,5.66E+07,1971
DEU,5.65E+07,1970
DEU,6.04E+07,2002
DEU,6.00E+07,1999
DEU,6.01E+07,2000
DEU,6.02E+07,2001
DEU,6.05E+07,2006
DEU,6.05E+07,2007
DEU,6.05E+07,2004
DEU,6.00E+07,1998
DEU,6.05E+07,2008
DEU,6.04E+07,2009
